,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,€,Nadzaladevi,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,08-03-2020 01:26:38,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,13,нет,Тбилиси,0.25 гр,0.0228,15529,5780,515,230.0,,,,,,,,,,Metadon VHQ 0.25 24/7
1,1,08-03-2020 01:26:38,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G,True,3,5,Тбилиси,0.27 гр,0.0297,18230,6785,605,270.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G
2,2,08-03-2020 01:26:38,Tbilisi,8ddca45a78,"0,5g PURPLE HAZE Sativa THC 19% / BTC -5% sale",True,8,нет,Тбилиси,0.5 гр,0.0026,1688,628,56,25.0,,,,,,,,,,"0,5g PURPLE HAZE Sativa THC 19% / BTC -5% sale"
3,3,08-03-2020 01:26:38,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0086,5874,2186,195,87.0,,,,,,,,,,Cocaine Pure VHQ 0.5g
4,4,08-03-2020 01:26:38,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,2,нет,Тбилиси,1 гр,0.0185,11478,4272,381,170.0,,,,,,,,,,Apvp VHQ 1g 24/7
5,5,08-03-2020 01:26:38,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,3,нет,Тбилиси,1 гр,0.0178,12153,4523,403,180.0,,,,,,,,,,Cocaine Pure VHQ 1g
6,6,08-03-2020 01:26:38,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,11,нет,Тбилиси,1 гр,0.0139,9452,3518,314,140.0,,,,,,,,,,NZT-52 mind storm limited 1g muka
7,7,08-03-2020 01:26:38,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,7,нет,Тбилиси,1 гр,0.0208,13436,5001,446,199.0,,,,,,,,,,VHQ BEST Cocaine 1g.
8,8,08-03-2020 01:26:38,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0195,12086,4498,401,179.0,True,,,,,,,,,Kokain KOLUMBIA 1g
9,9,08-03-2020 01:26:38,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0891,60766,22617,2016,900.0,,,,,,,,,,Metadon 1gr
10,10,08-03-2020 01:26:38,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,4,нет,Тбилиси,2 гр,0.0386,26332,9801,873,390.0,,,,,,,,,,VHQ BEST Cocaine 2g.
