,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,€,Nadzaladevi,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,08-03-2020 15:22:32,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,3,нет,Тбилиси,0.25 гр,0.0211,14179,5277,470,210,,,,,,,,,,,Metadon VHQ 0.25 24/7
1,08-03-2020 15:22:32,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G,True,3,5,Тбилиси,0.27 гр,0.0302,18230,6785,605,270,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G
2,08-03-2020 15:22:32,Tbilisi,BP40,WakeShop,Metadon VHQ 0.33,True,3,нет,Тбилиси,0.33 гр,0.0282,18905,7036,627,280,,,,,,,,,,,Metadon VHQ 0.33
3,08-03-2020 15:22:32,Tbilisi,I8ED,KKGRUZ,0.35gr ALFA PVP GREEN,True,1,нет,Тбилиси,0.35 гр,0.0078,4726,1759,157,70,,,,,,,,,,,0.35gr ALFA PVP GREEN
4,08-03-2020 15:22:32,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,10,нет,Тбилиси,0.5 гр,0.0116,7359,2739,244,109,,,,,,,,,,,Pure COCAINE VHQ 0.5g
5,08-03-2020 15:22:32,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,True,1,нет,Тбилиси,1 гр,0.005,3038,1131,101,45,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
6,08-03-2020 15:22:32,Tbilisi,ABOAB,ProGrow,1G -- ФОТО РАБОТАЕТ -> Sativa,,49,нет,Тбилиси,1 гр,0.004,2498,930,83,37,True,,,,,,,,,,1G -- FOTO RABOTAET -> Sativa
7,08-03-2020 15:22:32,Tbilisi,BP40,WakeShop,Apvp VHQ 1g 24/7,True,7,нет,Тбилиси,1 гр,0.0166,10128,3770,336,150,,,,,,,,,,,Apvp VHQ 1g 24/7
8,08-03-2020 15:22:32,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,3,нет,Тбилиси,1 гр,0.0181,12153,4523,403,180,,,,,,,,,,,Cocaine Pure VHQ 1g
9,08-03-2020 15:22:32,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 1G,True,4,нет,Тбилиси,1 гр,0.0055,3376,1257,112,50,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 1G
10,08-03-2020 15:22:32,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 1г мука,True,14,нет,Тбилиси,1 гр,0.0141,9452,3518,314,140,,,,,,,,,,,NZT-52 mind storm limited 1g muka
11,08-03-2020 15:22:32,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,6,нет,Тбилиси,1 гр,0.0211,13436,5001,446,199,,,,,,,,,,,VHQ BEST Cocaine 1g.
12,08-03-2020 15:22:32,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0198,12086,4498,401,179,,True,,,,,,,,,Kokain KOLUMBIA 1g
13,08-03-2020 15:22:32,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0906,60766,22617,2016,900,,,,,,,,,,,Metadon 1gr
14,08-03-2020 15:22:32,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,3,нет,Тбилиси,2 гр,0.0393,26332,9801,873,390,,,,,,,,,,,VHQ BEST Cocaine 2g.
15,08-03-2020 15:22:32,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,1,нет,Тбилиси,2 гр,0.0035,2363,880,78,35,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
16,08-03-2020 15:22:32,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,5,нет,Тбилиси,3 гр,0.0117,7089,2639,235,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
17,08-03-2020 15:22:32,Tbilisi,9VLN,AlienShop,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,1,нет,Тбилиси,3 гр,0.0129,7765,2890,258,115,,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
