,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Тбилиси,Дигоми,Vazisubani,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Центр,€,Батуми,Кутаиси,desc_en
0,08-05-2020 15:42:48,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,True,1,нет,Тбилиси,0.5 гр,0.0027,1995,730,66,27,,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
1,08-05-2020 15:42:48,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0131,9603,3517,319,130,True,,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
2,08-05-2020 15:42:48,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,,2,нет,Тбилиси,1 гр,0.0055,4063,1488,135,55,,True,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
3,08-05-2020 15:42:48,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,8,нет,Тбилиси,1 гр,0.0046,3768,1380,125,51,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
4,08-05-2020 15:42:48,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,1 гр,0.0057,4211,1542,140,57,,True,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
5,08-05-2020 15:42:48,Tbilisi,JVZTQ,partyshop,1 шишки Girl Scout Cookies тгк thc 28%,,3,нет,Тбилиси,1 гр,0.0055,4063,1488,135,55,,True,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
6,08-05-2020 15:42:48,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,,9,нет,Тбилиси,1 гр,0.0302,22088,8088,734,299,,True,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
7,08-05-2020 15:42:48,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,,3,нет,Тбилиси,1 гр,0.0235,17360,6357,577,235,,True,,,,,,,,,,Cocaine Pure VHQ 1g
8,08-05-2020 15:42:48,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,,2,нет,Тбилиси,1 гр,0.0237,17729,6492,589,240,,True,,,,,,,,,,VHQ BEST Cocaine 1g.
9,08-05-2020 15:42:48,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0818,66485,24345,2208,900,,True,,,,,,,,,,Metadon 1gr
10,08-05-2020 15:42:48,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.0241,17656,6465,586,239,,,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
11,08-05-2020 15:42:48,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,,2,нет,Тбилиси,2 гр,0.009,6575,2407,218,89,,True,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
12,08-05-2020 15:42:48,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,,6,нет,Тбилиси,2 гр,0.01,7387,2705,245,100,,True,,,,,,,,,,2 G Hybrid Marijuana Buds
13,08-05-2020 15:42:48,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,4,нет,Тбилиси,2 гр,0.009,7313,2678,243,99,,True,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
14,08-05-2020 15:42:48,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,,3,нет,Тбилиси,2 гр,0.009,6575,2407,218,89,,True,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
15,08-05-2020 15:42:48,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,,2,нет,Тбилиси,2 гр,0.0071,5171,1894,172,70,,True,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
16,08-05-2020 15:42:48,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,6,нет,Тбилиси,2 гр,0.0089,6575,2407,218,89,True,,True,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
17,08-05-2020 15:42:48,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,,2,нет,Тбилиси,3 гр,0.012,8791,3219,292,119,,True,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
18,08-05-2020 15:42:48,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,,6,нет,Тбилиси,3 гр,0.0106,7757,2840,258,105,,True,,,,,,,,,,3x Extasy Duracell 223mg MDMA
19,08-05-2020 15:42:48,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 3g TOP VHQ,,8,нет,Тбилиси,3 гр,0.01,7387,2705,245,100,,True,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
20,08-05-2020 15:42:48,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0307,23639,8656,785,320,,True,,,,,,,,,,"5 Grm MDMA , Purity A +++"
21,08-05-2020 15:42:48,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,3,нет,Тбилиси,5 гр,0.0297,22162,8115,736,300,,True,,,,,,,,,,5 Grm Mdma Pure Quality A +++
22,08-05-2020 15:42:48,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,5 гр,0.0119,8791,3219,292,119,,,,True,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
23,08-05-2020 15:42:48,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,2,нет,Тбилиси,5 гр,0.0177,12928,4734,429,175,,True,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
24,08-05-2020 15:42:48,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",True,1,нет,Тбилиси,10 гр,0.0399,29475,10793,979,399,,,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
25,08-05-2020 15:42:48,Tbilisi,PTO3,MeDuZa777,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%,,1,нет,Тбилиси,10 гр,0.033,24378,8927,810,330,,True,,,,,,,,,,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%
26,08-05-2020 15:42:48,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0384,29549,10820,981,400,,True,,,,,,,,,,gashish evro 10g
27,08-05-2020 15:42:48,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),,1,нет,Тбилиси,20 гр,0.0379,27998,10252,930,379,,,,,True,,,,,,,20 gr Indica marijuana buds (hight quality)
28,08-05-2020 15:42:48,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0745,57399,21018,1906,777,,True,,,,,,,,,,Gashish Evro 20gr
29,08-05-2020 15:42:49,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.1817,147745,54100,4907,2000,,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
30,08-05-2020 15:42:49,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 гр!!!",,нет,2,Тбилиси,0.7 гр,0.0105,7757,2840,258,105,,True,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gr!!!"
31,08-05-2020 15:42:49,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 1G",,нет,6,Тбилиси,1 гр,0.016,11820,4328,393,160,,True,,,,,,,,,,"""Kief"" Weed trichomes 1G"
32,08-05-2020 15:42:49,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",,нет,1,Тбилиси,1 гр,0.0135,9973,3652,331,135,,True,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
33,08-05-2020 15:42:49,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,нет,3,Тбилиси,2 гр,0.0212,15513,5681,515,210,,True,,,,,,,,,,✨✨2gram. MDMA✨✨
34,08-05-2020 15:43:31,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,5,Тбилиси,2 гр,0.0373,27259,9981,905,369,,True,,,,,,,,,,❄❄2g HQ COCAINE❄❄
35,08-05-2020 15:43:31,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,9,Тбилиси,3 гр,0.0585,42772,15662,1420,579,,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
36,08-05-2020 15:43:31,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.04,29549,10820,981,400,,True,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
37,08-05-2020 15:43:31,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.055,40630,14878,1349,550,,True,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
38,08-05-2020 15:43:31,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,10,Тбилиси,5 гр,0.0235,17360,6357,577,235,,True,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
39,08-05-2020 15:43:31,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,7,Тбилиси,5 гр,0.024,17729,6492,589,240,,True,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
40,08-05-2020 15:43:31,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,5 гр,0.023,16991,6222,564,230,,True,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
