,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Тбилиси,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,08-06-2020 20:27:40,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0144,9957,3922,349,129,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,08-06-2020 20:27:40,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,5,нет,Тбилиси,0.5 гр,0.0032,2186,859,76,,32,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
2,08-06-2020 20:27:40,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,,2,нет,Тбилиси,1 гр,0.0047,3142,1235,110,,46,True,,,,,,,,Amsterdam weed sativa 1gr
3,08-06-2020 20:27:40,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,,15,нет,Тбилиси,3 гр,0.0088,5943,2336,207,,87,True,,,,,,,,3 gr georgian weed. Package on magnet
4,08-06-2020 20:27:40,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,,5,нет,Тбилиси,5 гр,0.0141,9495,3732,331,,139,True,,,,,,,,5 gr georgian weed. Package on magnet
5,08-06-2020 20:27:40,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0221,16395,6444,571,,240,True,,,,,,,,5g. marihuana shishki Critical
6,08-06-2020 20:27:40,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 5g.,,2,нет,Тбилиси,5 гр,0.1163,78559,30878,2738,,1150,True,,,,,,,,Cocaine Pure VHQ 5g.
7,08-06-2020 20:27:40,Tbilisi,18SM,TBILICKI77,"SUBOQSIN ""DNK"" 8ML",True,1,нет,Тбилиси,8 гр,0.0151,10179,4001,355,,149,,,,,,,,,"SUBOQSIN ""DNK"" 8ML"
8,08-06-2020 20:27:40,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,,3,нет,Тбилиси,10 гр,0.0262,17693,6954,617,,259,True,,,,,,,,10 gr georgian weed. Package on magnet
9,08-06-2020 20:27:40,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,7,нет,Тбилиси,10 гр,0.0242,16327,6417,569,,239,,True,True,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
