,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Дигоми,Saburtalo,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
0,0,08-07-2020 23:39:13,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,True,1,нет,Тбилиси,0.25 гр,0.0105,7237,2763,248,90.0,,,,,,,,,,,NEW Iranian Sirec 0.25g.
1,1,08-07-2020 23:39:13,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,6,нет,Тбилиси,0.5 гр,0.0035,2351,898,81,,33.0,,,,,,,,,,0.5 gr HYBRID buds
2,2,08-07-2020 23:39:13,Tbilisi,16a8841259,0.5г Ak - 47,True,3,нет,Тбилиси,0.5 гр,0.0033,2280,870,78,,32.0,,,,,,,,,,0.5g Ak - 47
3,3,08-07-2020 23:39:13,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.031,21300,8133,731,,299.0,,,,,,,,,,Cocaine Pure VHQ 1g
4,4,08-07-2020 23:39:13,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 1гр",True,2,нет,Тбилиси,1 гр,0.0052,3918,1496,134,,55.0,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 1gr"
5,5,08-07-2020 23:39:13,Tbilisi,54915c4374,Марки н-боооом!!! 1 шт.,,1,нет,Тбилиси,1 гр,0.0019,1282,490,44,,18.0,,True,,,,,,,,Marki n-boooom!!! 1 sht.
6,6,08-07-2020 23:39:13,Tbilisi,f374062dcd,Сирец Иран 1гр,True,3,нет,Тбилиси,1 гр,0.0203,15316,5848,525,,215.0,,,,,,,,,,Sirets Iran 1gr
7,7,08-07-2020 23:39:13,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,2 гр,0.0103,7053,2693,242,,99.0,,True,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
8,8,08-07-2020 23:39:13,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,1,нет,Тбилиси,2 гр,0.0113,7765,2965,266,,109.0,,True,,,,,,,,2 G Hybrid Marijuana Buds
9,9,08-07-2020 23:39:13,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,2 гр,0.0104,7124,2720,244,,100.0,,,True,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
10,10,08-07-2020 23:39:13,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,2,нет,Тбилиси,2 гр,0.0104,7124,2720,244,,100.0,,,True,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
11,11,08-07-2020 23:39:13,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",,1,нет,Тбилиси,2 гр,0.0104,7836,2992,269,,110.0,,,,True,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
12,12,08-07-2020 23:39:13,Tbilisi,8528108b62,3g. марихуана шишки Critical,True,1,нет,Тбилиси,3 гр,0.0141,10686,4080,367,,150.0,,,,,,,,,,3g. marihuana shishki Critical
13,13,08-07-2020 23:39:13,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,14,нет,Тбилиси,3 гр,0.0058,3918,1496,134,,55.0,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
14,14,08-07-2020 23:39:13,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,2,нет,Тбилиси,5 гр,0.0226,17097,6528,587,,240.0,,,,,,,,,,5g. marihuana shishki Critical
15,15,08-07-2020 23:39:13,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,20,нет,Тбилиси,5 гр,0.0072,4915,1877,169,,69.0,,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
16,16,08-07-2020 23:39:13,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",,1,нет,Тбилиси,5 гр,0.0226,17097,6528,587,,240.0,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
17,17,08-07-2020 23:39:13,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,1,нет,Тбилиси,5 гр,0.0259,17809,6800,611,,250.0,,True,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
18,18,08-07-2020 23:39:13,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,13,нет,Тбилиси,5 гр,0.0052,3918,1496,134,,55.0,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
19,19,08-07-2020 23:39:13,Tbilisi,54915c4374,марки н-боом 5шт.,,7,нет,Тбилиси,5 гр,0.0067,4630,1768,159,,65.0,,True,,,,,,,,marki n-boom 5sht.
20,20,08-07-2020 23:39:13,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,2,нет,Тбилиси,10 гр,0.0135,9190,3509,315,,129.0,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
21,21,08-07-2020 23:39:13,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,2,нет,Тбилиси,10 гр,0.0453,32057,12240,1100,,450.0,,,,,,,,,,Gashish Evro 10gr
22,22,08-07-2020 23:39:13,Tbilisi,54915c4374,Марки н-боом 10 шт.,,1,нет,Тбилиси,10 гр,0.0104,7124,2720,244,,100.0,,True,,,,,,,,Marki n-boom 10 sht.
23,23,08-07-2020 23:39:13,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0471,35619,13600,1222,,500.0,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
24,24,08-07-2020 23:39:13,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0067,4630,1768,159,,65.0,,,,,,,,,,Silver haze leaves list'ja 15gr sale
25,25,08-07-2020 23:39:13,Tbilisi,7bd1a5deba,25 GGAMM NEW BEASTWEED,True,1,нет,Тбилиси,25 гр,0.0344,26002,9928,892,,365.0,,,,,,,,,,25 GGAMM NEW BEASTWEED
26,26,08-07-2020 23:39:13,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2093,142476,54400,4888,,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
27,27,08-07-2020 23:39:13,Tbilisi,013e75d78f,A PVP Белая мука высшего качества 0.33 г.,True,нет,4,Тбилиси,0.33 гр,0.0135,9261,3536,318,,130.0,,,,,,,,,,A PVP Belaja muka vysshego kachestva 0.33 g.
28,28,08-07-2020 23:39:13,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,2,Тбилиси,3 гр,0.0942,64043,24453,2197,,899.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
29,29,08-07-2020 23:39:13,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,4,Тбилиси,4 гр,0.0415,28495,10880,978,,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
30,30,08-07-2020 23:39:13,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0259,17809,6800,611,,250.0,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
31,31,08-07-2020 23:39:13,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0571,39181,14960,1344,,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
32,32,08-07-2020 23:39:13,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.027999999999999997,19234,7344,660,,270.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
33,33,08-07-2020 23:40:25,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0291,19947,7616,684,,280.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
34,34,08-07-2020 23:40:25,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0286,19590,7480,672,,275.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
35,35,08-07-2020 23:40:25,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0249,17097,6528,587,,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
36,36,08-07-2020 23:40:25,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0291,19947,7616,684,,280.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
37,37,08-07-2020 23:40:25,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.027999999999999997,19234,7344,660,,270.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
38,38,08-07-2020 23:40:25,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0207,15601,5957,535,,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
39,39,08-07-2020 23:40:25,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.027999999999999997,19234,7344,660,,270.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
40,40,08-07-2020 23:40:25,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2517,190000,87429,6438,,,,,,,,,,,,reagent 25i nbome. 5gr
41,41,08-07-2020 23:40:25,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2831,213714,81600,7332,,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
42,42,08-07-2020 23:40:25,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0934,64114,24480,2200,,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
43,43,08-07-2020 23:40:25,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0571,39181,14960,1344,,550.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
44,44,08-07-2020 23:40:25,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0727,49867,19040,1711,,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
45,45,08-07-2020 23:40:25,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0436,29920,11424,1026,,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
46,46,08-07-2020 23:40:25,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0831,56990,21760,1955,,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
47,47,08-07-2020 23:40:25,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.231,158504,60520,5438,,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
48,48,08-07-2020 23:40:25,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,1,Тбилиси,11 гр,0.0461,31358,11973,1075,390.0,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
49,49,08-07-2020 23:40:25,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0613,46305,17680,1589,,650.0,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
50,50,08-07-2020 23:40:25,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2492,170971,65280,5866,,2400.0,,,,,,,,,,100 gr marijuana buds
51,51,08-07-2020 23:40:25,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2595,178095,68000,6110,,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
52,52,08-07-2020 23:40:25,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6125,420304,160480,14420,,5900.0,,,,,,,,,,180 gr marihuana persoalno
53,53,08-07-2020 23:40:25,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8825,605522,231200,20774,,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
54,54,08-07-2020 23:40:25,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0189,14248,5440,489,,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
55,55,08-07-2020 23:40:25,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.026000000000000002,17809,6800,611,,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
56,56,08-07-2020 23:40:25,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0208,14248,5440,489,,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
57,57,08-07-2020 23:40:25,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.026000000000000002,17809,6800,611,,250.0,,,,,,,,,,Rabota na marki (kur'er)
58,58,08-07-2020 23:40:25,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5714,1068569,408000,36660,,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
59,59,08-07-2020 23:40:25,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0519,35619,13600,1222,,500.0,,,,True,True,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
60,60,08-07-2020 23:43:00,Batumi,75738ec358,Golosa(GHS)+ DOS-vi-DOS 2g,,5,нет,Батуми,2 гр,0.0189,14248,5440,489,,200.0,,,,,,,,True,,Golosa(GHS)+ DOS-vi-DOS 2g
61,61,08-07-2020 23:43:00,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0461,31358,11973,1075,390.0,,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
62,62,08-07-2020 23:43:00,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,4,Батуми,11 гр,0.0496,33771,12894,1158,420.0,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
63,63,08-07-2020 23:43:00,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1645,112990,51992,3828,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
