,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Дигоми,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,09-02-2020 17:15:19,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,1,нет,Тбилиси,0.15 гр,0.0114,8251,3211,283,130,,,,,,,,,,,Metadon 0.15gr
1,09-02-2020 17:15:19,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,8,нет,Тбилиси,0.25 гр,0.0157,11425,4446,392,180,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,09-02-2020 17:15:19,Tbilisi,RM0T,Funtomass,"methadone 0,29 gr",,7,нет,Тбилиси,0.29 гр,0.0202,13329,5187,457,210,True,,,,,,,,,,"methadone 0,29 gr"
3,09-02-2020 17:15:19,Tbilisi,1IZXK,BadboysTbl,Метадон 0.30гр,True,5,нет,Тбилиси,0.3 гр,0.0157,12060,4693,413,190,,,,,,,,,,,Metadon 0.30gr
4,09-02-2020 17:15:19,Tbilisi,TI21,Campaari,"A PVP 0,33 VHQ",True,4,нет,Тбилиси,0.33 гр,0.0055,3808,1482,131,60,,,,,,,,,,,"A PVP 0,33 VHQ"
5,09-02-2020 17:15:19,Tbilisi,7R3WM,RastaShop,0.5 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT,,8,нет,Тбилиси,0.5 гр,0.0028,1841,716,63,29,,True,,,,,,,,,0.5 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT
6,09-02-2020 17:15:19,Tbilisi,7R3WM,RastaShop,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica,,14,нет,Тбилиси,0.5 гр,0.0028,1841,716,63,29,True,,True,,,,,,,,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica
7,09-02-2020 17:15:19,Tbilisi,7JZOY,BezNika,"0.5GR AMNESIA LEMON VHQ /УДОБНЫЕ КЛАДЫ/НАТУРАЛЬНЫЙ МОЩНЫЙ ГИБРИД (THC=23% CBD=1,6%)",,9,нет,Тбилиси,0.5 гр,0.0026,1714,667,59,27,True,,,,,,,,,,"0.5GR AMNESIA LEMON VHQ /UDOBNYE KLADY/NATURAL'NYJ MOSchNYJ GIBRID (THC=23% CBD=1,6%)"
8,09-02-2020 17:15:19,Tbilisi,NLKH,STARS,"H i B R i D 0.5г. Три вадном ----> amnezia , tutanhamon, jackherer )",True,1,нет,Тбилиси,0.5 гр,0.0047,3110,1210,107,49,,,,,,,,,,,"H i B R i D 0.5g. Tri vadnom ----> amnezia , tutanhamon, jackherer )"
9,09-02-2020 17:15:19,Tbilisi,5JG6,BenderMan,Ketamine 0.5g,True,6,нет,Тбилиси,0.5 гр,0.0058,3808,1482,131,60,,,,,,,,,,,Ketamine 0.5g
10,09-02-2020 17:15:19,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0262,19042,7410,653,300,,,,,,,,,,,Metadon VHQ 0.5 24/7
11,09-02-2020 17:15:19,Tbilisi,9VLN,AlienShop,❄❄❄0.5g HQ COCAINE❄❄❄,True,2,нет,Тбилиси,0.5 гр,0.0096,6284,2445,215,99,,,,,,,,,,,❄❄❄0.5g HQ COCAINE❄❄❄
12,09-02-2020 17:15:19,Tbilisi,1IZXK,BadboysTbl,Метадон 0.6гр,True,1,нет,Тбилиси,0.6 гр,0.0271,19676,7657,675,310,,,,,,,,,,,Metadon 0.6gr
13,09-02-2020 17:15:19,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,6,нет,Тбилиси,0.8 гр,0.0115,7617,2964,261,120,,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
14,09-02-2020 17:15:19,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,5,нет,Тбилиси,1 гр,0.0039,2856,1112,98,45,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
