,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,09-03-2020 10:14:07,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,11,нет,Тбилиси,0.25 гр,0.0219,14179,5277,470,210.0,,,,,,,,,Metadon VHQ 0.25 24/7
1,1,09-03-2020 10:14:07,Tbilisi,8ec76151d3,Metadon VHQ 0.33,True,2,нет,Тбилиси,0.33 гр,0.0293,18905,7036,627,280.0,,,,,,,,,Metadon VHQ 0.33
2,2,09-03-2020 10:14:07,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G,True,1,нет,Тбилиси,0.35 гр,0.0371,21606,8042,717,320.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
3,3,09-03-2020 10:14:07,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0109,6684,2488,222,99.0,,,,,,,,,Cocaine Pure VHQ 0.5g
4,4,09-03-2020 10:14:07,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS saburtalo!! btc sale 1%",True,6,нет,Тбилиси,1 гр,0.0045,2633,980,87,39.0,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS saburtalo!! btc sale 1%"
5,5,09-03-2020 10:14:07,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0051,2971,1106,99,44.0,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
6,6,09-03-2020 10:14:07,Tbilisi,64284550d9,1G -- ФОТО РАБОТАЕТ -> Sativa,,27,нет,Тбилиси,1 гр,0.0042,2498,930,83,37.0,True,,,,,,,,1G -- FOTO RABOTAET -> Sativa
7,7,09-03-2020 10:14:07,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,3,нет,Тбилиси,1 гр,0.0052,3038,1131,101,45.0,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
8,8,09-03-2020 10:14:07,Tbilisi,da96c34455,ALFA PVP 1g,True,3,нет,Тбилиси,1 гр,0.0161,9452,3518,314,140.0,,,,,,,,,ALFA PVP 1g
9,9,09-03-2020 10:14:07,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,10,нет,Тбилиси,1 гр,0.0172,10128,3770,336,150.0,,,,,,,,,Apvp VHQ 1g 24/7
