,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,09-03-2020 21:42:35,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G,True,3,нет,Тбилиси,0.35 гр,0.0366,21606,8250,717,320,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
1,09-03-2020 21:42:35,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.0113,6684,2552,222,99,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
2,09-03-2020 21:42:35,Tbilisi,ABOAB,ProGrow,1G -- ФОТО РАБОТАЕТ -> Sativa,,9,нет,Тбилиси,1 гр,0.0041,2498,954,83,37,True,,,,,,,,1G -- FOTO RABOTAET -> Sativa
3,09-03-2020 21:42:35,Tbilisi,Y7587,PVPStore,ALFA PVP 1g,True,1,нет,Тбилиси,1 гр,0.0144,9452,3609,314,140,,,,,,,,,ALFA PVP 1g
4,09-03-2020 21:42:35,Tbilisi,BP40,WakeShop,Apvp VHQ 1g 24/7,True,9,нет,Тбилиси,1 гр,0.017,10128,3867,336,150,,,,,,,,,Apvp VHQ 1g 24/7
5,09-03-2020 21:42:35,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0206,12761,4872,423,189,,,,,,,,,Cocaine Pure VHQ 1g
6,09-03-2020 21:42:35,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 1г мука,True,6,нет,Тбилиси,1 гр,0.0144,9452,3609,314,140,,,,,,,,,NZT-52 mind storm limited 1g muka
7,09-03-2020 21:42:35,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,4,нет,Тбилиси,1 гр,0.0216,13436,5130,446,199,,,,,,,,,VHQ BEST Cocaine 1g.
8,09-03-2020 21:42:35,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0203,12086,4615,401,179,,True,,,,,,,Kokain KOLUMBIA 1g
9,09-03-2020 21:42:35,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0927,60766,23202,2016,900,,,,,,,,,Metadon 1gr
10,09-03-2020 21:42:35,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,11,нет,Тбилиси,2 гр,0.0036,2363,902,78,35,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
11,09-03-2020 21:42:35,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,3,нет,Тбилиси,2 гр,0.0412,25589,9771,849,379,,,,,,,,,Kokain HQ 2g.
12,09-03-2020 21:42:35,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.0113,6684,2552,222,99,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
13,09-03-2020 21:42:35,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.033,21606,8250,717,320,,,,,,,,,"5 Grm MDMA , Purity A +++"
14,09-03-2020 21:42:35,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0458,28441,11063,944,,,,375,,,,,,5 gr mdma (skidka v bitkoin 5%)
