,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,09-06-2020 14:27:03,Tbilisi,OX85,amnesia420,"0,5g NORTHERN LIGHTS (Indica)",True,5,нет,Тбилиси,0.5 гр,0.003,2049,803,71,30,,,,,,,,,,,"0,5g NORTHERN LIGHTS (Indica)"
1,09-06-2020 14:27:03,Tbilisi,OX85,amnesia420,"0,5g SOUR DIESEL (Hybrid, Sativa)",True,2,нет,Тбилиси,0.5 гр,0.0032,2186,856,76,32,,,,,,,,,,,"0,5g SOUR DIESEL (Hybrid, Sativa)"
2,09-06-2020 14:27:03,Tbilisi,U26MW,Skyhigh,NEW !!! SUPER HIGH QUALITY MANGO KUSH HYBRID BUDS THC 25%+ 0.5G,,5,нет,Тбилиси,0.5 гр,0.0032,2186,856,76,32,True,,,,,,,,,,NEW !!! SUPER HIGH QUALITY MANGO KUSH HYBRID BUDS THC 25%+ 0.5G
3,09-06-2020 14:27:03,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,9,нет,Тбилиси,0.5 гр,0.0032,2186,856,76,32,True,,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
4,09-06-2020 14:27:03,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,True,2,нет,Тбилиси,1 гр,0.0046,3142,1231,109,46,,,,,,,,,,,Amsterdam weed sativa 1gr
5,09-06-2020 14:27:03,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,True,1,нет,Тбилиси,2 гр,0.0473,32107,12573,1115,470,,,,,,,,,,,Cocaine Pure VHQ 2 g
6,09-06-2020 14:27:03,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,True,6,нет,Тбилиси,3 гр,0.0088,5943,2327,206,87,,,,,,,,,,,3 gr georgian weed. Package on magnet
7,09-06-2020 14:27:03,Tbilisi,QUZIV,Hollyweed,Marijuana Super Skunk leaves 3g plan,,3,нет,Тбилиси,3 гр,0.004,2664,1043,93,39,,True,,,,,,,,,Marijuana Super Skunk leaves 3g plan
8,09-06-2020 14:27:03,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,True,5,нет,Тбилиси,5 гр,0.014,9495,3718,330,139,,,,,,,,,,,5 gr georgian weed. Package on magnet
9,09-06-2020 14:27:03,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,2,нет,Тбилиси,5 гр,0.022,16395,6420,570,240,,,,,,,,,,,5g. marihuana shishki Critical
10,09-06-2020 14:27:03,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 5g.,True,1,нет,Тбилиси,5 гр,0.1157,78559,30763,2729,1150,,,,,,,,,,,Cocaine Pure VHQ 5g.
11,09-06-2020 14:27:03,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1142,79925,31298,2777,1170,,,,,,,,,,,VHQ BEST Cocaine 5g.
12,09-06-2020 14:27:03,Tbilisi,18SM,TBILICKI77,"SUBOQSIN ""DNK"" 8ML",,2,нет,Тбилиси,8 гр,0.015,10179,3986,354,149,True,,,,,,,,,,"SUBOQSIN ""DNK"" 8ML"
13,09-06-2020 14:27:03,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,True,2,нет,Тбилиси,10 гр,0.0261,17693,6928,615,259,,,,,,,,,,,10 gr georgian weed. Package on magnet
14,09-06-2020 14:27:03,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,5,нет,Тбилиси,10 гр,0.024,16327,6393,567,239,,,True,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
15,09-06-2020 14:27:03,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0457,34156,13375,1187,500,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
16,09-06-2020 14:27:03,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2031,136625,53500,4746,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
17,09-06-2020 14:27:03,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0588,39553,15488,1374,579,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
18,09-06-2020 14:27:03,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0402,27325,10700,949,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
19,09-06-2020 14:27:03,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0553,37572,14713,1305,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
20,09-06-2020 14:27:03,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,8,Тбилиси,5 гр,0.0236,16053,6286,558,235,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
21,09-06-2020 14:27:03,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0241,16395,6420,570,240,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
22,09-06-2020 14:27:03,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0231,15712,6153,546,230,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
23,09-06-2020 14:27:03,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0241,16395,6420,570,240,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
24,09-06-2020 14:27:03,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,8,Тбилиси,5 гр,0.0241,16395,6420,570,240,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
25,09-06-2020 14:27:03,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0231,15712,6153,546,230,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
