,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Дигоми,€,Nadzaladevi,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,10-02-2020 02:47:09,Tbilisi,61df6a1c90,Метадон 0.15гр,True,9,нет,Тбилиси,0.15 гр,0.0113,8251,3211,283,130.0,,,,,,,,,,,,Metadon 0.15gr
1,1,10-02-2020 02:47:09,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,7,нет,Тбилиси,0.25 гр,0.0157,11425,4446,392,180.0,,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,10-02-2020 02:47:09,Tbilisi,32e645c201,"methadone 0,29 gr",,7,нет,Тбилиси,0.29 гр,0.0201,13329,5187,457,210.0,True,,,,,,,,,,,"methadone 0,29 gr"
3,3,10-02-2020 02:47:09,Tbilisi,61df6a1c90,Метадон 0.30гр,True,5,нет,Тбилиси,0.3 гр,0.0156,12060,4693,413,190.0,,,,,,,,,,,,Metadon 0.30gr
4,4,10-02-2020 02:47:09,Tbilisi,8a650ecf5f,"A PVP 0,33 VHQ",True,5,нет,Тбилиси,0.33 гр,0.0055,3808,1482,131,60.0,,,,,,,,,,,,"A PVP 0,33 VHQ"
5,5,10-02-2020 02:47:09,Tbilisi,21de5577be,0.5 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT,,4,нет,Тбилиси,0.5 гр,0.0028,1841,716,63,29.0,,True,,,,,,,,,,0.5 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT
6,6,10-02-2020 02:47:09,Tbilisi,21de5577be,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica,,8,нет,Тбилиси,0.5 гр,0.0028,1841,716,63,29.0,True,,True,,,,,,,,,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica
7,7,10-02-2020 02:47:09,Tbilisi,da96c34455,ALFA PVP in City 0.5g,True,6,нет,Тбилиси,0.5 гр,0.0077,5078,1976,174,80.0,,,,,,,,,,,,ALFA PVP in City 0.5g
8,8,10-02-2020 02:47:09,Tbilisi,013e75d78f,"H i B R i D 0.5г. Три вадном ----> amnezia , tutanhamon, jackherer )",True,1,нет,Тбилиси,0.5 гр,0.0047,3110,1210,107,49.0,,,,,,,,,,,,"H i B R i D 0.5g. Tri vadnom ----> amnezia , tutanhamon, jackherer )"
9,9,10-02-2020 02:47:09,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0058,3808,1482,131,60.0,,,,,,,,,,,,Ketamine 0.5g
10,10,10-02-2020 02:47:09,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,2,нет,Тбилиси,0.5 гр,0.0261,19042,7410,653,300.0,,,,,,,,,,,,Metadon VHQ 0.5 24/7
11,11,10-02-2020 02:47:09,Tbilisi,61df6a1c90,Метадон 0.6гр,True,1,нет,Тбилиси,0.6 гр,0.027000000000000003,19676,7657,675,310.0,,,,,,,,,,,,Metadon 0.6gr
12,12,10-02-2020 02:47:09,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,7,нет,Тбилиси,0.8 гр,0.0115,7617,2964,261,120.0,,,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
13,13,10-02-2020 02:47:09,Tbilisi,7ee4f68218,1 g Ketamine / 1 гр Кетамин (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0069,4760,1853,163,75.0,,,,,,,,,,,,1 g Ketamine / 1 gr Ketamin (skidka v bitkoin)
