,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,10-04-2020 10:28:44,Tbilisi,54915c4374,MDMA 0.4 грам.,True,1,нет,Тбилиси,0.4 гр,0.0082,4849,1788,164,65.0,,,,,,,,,MDMA 0.4 gram.
1,1,10-04-2020 10:28:44,Tbilisi,28bf667d16,Cocaine Fishscale! Limited Quantity 0.5 g. акция -15% при оплате бтк!!!,True,3,нет,Тбилиси,0.5 гр,0.0222,13877,5115,468,186.0,,,,,,,,,Cocaine Fishscale! Limited Quantity 0.5 g. aktsija -15% pri oplate btk!!!
2,2,10-04-2020 10:28:44,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни! НУЖЕН КУРЬЕР,True,3,нет,Тбилиси,0.5 гр,0.0104,5595,2063,189,75.0,,,,,,,,,MDMA 0.5gr ogromnye kamni! NUZhEN KUR'ER
3,3,10-04-2020 10:28:44,Tbilisi,2f51af8159,SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G ВЕС +15%,,1,нет,Тбилиси,0.5 гр,0.0042,2238,825,75,30.0,True,,,,,,,,SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G VES +15%
4,4,10-04-2020 10:28:44,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,3,нет,Тбилиси,0.5 гр,0.0153,8132,2998,274,109.0,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
5,5,10-04-2020 10:28:44,Tbilisi,cb721d4bca,1 гр листя плус галовки марихуана,True,4,нет,Тбилиси,1 гр,0.0042,2238,825,75,30.0,,,,,,,,,1 gr listja plus galovki marihuana
6,6,10-04-2020 10:28:44,Tbilisi,2f51af8159,Georgian Ganja Buds 1 G Medium Quality,,1,нет,Тбилиси,1 гр,0.0046,2462,908,83,33.0,True,,,,,,,,Georgian Ganja Buds 1 G Medium Quality
7,7,10-04-2020 10:28:44,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0833,44763,16500,1510,600.0,True,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
8,8,10-04-2020 10:28:44,Tbilisi,2f51af8159,Super Quality Mango Haze Hybrid 1 Gram,,1,нет,Тбилиси,1 гр,0.0075,4029,1485,136,54.0,True,,,,,,,,Super Quality Mango Haze Hybrid 1 Gram
9,9,10-04-2020 10:28:44,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.027999999999999997,15667,5775,528,210.0,,,,,,,,,VHQ BEST Cocaine 1g.
10,10,10-04-2020 10:28:44,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,4,нет,Тбилиси,1 гр,0.0029,1716,633,58,23.0,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
11,11,10-04-2020 10:28:44,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,5,нет,Тбилиси,1 гр,0.026000000000000002,14100,5198,476,189.0,,,,,,,,,Kokain HQ 1g.
12,12,10-04-2020 10:28:44,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1135,67145,24750,2264,900.0,,,,,,,,,Metadon 1gr
13,13,10-04-2020 10:28:44,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,6,нет,Тбилиси,1 гр,0.0025,1492,550,50,20.0,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
14,14,10-04-2020 10:28:44,Tbilisi,83f3d55917,19% ТГК Шишки Northern Lights 1.1г Скидка 3% через БИТКОИН,,4,нет,Тбилиси,1.1 гр,0.0061,3357,1238,113,45.0,,True,,,,,,,19% TGK Shishki Northern Lights 1.1g Skidka 3% cherez BITKOIN
15,15,10-04-2020 10:28:44,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,12,нет,Тбилиси,2 гр,0.0096,5148,1898,174,69.0,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
16,16,10-04-2020 10:28:44,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,1,нет,Тбилиси,2 гр,0.0111,5894,2173,199,79.0,True,,,,,,,,2g super Skunk top class buds. Indica
17,17,10-04-2020 10:28:44,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,5,нет,Тбилиси,2 гр,0.0098,5222,1925,176,70.0,,,,,,,,,2x Extasy Duracell 223mg MDMA.
18,18,10-04-2020 10:28:44,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0524,30961,11413,1044,415.0,,,,,,,,,VHQ BEST Cocaine 2g.
19,19,10-04-2020 10:28:44,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,True,8,нет,Тбилиси,2 гр,0.0044,2611,963,88,35.0,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
20,20,10-04-2020 10:28:44,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,2 гр,0.0044,2611,963,88,35.0,True,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
21,21,10-04-2020 10:28:44,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,4,нет,Тбилиси,2 гр,0.0111,5968,2200,201,80.0,,,True,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
22,22,10-04-2020 10:28:44,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0426,23874,8800,805,320.0,,,,,,,,,"5 Grm MDMA , Purity A +++"
23,23,10-04-2020 10:28:44,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0412,22382,8250,755,300.0,,,,,,,,,5 Grm Mdma Pure Quality A +++
24,24,10-04-2020 10:28:44,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (hight quality),True,6,нет,Тбилиси,5 гр,0.0186,9997,3685,337,134.0,,,,,,,,,5gr marijuana buds -indica- (hight quality)
25,25,10-04-2020 10:28:44,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,True,2,нет,Тбилиси,10 гр,0.028999999999999998,15592,5748,526,209.0,,,,,,,,,10 gr marijuana buds. -indica-
26,26,10-04-2020 10:28:44,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0507,27231,10038,918,365.0,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
27,27,10-04-2020 10:28:44,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,10 гр,0.0107,6341,2338,214,85.0,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
