,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,10-04-2020 15:34:22,Tbilisi,A3I9,Joookerrr,MDMA 0.4 грам.,True,1,нет,Тбилиси,0.4 гр,0.0081,4794,1788,164,65,,,,,,,,,,,MDMA 0.4 gram.
1,10-04-2020 15:34:22,Tbilisi,Z5UFK,Vein,Cocaine Fishscale! Limited Quantity 0.5 g. акция -15% при оплате бтк!!!,True,3,нет,Тбилиси,0.5 гр,0.0219,13718,5115,468,186,,,,,,,,,,,Cocaine Fishscale! Limited Quantity 0.5 g. aktsija -15% pri oplate btk!!!
2,10-04-2020 15:34:22,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0143,8039,2998,274,109,,,,,,,,,,,Cocaine Pure VHQ 0.5g
3,10-04-2020 15:34:22,Tbilisi,V4T,COCAcoLA,MDMA 0.5gr огромные камни! НУЖЕН КУРЬЕР,True,1,нет,Тбилиси,0.5 гр,0.0103,5531,2063,189,75,,,,,,,,,,,MDMA 0.5gr ogromnye kamni! NUZhEN KUR'ER
4,10-04-2020 15:34:22,Tbilisi,U26MW,Skyhigh,SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G ВЕС +15%,,10,нет,Тбилиси,0.5 гр,0.0041,2213,825,75,30,True,,,,,,,,,,SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G VES +15%
5,10-04-2020 15:34:22,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,4,нет,Тбилиси,0.5 гр,0.0151,8039,2998,274,109,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
6,10-04-2020 15:34:22,Tbilisi,SF03,CRAZYFROG,1 гр листя плус галовки марихуана,True,4,нет,Тбилиси,1 гр,0.0041,2213,825,75,30,,,,,,,,,,,1 gr listja plus galovki marihuana
7,10-04-2020 15:34:22,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0255,14308,5335,488,194,,,,,,,,,,,Cocaine Pure VHQ 1g
8,10-04-2020 15:34:22,Tbilisi,V4T,COCAcoLA,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0821,44251,16500,1510,600,True,,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
9,10-04-2020 15:34:22,Tbilisi,V4T,COCAcoLA,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,,1,нет,Тбилиси,1 гр,0.0958,51626,19250,1761,700,True,,,,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
10,10-04-2020 15:34:22,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,True,1,нет,Тбилиси,1 гр,0.1095,59001,22000,2013,800,,,,,,,,,,,Metadon VHQ 1 24/7
11,10-04-2020 15:34:22,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,4,нет,Тбилиси,1 гр,0.0029,1696,633,58,23,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
12,10-04-2020 15:34:22,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0256,13939,5198,476,189,,,,,,,,,,,Kokain HQ 1g.
13,10-04-2020 15:34:22,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.112,66376,24750,2264,900,,,,,,,,,,,Metadon 1gr
14,10-04-2020 15:34:22,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,6,нет,Тбилиси,1 гр,0.0025,1475,550,50,20,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
15,10-04-2020 15:34:22,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,4,нет,Тбилиси,2 гр,0.0094,5089,1898,174,69,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
16,10-04-2020 15:34:22,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds. Indica,,1,нет,Тбилиси,2 гр,0.0109,5826,2173,199,79,,True,,,,,,,,,2g super Skunk top class buds. Indica
17,10-04-2020 15:34:22,Tbilisi,8B31,GEOWEEDSHOP,2gr Indica dominant Buds,True,7,нет,Тбилиси,2 гр,0.0064,3466,1293,118,47,,,,,,,,,,,2gr Indica dominant Buds
18,10-04-2020 15:34:22,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,2 гр,0.0097,5163,1925,176,70,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
19,10-04-2020 15:34:22,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,True,2,нет,Тбилиси,2 гр,0.0044,2581,963,88,35,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
20,10-04-2020 15:34:22,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,2 гр,0.0044,2581,963,88,35,,,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
21,10-04-2020 15:34:22,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,3,нет,Тбилиси,2 гр,0.011,5900,2200,201,80,,,True,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
22,10-04-2020 15:34:22,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.042,23600,8800,805,320,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
23,10-04-2020 15:34:22,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0406,22125,8250,755,300,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
24,10-04-2020 15:34:22,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (hight quality),True,3,нет,Тбилиси,5 гр,0.0183,9883,3685,337,134,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
25,10-04-2020 15:34:22,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 5g.,True,1,нет,Тбилиси,5 гр,0.107,63426,23650,2164,860,,,,,,,,,,,Cocaine Pure VHQ 5g.
26,10-04-2020 15:34:22,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 5 штук!!!,,2,нет,Тбилиси,5 гр,0.0095,5652,2104,192,,,,,True,70,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 5 shtuk!!!
27,10-04-2020 15:34:22,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,5 гр,0.0068,4056,1513,138,55,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
28,10-04-2020 15:34:22,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.05,26919,10038,918,365,,,True,,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
29,10-04-2020 15:34:22,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,10 гр,0.0106,6269,2338,214,85,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
30,10-04-2020 15:34:22,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0525,29501,11000,1006,400,,,,,,,,,,,gashish evro 10g
31,10-04-2020 15:34:22,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1021,57305,21368,1955,777,,,,,,,,,,,Gashish Evro 20gr
32,10-04-2020 15:34:22,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2489,147503,55000,5032,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
33,10-04-2020 15:34:22,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 0.27 G.,True,8,10,Тбилиси,0.27 гр,0.0314,16742,6243,571,227,,,,,,,,,,,METADON - 0.27 G.
34,10-04-2020 15:35:07,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 0.27 G.,True,8,10,Тбилиси,0.27 гр,0.0315,16742,6243,571,227,,,,,,,,,,,METADON - 0.27 G.
35,10-04-2020 15:35:07,Tbilisi,Z5UFK,Vein,Cocaine Fishscale! Limited Quantity 1g. акция -20% при оплате бтк!!!,True,7,10,Тбилиси,1 гр,0.0406,26919,10038,918,365,,,,,,,,,,,Cocaine Fishscale! Limited Quantity 1g. aktsija -20% pri oplate btk!!!
36,10-04-2020 15:35:07,Tbilisi,A3I9,Joookerrr,MDMA 1 гр,True,нет,1,Тбилиси,1 гр,0.0137,8074,3005,274,,,,,,100,,,,,,MDMA 1 gr
37,10-04-2020 15:35:07,Tbilisi,A3I9,Joookerrr,Бупренорфин!!! Аналог суботекса!!! 2 грамма (порошок),True,нет,1,Тбилиси,2 гр,0.0205,12110,4508,410,,,,,,150,,,,,,Buprenorfin!!! Analog suboteksa!!! 2 gramma (poroshok)
38,10-04-2020 15:35:07,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,3,Тбилиси,2 гр,0.0512,27214,10148,928,369,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
39,10-04-2020 15:35:07,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0819,43513,16225,1484,590,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
40,10-04-2020 15:35:07,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.055,29501,11000,1006,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
41,10-04-2020 15:35:07,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,4,Тбилиси,5 гр,0.022,11800,4400,403,160,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
42,10-04-2020 15:35:07,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0756,40563,15125,1384,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
43,10-04-2020 15:35:07,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0234,12538,4675,428,170,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
44,10-04-2020 15:35:07,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0274,14677,5473,501,199,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
45,10-04-2020 15:35:07,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0274,14677,5473,501,199,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
46,10-04-2020 15:35:07,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0274,16152,6023,551,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
47,10-04-2020 15:35:07,Tbilisi,Z5UFK,Vein,Cocaine Fishscale 5g,True,нет,1,Тбилиси,5 гр,0.1657,88871,33138,3032,1205,,,,,,,,,,,Cocaine Fishscale 5g
48,10-04-2020 15:35:07,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0274,14677,5473,501,199,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
49,10-04-2020 15:35:07,Tbilisi,A3I9,Joookerrr,МДМА 5 гр!!!,True,нет,2,Тбилиси,5 гр,0.0479,28258,10518,958,,,,,,350,,,,,,MDMA 5 gr!!!
50,10-04-2020 15:35:07,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,12,Тбилиси,5 гр,0.025,14750,5500,503,200,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
51,10-04-2020 15:35:07,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.322,190000,87429,6411,,,,,,,,,,,,reagent 25i nbome. 5gr
52,10-04-2020 15:35:07,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.375,221255,82500,7548,3000,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
53,10-04-2020 15:35:07,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,2,Тбилиси,5 гр,0.1207,64090,23898,2186,869,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
54,10-04-2020 15:35:07,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0264,14013,5225,478,190,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
55,10-04-2020 15:35:07,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0679,36064,13448,1230,489,,,,,,,,,,,💘✨5g. MDMA ✨💘
56,10-04-2020 15:35:07,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,1,5,Тбилиси,5 гр,0.0262,13939,5198,476,189,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
57,10-04-2020 15:35:07,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1237,66376,24750,2264,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
58,10-04-2020 15:35:07,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0962,51626,19250,1761,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
59,10-04-2020 15:35:07,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.044,23600,8800,805,320,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
60,10-04-2020 15:35:07,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.11,59001,22000,2013,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
61,10-04-2020 15:35:07,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3059,164097,61188,5598,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
62,10-04-2020 15:35:07,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),True,3,3,Тбилиси,10 гр,0.0137,8074,3005,274,,,,,,100,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
