,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,10-05-2020 09:19:09,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,19,нет,Тбилиси,0.5 гр,0.0182,11746,4310,388,159.0,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,10-05-2020 09:19:09,Tbilisi,e56bb6ca93,0.5g Cocaine. Quality not best but normal,True,2,нет,Тбилиси,0.5 гр,0.0112,7313,2684,242,99.0,,,,,,,,,,0.5g Cocaine. Quality not best but normal
2,2,10-05-2020 09:19:09,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,2,нет,Тбилиси,1 гр,0.0062,4063,1491,134,55.0,,,,,,,,,,1 G Hybrid Marijuana Buds
3,3,10-05-2020 09:19:09,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,7,нет,Тбилиси,1 гр,0.0343,22088,8106,730,299.0,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
4,4,10-05-2020 09:19:09,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0267,17360,6371,574,235.0,,,,,,,,,,Cocaine Pure VHQ 1g
5,5,10-05-2020 09:19:09,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 1G,True,2,нет,Тбилиси,1 гр,0.0059,3841,1410,127,52.0,,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 1G
6,6,10-05-2020 09:19:09,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.027000000000000003,17729,6506,586,240.0,,,,,,,,,,VHQ BEST Cocaine 1g.
7,7,10-05-2020 09:19:09,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0928,66485,24399,2197,900.0,,,,,,,,,,Metadon 1gr
8,8,10-05-2020 09:19:09,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,2,нет,Тбилиси,1 гр,0.0125,8052,2955,266,109.0,True,,,,,,,,,✨ 1g. MDMA ✨
9,9,10-05-2020 09:19:09,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,1,нет,Тбилиси,2 гр,0.0102,6575,2413,217,89.0,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
