,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,10-05-2020 19:00:40,Tbilisi,OX85,amnesia420,"0,5g GORILLA GLUE #4 (Hybrid, more indica)",True,2,нет,Тбилиси,0.5 гр,0.0031,2068,759,68,28,,,,,,,,"0,5g GORILLA GLUE #4 (Hybrid, more indica)"
1,10-05-2020 19:00:40,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,16,нет,Тбилиси,0.5 гр,0.0179,11746,4310,388,159,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,10-05-2020 19:00:40,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,True,9,нет,Тбилиси,0.5 гр,0.003,1995,732,66,27,True,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,10-05-2020 19:00:40,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,6,нет,Тбилиси,1 гр,0.0052,3768,1383,125,51,True,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
4,10-05-2020 19:00:40,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,5,нет,Тбилиси,1 гр,0.0336,22088,8106,730,299,,,,,,,,1G --... BoLiVian Coke ...-- 1G
5,10-05-2020 19:00:40,Tbilisi,OX85,amnesia420,"1g GORILLA GLUE #4 (Hybrid, more indica)",True,6,нет,Тбилиси,1 гр,0.0053,3546,1301,117,48,,,,,,,,"1g GORILLA GLUE #4 (Hybrid, more indica)"
6,10-05-2020 19:00:40,Tbilisi,OX85,amnesia420,"1g WHITE WIDOW (Hybrid, more sativa)",True,1,нет,Тбилиси,1 гр,0.0053,3546,1301,117,48,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
7,10-05-2020 19:00:40,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0262,17360,6371,574,235,,,,,,,,Cocaine Pure VHQ 1g
8,10-05-2020 19:00:40,Tbilisi,UTYG,Greanheave,Lsd 25 buds 1 GR,True,2,нет,Тбилиси,1 гр,0.0053,3841,1410,127,52,,,,,,,,Lsd 25 buds 1 GR
9,10-05-2020 19:00:40,Tbilisi,X4ZM,ZYX,NEW ! Silver Haze NEW ! HQ BUDS 1G,True,4,нет,Тбилиси,1 гр,0.0058,3841,1410,127,52,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 1G
10,10-05-2020 19:00:40,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0911,66485,24399,2197,900,,,,,,,,Metadon 1gr
11,10-05-2020 19:00:40,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,2,нет,Тбилиси,1 гр,0.0269,17656,6479,584,239,,True,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
12,10-05-2020 19:00:40,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,True,1,нет,Тбилиси,2 гр,0.01,6575,2413,217,89,,,,,,,,2 ECSTASY << PACO RABANNE >>
13,10-05-2020 19:00:40,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,2,нет,Тбилиси,2 гр,0.0111,7387,2711,244,100,,,,,,,,2 G Hybrid Marijuana Buds
14,10-05-2020 19:00:40,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,2 гр,0.0079,5171,1898,171,70,,,,,,,,2x Extasy Duracell 223mg MDMA.
15,10-05-2020 19:00:40,Tbilisi,X4ZM,ZYX,NEW ! Silver Haze NEW ! HQ BUDS 2G,,1,нет,Тбилиси,2 гр,0.0109,7240,2657,239,98,True,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 2G
16,10-05-2020 19:00:40,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,2 гр,0.0095,6279,2304,208,85,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
17,10-05-2020 19:00:40,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,1,нет,Тбилиси,3 гр,0.0134,8791,3226,291,119,,,,,,,,3 ECSTASY << PACO RABANNE >>
18,10-05-2020 19:00:40,Tbilisi,18FB,Mr.Green Tbilis,3 G Hybrid Marijuana Big Buds,True,11,нет,Тбилиси,3 гр,0.0145,9603,3524,317,130,,,,,,,,3 G Hybrid Marijuana Big Buds
19,10-05-2020 19:00:40,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0118,7757,2847,256,105,,,,,,,,3x Extasy Duracell 223mg MDMA
20,10-05-2020 19:00:40,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,3,нет,Тбилиси,5 гр,0.0342,23639,8675,781,320,,,,,,,,"5 Grm MDMA , Purity A +++"
21,10-05-2020 19:00:40,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),True,1,нет,Тбилиси,5 гр,0.0133,8791,3226,291,119,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
22,10-05-2020 19:00:40,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0428,29549,10844,977,400,,,,,,,,gashish evro 10g
23,10-05-2020 19:00:40,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.083,57399,21064,1897,777,,,,,,,,Gashish Evro 20gr
24,10-05-2020 19:00:40,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2025,147745,54220,4883,2000,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
25,10-05-2020 19:00:40,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 1G",True,нет,6,Тбилиси,1 гр,0.0178,11820,4338,391,160,,,,,,,,"""Kief"" Weed trichomes 1G"
26,10-05-2020 19:00:40,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,3,Тбилиси,2 гр,0.0236,15513,5693,513,210,,,,,,,,✨✨2gram. MDMA✨✨
27,10-05-2020 19:00:40,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,5,Тбилиси,2 гр,0.0415,27259,10004,901,369,,,,,,,,❄❄2g HQ COCAINE❄❄
28,10-05-2020 19:00:40,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,9,Тбилиси,3 гр,0.0651,42772,15697,1414,579,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
29,10-05-2020 19:00:40,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0446,29549,10844,977,400,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
30,10-05-2020 19:00:40,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0613,40630,14911,1343,550,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
31,10-05-2020 19:00:40,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0262,17360,6371,574,235,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
32,10-05-2020 19:00:40,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0267,17729,6506,586,240,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
33,10-05-2020 19:00:41,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0256,16991,6235,562,230,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
34,10-05-2020 19:01:42,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0256,16991,6235,562,230,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
35,10-05-2020 19:01:42,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0267,17729,6506,586,240,,,,,,,,5 gr Shishki “OG KUSH VHQ”
36,10-05-2020 19:01:42,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0267,17729,6506,586,240,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
37,10-05-2020 19:01:42,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0267,17729,6506,586,240,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
38,10-05-2020 19:01:42,Tbilisi,BB6E,WEEDSH0P,5gr Stardawg Auto WEED BUDS,True,нет,10,Тбилиси,5 гр,0.0267,17729,6506,586,240,,,,,,,,5gr Stardawg Auto WEED BUDS
39,10-05-2020 19:01:42,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0256,16991,6235,562,230,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
40,10-05-2020 19:01:42,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0222,16178,5937,535,219,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
41,10-05-2020 19:01:42,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0262,17360,6371,574,235,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
42,10-05-2020 19:01:42,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0178,11820,4338,391,160,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
43,10-05-2020 19:01:42,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2602,190000,87429,6279,,,,,,,,,reagent 25i nbome. 5gr
44,10-05-2020 19:01:42,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3035,221618,81330,7325,3000,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
45,10-05-2020 19:01:42,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1078,70844,25998,2341,959,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
46,10-05-2020 19:01:42,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,1,Тбилиси,5 гр,0.0212,13962,5124,461,189,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
47,10-05-2020 19:01:42,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0214,14036,5151,464,190,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
48,10-05-2020 19:01:42,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.055,36124,13257,1194,489,,,,,,,,💘✨5g. MDMA ✨💘
