,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,10-06-2020 13:27:58,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,True,5,нет,Тбилиси,0.25 гр,0.0143,9978,3922,346,129.0,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,10-06-2020 13:27:58,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,,,4,нет,Тбилиси,0.5 гр,0.0162,10919,4253,378,,True,159.0,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,10-06-2020 13:27:58,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,,13,нет,Тбилиси,0.5 гр,0.0032,2198,856,76,,True,32.0,True,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
3,3,10-06-2020 13:27:58,Tbilisi,0dec0e1c48,2gr HYBRID buds,,,2,нет,Тбилиси,2 гр,0.0089,6043,2354,209,,True,88.0,,,,,,,,,2gr HYBRID buds
4,4,10-06-2020 13:27:58,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,True,,1,нет,Тбилиси,2 гр,0.0086,5837,2274,202,,,85.0,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
5,5,10-06-2020 13:27:58,Tbilisi,e56bb6ca93,3 gr Indica dominant Buds,,,6,нет,Тбилиси,3 гр,0.009000000000000001,6112,2381,212,,,89.0,,True,,,,,,,3 gr Indica dominant Buds
6,6,10-06-2020 13:27:58,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,,10,нет,Тбилиси,3 гр,0.0088,5975,2327,207,,True,87.0,,,,,,,,,3 gr georgian weed. Package on magnet
7,7,10-06-2020 13:27:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,,,1,нет,Тбилиси,4 гр,0.0108,7348,2862,255,,True,107.0,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
8,8,10-06-2020 13:27:58,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,,5,нет,Тбилиси,5 гр,0.013999999999999999,9546,3718,331,,True,139.0,,,,,,,,,5 gr georgian weed. Package on magnet
9,9,10-06-2020 13:27:58,Tbilisi,8528108b62,5g. марихуана шишки Critical,,,2,нет,Тбилиси,5 гр,0.022000000000000002,16482,6420,571,,True,240.0,,,,,,,,,5g. marihuana shishki Critical
