,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Varketili,Saburtalo,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,10-07-2020 15:50:20,Tbilisi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 0.12g 💢🌡🚀",True,8,нет,Тбилиси,0.12 гр,0.0072,4736,1811,163,59,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 0.12g 💢🌡🚀"
1,10-07-2020 15:50:20,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25,True,3,нет,Тбилиси,0.25 гр,0.012,8027,3070,275,100,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25
2,10-07-2020 15:50:20,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,10,нет,Тбилиси,0.5 гр,0.0036,2351,898,80,,33,,,,,,,,,0.5 gr HYBRID buds
3,10-07-2020 15:50:20,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0034,2279,870,78,,32,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
4,10-07-2020 15:50:20,Tbilisi,QVK5,Galiak,уро / Hammer 0.5G 100%шишки! LIMITED,,5,нет,Тбилиси,0.5 гр,0.0037,2493,952,85,,35,True,,,,,,,,uro / Hammer 0.5G 100%shishki! LIMITED
5,10-07-2020 15:50:20,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,True,10,нет,Тбилиси,0.5 гр,0.0042,2809,1075,96,35,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
6,10-07-2020 15:50:20,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0064,4274,1632,146,,60,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
7,10-07-2020 15:50:20,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),,1,нет,Тбилиси,1 гр,0.0063,4203,1605,144,,59,,True,,,,,,,1G ---> Big Devil (BTC - Sale)
8,10-07-2020 15:50:20,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,12,нет,Тбилиси,1 гр,0.0052,3490,1333,119,,49,,,,,,,,,1gr HYBRID o.g
9,10-07-2020 15:50:20,Tbilisi,QVK5,Galiak,Gorilla Glue 1G Super strong weed LIMITED,,3,нет,Тбилиси,1 гр,0.0064,4274,1632,146,,60,True,,,,,,,,Gorilla Glue 1G Super strong weed LIMITED
10,10-07-2020 15:50:20,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,True,4,нет,Тбилиси,1 гр,0.0073,4816,1842,165,60,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
11,10-07-2020 15:50:20,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,1,нет,Тбилиси,2 гр,0.0128,8548,3264,292,,120,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
12,10-07-2020 15:50:20,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,7,нет,Тбилиси,2 гр,0.0094,6268,2394,214,,88,,,,,,,,,2gr HYBRID buds
13,10-07-2020 15:50:20,Tbilisi,BB6E,WEEDSH0P,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,1,нет,Тбилиси,2 гр,0.0128,8548,3264,292,,120,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
14,10-07-2020 15:50:20,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 2гр",True,2,нет,Тбилиси,2 гр,0.0107,7835,2992,268,,110,,,True,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
15,10-07-2020 15:50:20,Tbilisi,3TGJ9,Elegant,3g. марихуана шишки Critical,True,1,нет,Тбилиси,3 гр,0.0145,10684,4080,365,,150,,,,,,,,,3g. marihuana shishki Critical
16,10-07-2020 15:50:20,Tbilisi,8B31,GEOWEEDSHOP,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,20,нет,Тбилиси,3 гр,0.0059,3918,1496,134,,55,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
17,10-07-2020 15:50:20,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,2,нет,Тбилиси,5 гр,0.0233,17095,6528,584,,240,,,,,,,,,5g. marihuana shishki Critical
18,10-07-2020 15:50:20,Tbilisi,8B31,GEOWEEDSHOP,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,8,нет,Тбилиси,5 гр,0.0074,4915,1877,168,,69,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
19,10-07-2020 15:50:20,Tbilisi,5LZ,ExtraShop,5г. GEO Марихуана бошки,True,5,нет,Тбилиси,5 гр,0.0145,10613,4053,363,,149,,,,,,,,,5g. GEO Marihuana boshki
20,10-07-2020 15:50:20,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",,1,нет,Тбилиси,5 гр,0.0233,17095,6528,584,,240,,,,True,,,,,"Hindu Kush (photoperiod, regular) 5gr"
21,10-07-2020 15:50:20,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,5 гр,0.0053,3918,1496,134,,55,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
22,10-07-2020 15:50:20,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,2,нет,Тбилиси,10 гр,0.0466,32053,12240,1095,,450,,,,,,,,,Gashish Evro 10gr
23,10-07-2020 15:50:20,Tbilisi,2LY77,SveetWeed,11+ GRAMM BEASTWEED NEW,True,1,нет,Тбилиси,11 гр,0.0175,12821,4896,438,,180,,,,,,,,,11+ GRAMM BEASTWEED NEW
24,10-07-2020 15:50:20,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0485,35615,13600,1217,,500,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
