,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Didube,$,Varketili,Saburtalo,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,10-07-2020 20:18:08,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 0.12g 💢🌡🚀",True,5,нет,Тбилиси,0.12 гр,0.0071,4736,1811,163,59.0,,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 0.12g 💢🌡🚀"
1,1,10-07-2020 20:18:08,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,,2,нет,Тбилиси,0.25 гр,0.0116,7947,3039,273,99.0,True,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
2,2,10-07-2020 20:18:08,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25,True,3,нет,Тбилиси,0.25 гр,0.0119,8027,3070,275,100.0,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25
3,3,10-07-2020 20:18:08,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,True,1,нет,Тбилиси,0.25 гр,0.0107,7224,2763,248,90.0,,,,,,,,,,,NEW Iranian Sirec 0.25g.
4,4,10-07-2020 20:18:08,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,4,нет,Тбилиси,0.5 гр,0.0035,2351,898,80,,,33.0,,,,,,,,,0.5 gr HYBRID buds
5,5,10-07-2020 20:18:08,Tbilisi,52fe6d0af9,New !!! VHQ Ketamine Imported!! New!!! 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0114,7693,2938,263,,,108.0,,,,,,,,,New !!! VHQ Ketamine Imported!! New!!! 0.5G
6,6,10-07-2020 20:18:08,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,6,нет,Тбилиси,0.5 гр,0.0029,1923,734,66,,,27.0,True,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
7,7,10-07-2020 20:18:08,Tbilisi,fccfd69694,Бошки OG Kush 05g.,True,7,нет,Тбилиси,0.5 гр,0.0027,1781,680,61,,,25.0,,,,,,,,,Boshki OG Kush 05g.
8,8,10-07-2020 20:18:08,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,True,10,нет,Тбилиси,0.5 гр,0.0042,2809,1075,96,35.0,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
9,9,10-07-2020 20:18:08,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,4,нет,Тбилиси,1 гр,0.0063,4274,1632,146,,,60.0,,True,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
