,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Батуми,Центр,desc_en
0,0,10-08-2020 04:29:04,Tbilisi,52fe6d0af9,VHQ Methadon 0.12G Crystals imported,True,1,нет,Тбилиси,0.12 гр,0.0101,8689,3287,289,118.0,,,,,,,,,,,,VHQ Methadon 0.12G Crystals imported
1,1,10-08-2020 04:29:04,Tbilisi,52fe6d0af9,VHQ Methadon 0.25G Crystals imported,True,1,нет,Тбилиси,0.25 гр,0.0226,19514,7383,649,265.0,,,,,,,,,,,,VHQ Methadon 0.25G Crystals imported
2,2,10-08-2020 04:29:04,Tbilisi,f374062dcd,Очень мощный Сирец из Ирана 0.3гр,True,5,нет,Тбилиси,0.3 гр,0.008,7216,2730,240,98.0,,,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
3,3,10-08-2020 04:29:04,Tbilisi,8ddca45a78,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)",True,2,нет,Тбилиси,0.5 гр,0.0025,2136,808,71,29.0,,,,,,,,,,,,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)"
4,4,10-08-2020 04:29:04,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,9,нет,Тбилиси,0.5 гр,0.0028,2430,919,81,33.0,,,,,,,,,,,,0.5 gr HYBRID buds
5,5,10-08-2020 04:29:04,Tbilisi,64284550d9,0.5-G ---> Hybrid BEST (BTC - Sale),True,22,нет,Тбилиси,0.5 гр,0.0021,1841,697,61,25.0,True,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
6,6,10-08-2020 04:29:04,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0026,2209,836,73,30.0,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
7,7,10-08-2020 04:29:04,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,11,нет,Тбилиси,0.5 гр,0.0021,1841,697,61,25.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
8,8,10-08-2020 04:29:04,Tbilisi,67187efef3,АКЦИЯ! 0.5gr marijuana best buds Btc 5% sale,True,1,нет,Тбилиси,0.5 гр,0.0018,1620,613,54,22.0,,,,,,,,,,,,AKTsIJa! 0.5gr marijuana best buds Btc 5% sale
9,9,10-08-2020 04:29:04,Tbilisi,16a8841259,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA,True,5,нет,Тбилиси,0.5 гр,0.0021,1841,697,61,25.0,,,,,,,,,,,,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA
