,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Батуми,Центр,desc_en
0,10-08-2020 12:09:31,Tbilisi,F8K,BestAcid,Метадон - 0.12 г Новая партия!,True,1,нет,Тбилиси,0.12 гр,0.0084,8100,3058,269,110,,,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,10-08-2020 12:09:31,Tbilisi,7U9YP,ChitosPizz,Очень мощный Сирец из Ирана 0.3гр,True,7,нет,Тбилиси,0.3 гр,0.0079,7216,2724,240,98,,,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
2,10-08-2020 12:09:31,Tbilisi,OX85,amnesia420,"0,5G ☠️DURBAN POISON (100% sativa)",True,3,нет,Тбилиси,0.5 гр,0.0024,2136,806,71,29,,,,,,,,,,,,"0,5G ☠️DURBAN POISON (100% sativa)"
3,10-08-2020 12:09:31,Tbilisi,OX85,amnesia420,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)",True,3,нет,Тбилиси,0.5 гр,0.0024,2136,806,71,29,,,,,,,,,,,,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)"
4,10-08-2020 12:09:31,Tbilisi,OX85,amnesia420,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,1,нет,Тбилиси,0.5 гр,0.0024,2136,806,71,29,,,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
5,10-08-2020 12:09:31,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,9,нет,Тбилиси,0.5 гр,0.0028,2430,917,81,33,,,,,,,,,,,,0.5 gr HYBRID buds
6,10-08-2020 12:09:31,Tbilisi,7R3WM,RastaShop,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,1,нет,Тбилиси,0.5 гр,0.0027,2356,890,78,32,True,,,,,,,,,,,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
7,10-08-2020 12:09:31,Tbilisi,7R3WM,RastaShop,0.5 gr. Magic Kush IMPORT (INDICA),,1,нет,Тбилиси,0.5 гр,0.0026,2283,862,76,31,True,,,,,,,,,,,0.5 gr. Magic Kush IMPORT (INDICA)
8,10-08-2020 12:09:31,Tbilisi,ABOAB,ProGrow,0.5-G ---> Hybrid BEST (BTC - Sale),True,22,нет,Тбилиси,0.5 гр,0.0021,1841,695,61,25,True,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
9,10-08-2020 12:09:31,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0025,2209,834,73,30,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
10,10-08-2020 12:09:31,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,True,11,нет,Тбилиси,0.5 гр,0.0021,1841,695,61,25,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
11,10-08-2020 12:09:31,Tbilisi,I7IU,MrPickless,АКЦИЯ! 0.5gr marijuana best buds Btc 5% sale,True,1,нет,Тбилиси,0.5 гр,0.0017,1620,612,54,22,,,,,,,,,,,,AKTsIJa! 0.5gr marijuana best buds Btc 5% sale
12,10-08-2020 12:09:31,Tbilisi,9Y6T,WeedShop,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA,True,5,нет,Тбилиси,0.5 гр,0.0021,1841,695,61,25,,,,,,,,,,,,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA
13,10-08-2020 12:09:31,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,16,нет,Тбилиси,1 гр,0.0049,4345,1640,144,59,,,,,,,,,,,,1 G Hybrid Marijuana Buds
