,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Дигоми,Nadzaladevi,€,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,11-02-2020 02:40:10,Tbilisi,61df6a1c90,Метадон 0.15гр,True,6,нет,Тбилиси,0.15 гр,0.0117,8290,3211,284,130.0,,,,,,,,,,,,,Metadon 0.15gr
1,1,11-02-2020 02:40:10,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,9,нет,Тбилиси,0.25 гр,0.0162,11479,4446,393,180.0,,,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,11-02-2020 02:40:10,Tbilisi,32e645c201,"methadone 0,29 gr",,7,нет,Тбилиси,0.29 гр,0.0207,13392,5187,459,210.0,True,,,,,,,,,,,,"methadone 0,29 gr"
3,3,11-02-2020 02:40:10,Tbilisi,da96c34455,ALFA PVP in City 0.3g,True,2,нет,Тбилиси,0.3 гр,0.0059,3826,1482,131,60.0,,,,,,,,,,,,,ALFA PVP in City 0.3g
4,4,11-02-2020 02:40:10,Tbilisi,61df6a1c90,Метадон 0.30гр,True,2,нет,Тбилиси,0.3 гр,0.0161,12116,4693,415,190.0,,,,,,,,,,,,,Metadon 0.30gr
5,5,11-02-2020 02:40:10,Tbilisi,8a650ecf5f,"A PVP 0,33 VHQ",True,1,нет,Тбилиси,0.33 гр,0.0057,3826,1482,131,60.0,,,,,,,,,,,,,"A PVP 0,33 VHQ"
6,6,11-02-2020 02:40:10,Tbilisi,21de5577be,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica,,4,нет,Тбилиси,0.5 гр,0.0029,1849,716,63,29.0,,True,True,,,,,,,,,,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica
7,7,11-02-2020 02:40:10,Tbilisi,013e75d78f,"H i B R i D 0.5г. Три вадном ----> amnezia , tutanhamon, jackherer )",True,2,нет,Тбилиси,0.5 гр,0.0044,2870,1112,98,45.0,,,,True,,,,,,,,,"H i B R i D 0.5g. Tri vadnom ----> amnezia , tutanhamon, jackherer )"
8,8,11-02-2020 02:40:10,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,1,нет,Тбилиси,0.5 гр,0.006,3826,1482,131,60.0,,,,,,,,,,,,,Ketamine 0.5g
9,9,11-02-2020 02:40:10,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0269,19131,7410,655,300.0,,,,,,,,,,,,,Metadon VHQ 0.5 24/7
10,10,11-02-2020 02:40:10,Tbilisi,61df6a1c90,Метадон 0.6гр,True,3,нет,Тбилиси,0.6 гр,0.0278,19769,7657,677,310.0,,,,,,,,,,,,,Metadon 0.6gr
