,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Дигоми,Nadzaladevi,€,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,11-02-2020 06:57:53,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,6,нет,Тбилиси,0.15 гр,0.0118,8290,3211,284,130,,,,,,,,,,,,,Metadon 0.15gr
1,11-02-2020 06:57:53,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,9,нет,Тбилиси,0.25 гр,0.0163,11479,4446,393,180,,,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,11-02-2020 06:57:53,Tbilisi,RM0T,Funtomass,"methadone 0,29 gr",,7,нет,Тбилиси,0.29 гр,0.0209,13392,5187,459,210,True,,,,,,,,,,,,"methadone 0,29 gr"
3,11-02-2020 06:57:53,Tbilisi,Y7587,PVPStore,ALFA PVP in City 0.3g,True,1,нет,Тбилиси,0.3 гр,0.006,3826,1482,131,60,,,,,,,,,,,,,ALFA PVP in City 0.3g
4,11-02-2020 06:57:53,Tbilisi,1IZXK,BadboysTbl,Метадон 0.30гр,True,2,нет,Тбилиси,0.3 гр,0.0162,12116,4693,415,190,,,,,,,,,,,,,Metadon 0.30gr
5,11-02-2020 06:57:53,Tbilisi,7R3WM,RastaShop,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica,,4,нет,Тбилиси,0.5 гр,0.0029,1849,716,63,29,,True,True,,,,,,,,,,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica
6,11-02-2020 06:57:53,Tbilisi,Y7587,PVPStore,ALFA PVP in City 0.5g,True,5,нет,Тбилиси,0.5 гр,0.008,5102,1976,175,80,,,,,,,,,,,,,ALFA PVP in City 0.5g
7,11-02-2020 06:57:53,Tbilisi,NLKH,STARS,"H i B R i D 0.5г. Три вадном ----> amnezia , tutanhamon, jackherer )",True,2,нет,Тбилиси,0.5 гр,0.0045,2870,1112,98,45,,,,True,,,,,,,,,"H i B R i D 0.5g. Tri vadnom ----> amnezia , tutanhamon, jackherer )"
8,11-02-2020 06:57:53,Tbilisi,5JG6,BenderMan,Ketamine 0.5g,True,1,нет,Тбилиси,0.5 гр,0.006,3826,1482,131,60,,,,,,,,,,,,,Ketamine 0.5g
9,11-02-2020 06:57:53,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0272,19131,7410,655,300,,,,,,,,,,,,,Metadon VHQ 0.5 24/7
10,11-02-2020 06:57:53,Tbilisi,1IZXK,BadboysTbl,Метадон 0.6гр,True,3,нет,Тбилиси,0.6 гр,0.0281,19769,7657,677,310,,,,,,,,,,,,,Metadon 0.6gr
