,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Дигоми,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,11-04-2020 23:42:26,Tbilisi,F8K,BestAcid,Метадон - 0.12 г Новая партия!,True,3,нет,Тбилиси,0.12 гр,0.0138,8113,3014,272,110,,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,11-04-2020 23:42:26,Tbilisi,3Y9,HIGHTHC,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,0.5 гр,0.0048,2581,959,87,35,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
2,11-04-2020 23:42:26,Tbilisi,3Y9,HIGHTHC,0.5 г Skunk #1 марихуана шишки тгк 29% VHQ,True,3,нет,Тбилиси,0.5 гр,0.0047,2508,932,84,34,,,,,,,,,,,0.5 g Skunk #1 marihuana shishki tgk 29% VHQ
3,11-04-2020 23:42:26,Tbilisi,Z5UFK,Vein,Cocaine Fishscale! Limited Quantity 0.5 g. акция -15% при оплате бтк!!!,True,1,нет,Тбилиси,0.5 гр,0.022,13718,5096,460,186,,,,,,,,,,,Cocaine Fishscale! Limited Quantity 0.5 g. aktsija -15% pri oplate btk!!!
4,11-04-2020 23:42:26,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0144,8039,2987,270,109,,,,,,,,,,,Cocaine Pure VHQ 0.5g
5,11-04-2020 23:42:26,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0172,9588,3562,322,130,,,,,,,,,,,Pure COCAINE VHQ 0.5g
6,11-04-2020 23:42:26,Tbilisi,U26MW,Skyhigh,SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G ВЕС +15%,,2,нет,Тбилиси,0.5 гр,0.0041,2213,822,74,30,True,,,,,,,,,,SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G VES +15%
7,11-04-2020 23:42:26,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.0151,8039,2987,270,109,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
8,11-04-2020 23:42:26,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,3,нет,Тбилиси,1 гр,0.0069,4056,1507,136,55,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
9,11-04-2020 23:42:26,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,7,нет,Тбилиси,1 гр,0.0076,4056,1507,136,55,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
