,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,Saburtalo,$,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,11-06-2020 17:37:16,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,2,нет,Тбилиси,0.25 гр,0.0146,10129,3922,348,129.0,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,11-06-2020 17:37:16,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,18,нет,Тбилиси,0.5 гр,0.0032,2212,856,76,,True,True,32.0,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
2,2,11-06-2020 17:37:16,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0245,16520,6393,567,,True,,239.0,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
3,3,11-06-2020 17:37:16,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0086,5875,2274,202,,,True,85.0,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
4,4,11-06-2020 17:37:16,Tbilisi,e56bb6ca93,3 gr Indica dominant Buds,,5,нет,Тбилиси,3 гр,0.009000000000000001,6152,2381,211,,,,89.0,True,,,,,,3 gr Indica dominant Buds
5,5,11-06-2020 17:37:16,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,20,нет,Тбилиси,3 гр,0.0088,6014,2327,206,,True,,87.0,,,,,,,3 gr georgian weed. Package on magnet
6,6,11-06-2020 17:37:16,Tbilisi,97d5fcd29b,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.0054,3802,1471,130,,True,,55.0,,,,,,,Suboxene 4mg
7,7,11-06-2020 17:37:16,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,12,нет,Тбилиси,5 гр,0.0141,9608,3718,330,,True,,139.0,,,,,,,5 gr georgian weed. Package on magnet
8,8,11-06-2020 17:37:16,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0221,16589,6420,569,,True,,240.0,,,,,,,5g. marihuana shishki Critical
9,9,11-06-2020 17:37:16,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,5 гр,0.0131,8917,3451,306,,,,129.0,True,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
