,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Vazisubani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Центр,Батуми,desc_en
0,0,11-08-2020 18:38:17,Tbilisi,52fe6d0af9,VHQ Methadon 0.12G Crystals imported,True,1,нет,Тбилиси,0.12 гр,0.01,8632,3280,289,118.0,,,,,,,,,,,,,VHQ Methadon 0.12G Crystals imported
1,1,11-08-2020 18:38:17,Tbilisi,f374062dcd,Очень мощный Сирец из Ирана 0.3гр,True,18,нет,Тбилиси,0.3 гр,0.0073,6584,2502,220,90.0,,,,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
2,2,11-08-2020 18:38:17,Tbilisi,16a8841259,0.5 Gramm Ak-47 Best Seller 2020 Guess who's Back?,True,7,нет,Тбилиси,0.5 гр,0.0024,2048,778,69,28.0,,,,,,,,,,,,,0.5 Gramm Ak-47 Best Seller 2020 Guess who's Back?
3,3,11-08-2020 18:38:17,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,6,нет,Тбилиси,0.5 гр,0.0028,2414,917,81,33.0,,,,,,,,,,,,,0.5 gr HYBRID buds
4,4,11-08-2020 18:38:17,Tbilisi,4659482266,0.5 г.Super Skunk top class buds! (подезд),,6,нет,Тбилиси,0.5 гр,0.0025,2121,806,71,29.0,True,,,,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
5,5,11-08-2020 18:38:17,Tbilisi,64284550d9,0.5-G ---> Hybrid BEST (BTC - Sale),True,17,нет,Тбилиси,0.5 гр,0.002,1683,639,56,23.0,,True,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
6,6,11-08-2020 18:38:17,Tbilisi,16a8841259,0.5Gramm 😬 AK-49 NEW!!!,True,10,нет,Тбилиси,0.5 гр,0.0024,2048,778,69,28.0,,,,,,,,,,,,,0.5Gramm 😬 AK-49 NEW!!!
7,7,11-08-2020 18:38:17,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0025,2195,834,73,30.0,,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
8,8,11-08-2020 18:38:17,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,11,нет,Тбилиси,0.5 гр,0.0021,1829,695,61,25.0,,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
9,9,11-08-2020 18:38:17,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,14,нет,Тбилиси,1 гр,0.005,4316,1640,144,59.0,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
10,10,11-08-2020 18:38:17,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,11,нет,Тбилиси,1 гр,0.0051,4389,1668,147,60.0,,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
11,11,11-08-2020 18:38:17,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,1 гр,0.0051,4389,1668,147,60.0,,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
12,12,11-08-2020 18:38:17,Tbilisi,bb1791277e,1 gr super lemon haze пробник,True,2,нет,Тбилиси,1 гр,0.005,4316,1640,144,59.0,,,,,,,,,,,,,1 gr super lemon haze probnik
13,13,11-08-2020 18:38:17,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,5,нет,Тбилиси,1 гр,0.0051,4389,1668,147,60.0,,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
14,14,11-08-2020 18:38:17,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,6,нет,Тбилиси,1 гр,0.005,4316,1640,144,59.0,,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
