,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Varketili,Vake,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,12-02-2020 15:02:54,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,6,нет,Тбилиси,0.15 гр,0.0112,8196,3203,285,130,,,,,,,,,,,Metadon 0.15gr
1,12-02-2020 15:02:54,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,6,нет,Тбилиси,0.25 гр,0.0155,11348,4435,395,180,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,12-02-2020 15:02:54,Tbilisi,RM0T,Funtomass,"methadone 0,29 gr",,4,нет,Тбилиси,0.29 гр,0.0199,13240,5174,460,210,True,,,,,,,,,,"methadone 0,29 gr"
3,12-02-2020 15:02:54,Tbilisi,1IZXK,BadboysTbl,Метадон 0.30гр,True,1,нет,Тбилиси,0.3 гр,0.0155,11979,4682,417,190,,,,,,,,,,,Metadon 0.30gr
4,12-02-2020 15:02:54,Tbilisi,LYHBG,Playboy,"0,5 MDMA / White sparks / purity 93%",True,10,нет,Тбилиси,0.5 гр,0.0057,3720,1454,129,59,,,,,,,,,,,"0,5 MDMA / White sparks / purity 93%"
5,12-02-2020 15:02:54,Tbilisi,LYHBG,Playboy,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,4,нет,Тбилиси,0.5 гр,0.0114,7503,2932,261,119,,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
6,12-02-2020 15:02:54,Tbilisi,7R3WM,RastaShop,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica,,12,нет,Тбилиси,0.5 гр,0.0028,1828,715,64,29,,True,True,,,,,,,,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica
7,12-02-2020 15:02:54,Tbilisi,5JG6,BenderMan,"Cocaine, 0.5 g",True,5,нет,Тбилиси,0.5 гр,0.0105,6935,2710,241,110,,,,,,,,,,,"Cocaine, 0.5 g"
8,12-02-2020 15:02:54,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0259,18914,7392,658,300,,,,,,,,,,,Metadon VHQ 0.5 24/7
9,12-02-2020 15:02:54,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,4,нет,Тбилиси,0.5 гр,0.0095,6242,2439,217,99,,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
10,12-02-2020 15:02:54,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,7,нет,Тбилиси,0.5 гр,0.0099,6872,2686,239,109,,,,,,,,,,,Pure COCAINE VHQ 0.5g
11,12-02-2020 15:02:54,Tbilisi,9VLN,AlienShop,❄❄❄0.5g HQ COCAINE❄❄❄,True,2,нет,Тбилиси,0.5 гр,0.0095,6242,2439,217,99,,,,,,,,,,,❄❄❄0.5g HQ COCAINE❄❄❄
12,12-02-2020 15:02:54,Tbilisi,1IZXK,BadboysTbl,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.0259,18914,7392,658,300,,,,,,,,,,,Metadon 0.6gr
13,12-02-2020 15:02:54,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,4,нет,Тбилиси,0.8 гр,0.0114,7566,2957,263,120,,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
14,12-02-2020 15:02:54,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,32,нет,Тбилиси,1 гр,0.0039,2837,1109,99,45,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
15,12-02-2020 15:02:54,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,True,7,нет,Тбилиси,1 гр,0.0047,3152,1232,110,50,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
16,12-02-2020 15:02:54,Tbilisi,7R3WM,RastaShop,1 gr. Blue Berry Kush 100% Natural/Indika/ Import,,13,нет,Тбилиси,1 гр,0.0043,2837,1109,99,45,,True,True,,,,,,,,1 gr. Blue Berry Kush 100% Natural/Indika/ Import
17,12-02-2020 15:02:54,Tbilisi,LYHBG,Playboy,1g MDMA - !!!NEW!!! - Purity 93%,True,9,нет,Тбилиси,1 гр,0.0095,6242,2439,217,99,,,,,,,,,,,1g MDMA - !!!NEW!!! - Purity 93%
