,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Saburtalo,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,12-03-2020 00:16:34,Tbilisi,F8K,BestAcid,Метадон - 0.12 г Новая партия!,True,24,нет,Тбилиси,0.12 гр,0.0118,7862,2915,255,110,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,12-03-2020 00:16:34,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,5,нет,Тбилиси,0.25 гр,0.0226,15009,5565,487,210,,,,,,,,,,Metadon VHQ 0.25 24/7
2,12-03-2020 00:16:34,Tbilisi,I8ED,KKGRUZ,0.35gr ALFA PVP GREEN,True,19,нет,Тбилиси,0.35 гр,0.0084,5003,1855,162,70,,,,,,,,,,0.35gr ALFA PVP GREEN
3,12-03-2020 00:16:34,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G,True,2,нет,Тбилиси,0.35 гр,0.0383,22871,8480,743,320,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
4,12-03-2020 00:16:34,Tbilisi,LYHBG,Playboy,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,6,нет,Тбилиси,0.5 гр,0.013,7790,2889,253,109,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
5,12-03-2020 00:16:34,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0113,7076,2624,230,99,,,,,,,,,,Cocaine Pure VHQ 0.5g
6,12-03-2020 00:16:34,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,6,нет,Тбилиси,0.5 гр,0.0118,7076,2624,230,99,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
7,12-03-2020 00:16:34,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0124,7790,2889,253,109,,,,,,,,,,Pure COCAINE VHQ 0.5g
8,12-03-2020 00:16:34,Tbilisi,LYHBG,Playboy,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,6,нет,Тбилиси,1 гр,0.0237,14151,5247,460,198,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
9,12-03-2020 00:16:34,Tbilisi,BP40,WakeShop,Apvp VHQ 1g 24/7,True,2,нет,Тбилиси,1 гр,0.0178,10721,3975,348,150,,,,,,,,,,Apvp VHQ 1g 24/7
10,12-03-2020 00:16:34,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0203,12793,4744,415,179,,,,,,,,,,Cocaine Pure VHQ 1g
11,12-03-2020 00:16:34,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,True,3,нет,Тбилиси,1 гр,0.0226,13508,5009,439,189,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
12,12-03-2020 00:16:34,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0226,14223,5274,462,199,,,,,,,,,,VHQ BEST Cocaine 1g.
13,12-03-2020 00:16:34,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0222,13508,5009,439,189,,,,,,,,,,Kokain HQ 1g.
14,12-03-2020 00:16:34,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0212,12793,4744,415,179,True,,,,,,,,,Kokain KOLUMBIA 1g
