,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Saburtalo,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,12-03-2020 08:48:57,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,22,нет,Тбилиси,0.12 гр,0.0121,7862,2915,255,110.0,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,12-03-2020 08:48:57,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0231,15009,5565,486,210.0,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,12-03-2020 08:48:57,Tbilisi,7fa257ac43,0.35gr ALFA PVP GREEN,True,19,нет,Тбилиси,0.35 гр,0.0086,5003,1855,162,70.0,,,,,,,,,,0.35gr ALFA PVP GREEN
3,3,12-03-2020 08:48:57,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G,True,2,нет,Тбилиси,0.35 гр,0.0391,22871,8480,741,320.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
4,4,12-03-2020 08:48:57,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,5,нет,Тбилиси,0.5 гр,0.0133,7790,2889,252,109.0,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
5,5,12-03-2020 08:48:57,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0115,7076,2624,229,99.0,,,,,,,,,,Cocaine Pure VHQ 0.5g
6,6,12-03-2020 08:48:57,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,6,нет,Тбилиси,0.5 гр,0.0121,7076,2624,229,99.0,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
7,7,12-03-2020 08:48:57,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0127,7790,2889,252,109.0,,,,,,,,,,Pure COCAINE VHQ 0.5g
8,8,12-03-2020 08:48:57,Tbilisi,edfbad0151,THC Snow Buds Only 0.5 G (THC 23+%),True,3,нет,Тбилиси,0.5 гр,0.004,2359,875,76,33.0,,,,,,,,,,THC Snow Buds Only 0.5 G (THC 23+%)
9,9,12-03-2020 08:48:57,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,8,нет,Тбилиси,0.5 гр,0.0121,7076,2624,229,99.0,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
10,10,12-03-2020 08:48:57,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS saburtalo!! btc sale 1%",True,4,нет,Тбилиси,1 гр,0.0047,2787,1034,90,39.0,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS saburtalo!! btc sale 1%"
11,11,12-03-2020 08:48:57,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,6,нет,Тбилиси,1 гр,0.0242,14151,5247,458,198.0,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
12,12,12-03-2020 08:48:57,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,7,нет,Тбилиси,1 гр,0.0182,10721,3975,347,150.0,,,,,,,,,,Apvp VHQ 1g 24/7
13,13,12-03-2020 08:48:57,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0208,12793,4744,414,179.0,,,,,,,,,,Cocaine Pure VHQ 1g
