,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Saburtalo,Gldani,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,12-03-2020 22:08:41,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,10,нет,Тбилиси,0.12 гр,0.0147,8143,2926,255,110.0,,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,12-03-2020 22:08:41,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.15 G,True,2,нет,Тбилиси,0.15 гр,0.0223,11104,3990,347,150.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.15 G
2,2,12-03-2020 22:08:41,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,11,нет,Тбилиси,0.25 гр,0.0254,14065,5054,440,190.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,12-03-2020 22:08:41,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,19,нет,Тбилиси,0.25 гр,0.0268,14065,5054,440,190.0,,,,,,,,,,,"Metadon VHQ 0,25"
4,4,12-03-2020 22:08:41,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.30 G,True,3,3,Тбилиси,0.3 гр,0.0446,22208,7980,694,300.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
5,5,12-03-2020 22:08:41,Tbilisi,8a650ecf5f,"A PVP 0,33 VHQ",True,1,нет,Тбилиси,0.33 гр,0.0092,4812,1729,150,65.0,,,,,,,,,,,"A PVP 0,33 VHQ"
6,6,12-03-2020 22:08:41,Tbilisi,7fa257ac43,0.35gr ALFA PVP GREEN,True,9,нет,Тбилиси,0.35 гр,0.0104,5182,1862,162,70.0,,,,,,,,,,,0.35gr ALFA PVP GREEN
7,7,12-03-2020 22:08:41,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.013999999999999999,7329,2633,229,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
8,8,12-03-2020 22:08:41,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0154,8069,2899,252,109.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
9,9,12-03-2020 22:08:41,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,10,нет,Тбилиси,0.5 гр,0.0147,7329,2633,229,99.0,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
10,10,12-03-2020 22:08:41,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,1 гр,0.0152,7948,2855,249,,95.0,,,,,,,,,,1gr mdma (skidka v bitkoin 5%)
11,11,12-03-2020 22:08:41,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,13,нет,Тбилиси,1 гр,0.0221,11104,3990,347,150.0,,,,,,,,,,,Apvp VHQ 1g 24/7
12,12,12-03-2020 22:08:41,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0253,13251,4761,414,179.0,,,,,,,,,,,Cocaine Pure VHQ 1g
13,13,12-03-2020 22:08:41,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,4,нет,Тбилиси,1 гр,0.0803,44416,15960,1388,600.0,,,,,,,,,,,Metadon VHQ 1 24/7
14,14,12-03-2020 22:08:41,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0281,14731,5293,461,199.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
15,15,12-03-2020 22:08:41,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0275,13991,5027,437,189.0,,,,,,,,,,,Kokain HQ 1g.
16,16,12-03-2020 22:08:41,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0264,13251,4761,414,179.0,,True,,,,,,,,,Kokain KOLUMBIA 1g
17,17,12-03-2020 22:08:41,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1205,66625,23940,2083,900.0,,,,,,,,,,,Metadon 1gr
18,18,12-03-2020 22:08:41,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,11,нет,Тбилиси,1 гр,0.0027,1481,532,46,20.0,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
19,19,12-03-2020 22:08:41,Tbilisi,dd631c4acf,☃️❄1g. New COCAINE!!❄☃️,True,3,нет,Тбилиси,1 гр,0.0268,13325,4788,417,180.0,,,,,,,,,,,☃️❄1g. New COCAINE!!❄☃️
20,20,12-03-2020 22:08:41,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,True,3,нет,Тбилиси,1 гр,0.0162,8069,2899,252,109.0,,,,,,,,,,,✨ 1g. MDMA ✨
21,21,12-03-2020 22:08:41,Tbilisi,dd631c4acf,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,True,5,нет,Тбилиси,1 гр,0.0103,5108,1835,160,69.0,,,,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
22,22,12-03-2020 22:08:41,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,4,нет,Тбилиси,2 гр,0.0094,5182,1862,162,70.0,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
23,23,12-03-2020 22:08:41,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,True,2,нет,Тбилиси,2 гр,0.0116,5848,2101,183,79.0,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
24,24,12-03-2020 22:08:41,Tbilisi,64284550d9,2G ---> INDICA,,13,нет,Тбилиси,2 гр,0.0089,4590,1649,143,62.0,,,True,,,,,,,,2G ---> INDICA
25,25,12-03-2020 22:08:41,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,2,нет,Тбилиси,2 гр,0.0123,6144,2208,192,83.0,,,,True,,,,,,,2g super Skunk top class buds. Indica
26,26,12-03-2020 22:08:41,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0522,28871,10374,903,390.0,,,,,,,,,,,VHQ BEST Cocaine 2g.
27,27,12-03-2020 22:08:41,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,5,нет,Тбилиси,2 гр,0.0047,2591,931,81,35.0,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
28,28,12-03-2020 22:08:41,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,4,нет,Тбилиси,2 гр,0.0536,28056,10081,877,379.0,,,,,,,,,,,Kokain HQ 2g.
29,29,12-03-2020 22:08:41,Tbilisi,dd631c4acf,🍃🍃2g. New! Gorilla Glue Premium Hush🍃🍃,True,2,нет,Тбилиси,2 гр,0.0177,8809,3165,275,119.0,,,,,,,,,,,🍃🍃2g. New! Gorilla Glue Premium Hush🍃🍃
30,30,12-03-2020 22:08:41,Tbilisi,e56bb6ca93,3 gr Indica dominant Buds,True,1,нет,Тбилиси,3 гр,0.0123,6440,2314,201,87.0,,,,,,,,,,,3 gr Indica dominant Buds
31,31,12-03-2020 22:08:41,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.0399,20915,7513,655,,250.0,,,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
32,32,12-03-2020 22:08:41,Tbilisi,64284550d9,3G ---> INDICA,,19,нет,Тбилиси,3 гр,0.0116,6440,2314,201,87.0,,,True,,,,,,,,3G ---> INDICA
33,33,12-03-2020 22:08:41,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,8,нет,Тбилиси,3 гр,0.0156,7773,2793,243,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
34,34,12-03-2020 22:09:40,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,4,нет,Тбилиси,3 гр,0.0171,8513,3059,266,115.0,,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
35,35,12-03-2020 22:09:40,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0428,23689,8512,741,320.0,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
36,36,12-03-2020 22:09:40,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,5 гр,0.0575,30117,10818,944,,360.0,,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
37,37,12-03-2020 22:09:40,Tbilisi,e56bb6ca93,5gr georgian indica (hight quality),True,5,нет,Тбилиси,5 гр,0.0186,10290,3697,322,139.0,,True,,,,,,,,,5gr georgian indica (hight quality)
38,38,12-03-2020 22:09:40,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.026000000000000002,12955,4655,405,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
39,39,12-03-2020 22:09:40,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,2,нет,Тбилиси,5 гр,0.0219,11104,3990,347,150.0,,,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
40,40,12-03-2020 22:09:40,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,True,5,4,Тбилиси,5 гр,0.1159,58260,20934,1821,787.0,,,,,True,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
41,41,12-03-2020 22:09:40,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,3,нет,Тбилиси,5 гр,0.0228,12585,4522,393,170.0,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
42,42,12-03-2020 22:09:40,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,7,нет,Тбилиси,5 гр,0.0087,4812,1729,150,65.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
43,43,12-03-2020 22:09:40,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,True,4,4,Тбилиси,5.5 гр,0.0647,32868,11810,1027,444.0,,,,,True,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
44,44,12-03-2020 22:09:40,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0537,27020,9709,845,365.0,,,,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
45,45,12-03-2020 22:09:40,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,4,нет,Тбилиси,10 гр,0.0393,19765,7102,618,267.0,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
46,46,12-03-2020 22:09:40,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.0133,7329,2633,229,99.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
47,47,12-03-2020 22:09:40,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0565,29611,10640,926,400.0,,,,,,,,,,,gashish evro 10g
48,48,12-03-2020 22:09:40,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,True,2,2,Тбилиси,11 гр,0.1249,62775,22557,1962,848.0,,,,,True,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
49,49,12-03-2020 22:09:40,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,10,5,Тбилиси,0.27 гр,0.0402,19987,7182,625,270.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
50,50,12-03-2020 22:09:40,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%,True,нет,10,Тбилиси,2 гр,0.0523,26576,9549,831,359.0,,,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5%
