,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Vake,Didube,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,12-05-2020 13:21:37,Tbilisi,H9FHF,OldStar,0.3 a-pvp white,True,19,нет,Тбилиси,0.3 гр,0.0103,3221,232,7000,,,,,,,,,,,,0.3 a-pvp white
1,12-05-2020 13:21:37,Tbilisi,3Y9,HIGHTHC,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,0.5 гр,0.0038,947,85,2586,35,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
2,12-05-2020 13:21:37,Tbilisi,3Y9,HIGHTHC,0.5 г Skunk #1 марихуана шишки тгк 29% VHQ,True,4,нет,Тбилиси,0.5 гр,0.0037,920,83,2512,34,,,,,,,,,,,0.5 g Skunk #1 marihuana shishki tgk 29% VHQ
3,12-05-2020 13:21:37,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0175,4301,387,11746,159,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
4,12-05-2020 13:21:37,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,,3,нет,Тбилиси,0.5 гр,0.006,1488,134,4063,55,True,,,,,,,,,,HQ Euro Hashish 0.5 g
5,12-05-2020 13:21:37,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0143,3517,317,9603,130,,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
6,12-05-2020 13:21:37,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,2,нет,Тбилиси,1 гр,0.0329,8088,728,22088,299,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
7,12-05-2020 13:21:37,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0256,6357,572,17360,235,,,,,,,,,,,Cocaine Pure VHQ 1g
8,12-05-2020 13:21:37,Tbilisi,X4ZM,ZYX,NEW ! Silver Haze NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0057,1407,127,3841,52,,,True,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 1G
9,12-05-2020 13:21:37,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0892,24345,2192,66485,900,,,,,,,,,,,Metadon 1gr
10,12-05-2020 13:21:37,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,True,1,нет,Тбилиси,2 гр,0.0098,2407,217,6575,89,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
11,12-05-2020 13:21:37,Tbilisi,SF03,CRAZYFROG,2 gr top buds white widow wишки THC 25% VHQ,True,1,нет,Тбилиси,2 гр,0.0109,2705,244,7387,100,,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
12,12-05-2020 13:21:37,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds.,,3,нет,Тбилиси,2 гр,0.0094,2299,207,6279,85,,,,True,,,,,,,2g super Skunk top class buds.
13,12-05-2020 13:21:37,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,2 гр,0.0077,1894,170,5171,70,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
14,12-05-2020 13:21:37,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,2,нет,Тбилиси,2 гр,0.0518,12984,1169,35459,480,,,,,,,,,,,VHQ BEST Cocaine 2g.
15,12-05-2020 13:21:37,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0093,2299,207,6279,85,True,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
16,12-05-2020 13:21:37,Tbilisi,18FB,Mr.Green Tbilis,3 G Hybrid Marijuana Big Buds,True,5,нет,Тбилиси,3 гр,0.0142,3517,317,9603,130,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
17,12-05-2020 13:21:37,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds.,,3,нет,Тбилиси,3 гр,0.0131,3219,290,8791,119,,,,True,,,,,,,3g superskunk top class buds.
18,12-05-2020 13:21:37,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,5,нет,Тбилиси,3 гр,0.0116,2840,256,7757,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
19,12-05-2020 13:21:37,Tbilisi,V76M,Endorphin,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.0058,1488,134,4063,55,True,,,,,,,,,,Suboxene 4mg
20,12-05-2020 13:21:37,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0335,8656,779,23639,320,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
21,12-05-2020 13:21:37,Tbilisi,BB6E,WEEDSH0P,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,3,нет,Тбилиси,5 гр,0.0064,1596,144,4358,59,,,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
22,12-05-2020 13:21:37,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0193,4734,426,12928,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
23,12-05-2020 13:21:37,Tbilisi,U26MW,Skyhigh,Hybrid Somango Weed 5 g,True,1,нет,Тбилиси,5 гр,0.018,4463,402,12189,165,,,,,,,,,,,Hybrid Somango Weed 5 g
24,12-05-2020 13:21:37,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,9,нет,Тбилиси,10 гр,0.0217,5383,485,14701,199,,,,,True,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
25,12-05-2020 13:21:37,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0419,10820,974,29549,400,,,,,,,,,,,gashish evro 10g
26,12-05-2020 13:21:37,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),,4,нет,Тбилиси,20 гр,0.0413,10252,923,27998,379,,,,,True,,,,,,20 gr Indica marijuana buds (hight quality)
27,12-05-2020 13:21:37,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0813,21018,1892,57399,777,,,,,,,,,,,Gashish Evro 20gr
28,12-05-2020 13:21:37,Tbilisi,8B31,GEOWEEDSHOP,50 гр Марихуана шишки. ИНДИКА,,2,нет,Тбилиси,50 гр,0.0926,22965,2067,62718,849,True,,,,,,,,,,50 gr Marihuana shishki. INDIKA
29,12-05-2020 13:21:37,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1983,54100,4870,147745,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
30,12-05-2020 13:21:37,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0175,4328,390,11820,160,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
31,12-05-2020 13:21:37,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,2,Тбилиси,2 гр,0.0231,5681,511,15513,210,,,,,,,,,,,✨✨2gram. MDMA✨✨
32,12-05-2020 13:21:37,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,4,Тбилиси,2 гр,0.0406,9981,899,27259,369,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
33,12-05-2020 13:21:37,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,9,Тбилиси,3 гр,0.0638,15662,1410,42772,579,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
34,12-05-2020 13:22:29,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,9,Тбилиси,3 гр,0.0642,15662,1410,42772,579,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
35,12-05-2020 13:22:29,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0439,10820,974,29549,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
36,12-05-2020 13:22:29,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0603,14878,1339,40630,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
37,12-05-2020 13:22:29,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0258,6357,572,17360,235,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
38,12-05-2020 13:22:29,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0263,6492,584,17729,240,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
39,12-05-2020 13:22:29,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0252,6222,560,16991,230,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
40,12-05-2020 13:22:29,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0263,6492,584,17729,240,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
41,12-05-2020 13:22:29,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0263,6492,584,17729,240,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
42,12-05-2020 13:22:29,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0263,6492,584,17729,240,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
43,12-05-2020 13:22:29,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0252,6222,560,16991,230,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
44,12-05-2020 13:22:29,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0218,5924,533,16178,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
45,12-05-2020 13:22:29,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0258,6357,572,17360,235,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
46,12-05-2020 13:22:29,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0176,4328,390,11820,160,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
47,12-05-2020 13:22:29,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,1,Тбилиси,5 гр,0.2565,87429,6291,190000,,,,,,,,,,,,reagent 25i nbome. 5gr
48,12-05-2020 13:22:29,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2992,81150,7306,221618,3000,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
49,12-05-2020 13:22:29,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1063,25941,2335,70844,959,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
50,12-05-2020 13:22:29,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,1,Тбилиси,5 гр,0.0209,5112,460,13962,189,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
51,12-05-2020 13:22:29,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0211,5140,463,14036,190,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
52,12-05-2020 13:22:29,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0542,13227,1191,36124,489,,,,,,,,,,,💘✨5g. MDMA ✨💘
53,12-05-2020 13:22:29,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0209,5112,460,13962,189,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
54,12-05-2020 13:22:29,Tbilisi,A3I9,Joookerrr,"""MDN-BooooMA"" - Марки 5 шт. + МДМА 0.5",True,нет,9,Тбилиси,5.5 гр,0.01,2705,244,7387,100,,,,,,,,,,,"""MDN-BooooMA"" - Marki 5 sht. + MDMA 0.5"
55,12-05-2020 13:22:29,Tbilisi,A3I9,Joookerrr,"""Джокер экспрес"" марки нбооом 8 шт",True,нет,9,Тбилиси,8 гр,0.0088,2164,195,5910,80,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 8 sht"
56,12-05-2020 13:22:29,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0987,24345,2192,66485,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
57,12-05-2020 13:22:29,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0439,10820,974,29549,400,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
58,12-05-2020 13:22:29,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0768,18935,1705,51711,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
59,12-05-2020 13:22:29,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0461,11361,1023,31026,420,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
60,12-05-2020 13:22:29,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,True,нет,39,Тбилиси,10 гр,0.011,2705,244,7387,100,,,,,,,,,,,10G Hybrid Marijuana Leafs
61,12-05-2020 13:22:29,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0878,21640,1948,59098,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
62,12-05-2020 13:22:29,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0318,7845,706,21423,290,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
63,12-05-2020 13:22:29,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2441,60186,5418,164366,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
64,12-05-2020 13:22:29,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1728,42171,3796,115167,1559,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
