,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Vake,$,Тбилиси,Tbilisis Zgva,Saburtalo,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,12-06-2020 07:32:08,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0148,10129,3922,348,129.0,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,12-06-2020 07:32:08,Tbilisi,2f51af8159,NEW !!! SUPER HIGH QUALITY MANGO KUSH HYBRID BUDS THC 25%+ 0.5G,,14,нет,Тбилиси,0.5 гр,0.0033,2212,856,76,,True,32.0,,,,,,,,,,NEW !!! SUPER HIGH QUALITY MANGO KUSH HYBRID BUDS THC 25%+ 0.5G
2,2,12-06-2020 07:32:08,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,5,нет,Тбилиси,0.5 гр,0.0033,2212,856,76,,,32.0,True,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
3,3,12-06-2020 07:32:08,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0113,7534,2916,259,,,109.0,,True,,,,,,,,✨ 1g. MDMA ✨
4,4,12-06-2020 07:32:08,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,True,3,нет,Тбилиси,2 гр,0.0088,5875,2274,202,,,85.0,,,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
5,5,12-06-2020 07:32:08,Tbilisi,e56bb6ca93,3 gr Indica dominant Buds,,5,нет,Тбилиси,3 гр,0.0092,6152,2381,211,,,89.0,True,,,True,,,,,,3 gr Indica dominant Buds
6,6,12-06-2020 07:32:08,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,11,нет,Тбилиси,3 гр,0.009000000000000001,6014,2327,207,,,87.0,True,,,,,,,,,3 gr georgian weed. Package on magnet
7,7,12-06-2020 07:32:08,Tbilisi,8528108b62,3g. марихуана шишки Critical,,1,нет,Тбилиси,3 гр,0.0141,10368,4013,356,,,150.0,True,,,,,,,,,3g. marihuana shishki Critical
8,8,12-06-2020 07:32:08,Tbilisi,8528108b62,4g.марихуана шишки white widow,,1,нет,Тбилиси,4 гр,0.0183,13479,5216,463,,,195.0,True,,,,,,,,,4g.marihuana shishki white widow
9,9,12-06-2020 07:32:08,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,,3,нет,Тбилиси,4 гр,0.011000000000000001,7396,2862,254,,,107.0,True,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
10,10,12-06-2020 07:32:08,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,4,нет,Тбилиси,5 гр,0.0143,9608,3718,330,,,139.0,True,,,,,,,,,5 gr georgian weed. Package on magnet
11,11,12-06-2020 07:32:08,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0225,16589,6420,570,,,240.0,True,,,,,,,,,5g. marihuana shishki Critical
12,12,12-06-2020 07:32:08,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,5 гр,0.0133,8917,3451,306,,,129.0,True,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
