,time_stamp,region,sell_code,sell_name,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Tbilisis Zgva,Saburtalo,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,12-06-2020 11:48:34,Tbilisi,U26MW,Skyhigh,NEW !!! SUPER HIGH QUALITY MANGO KUSH HYBRID BUDS THC 25%+ 0.5G,True,11,нет,Тбилиси,0.5 гр,0.0033,2212,859,76,32,,,,,,,,,,,NEW !!! SUPER HIGH QUALITY MANGO KUSH HYBRID BUDS THC 25%+ 0.5G
1,12-06-2020 11:48:34,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,4,нет,Тбилиси,0.5 гр,0.0033,2212,859,76,32,True,,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
2,12-06-2020 11:48:34,Tbilisi,9VLN,AlienShop,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0113,7534,2927,259,109,,True,,,,,,,,,✨ 1g. MDMA ✨
3,12-06-2020 11:48:34,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,2 гр,0.0087,5875,2282,202,85,,,True,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
4,12-06-2020 11:48:34,Tbilisi,8B31,GEOWEEDSHOP,3 gr Indica dominant Buds,,5,нет,Тбилиси,3 гр,0.0091,6152,2390,211,89,True,,,,True,,,,,,3 gr Indica dominant Buds
5,12-06-2020 11:48:34,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,,11,нет,Тбилиси,3 гр,0.0089,6014,2336,207,87,True,,,,,,,,,,3 gr georgian weed. Package on magnet
6,12-06-2020 11:48:34,Tbilisi,3TGJ9,Elegant,3g. марихуана шишки Critical,,1,нет,Тбилиси,3 гр,0.0139,10368,4028,356,150,True,,,,,,,,,,3g. marihuana shishki Critical
7,12-06-2020 11:48:34,Tbilisi,3TGJ9,Elegant,4g.марихуана шишки white widow,,1,нет,Тбилиси,4 гр,0.0181,13479,5236,463,195,True,,,,,,,,,,4g.marihuana shishki white widow
8,12-06-2020 11:48:34,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,,3,нет,Тбилиси,5 гр,0.0142,9608,3732,330,139,True,,,,,,,,,,5 gr georgian weed. Package on magnet
9,12-06-2020 11:48:34,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0223,16589,6444,570,240,True,,,,,,,,,,5g. marihuana shishki Critical
10,12-06-2020 11:48:34,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,5 гр,0.0132,8917,3464,306,129,True,,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
