,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Varketili,Saburtalo,Nadzaladevi,Didube,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,12-07-2020 03:23:38,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,3,нет,Тбилиси,0.25 гр,0.0115,7947,3039,272,99.0,,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,12-07-2020 03:23:38,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25,,1,нет,Тбилиси,0.25 гр,0.0118,8027,3070,274,100.0,True,,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25
2,2,12-07-2020 03:23:38,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,,1,нет,Тбилиси,0.25 гр,0.0107,7224,2763,247,90.0,True,,,,,,,,,,,,NEW Iranian Sirec 0.25g.
3,3,12-07-2020 03:23:38,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,11,нет,Тбилиси,0.5 гр,0.0035,2351,899,80,,True,33.0,,,,,,,,,,,0.5 gr HYBRID buds
4,4,12-07-2020 03:23:38,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,1,нет,Тбилиси,0.5 гр,0.0028,1923,736,66,,,27.0,True,,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
5,5,12-07-2020 03:23:38,Tbilisi,2f51af8159,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G,,7,нет,Тбилиси,0.5 гр,0.0034,2279,872,78,,,32.0,,True,,,,,,,,,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G
6,6,12-07-2020 03:23:38,Tbilisi,ebadfc162f,уро / Hammer 0.5G 100%шишки! LIMITED,,1,нет,Тбилиси,0.5 гр,0.0037,2493,954,85,,,35.0,,,True,,,,,,,,uro / Hammer 0.5G 100%shishki! LIMITED
7,7,12-07-2020 03:23:38,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,,8,нет,Тбилиси,0.5 гр,0.0042,2809,1075,96,35.0,True,,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
8,8,12-07-2020 03:23:38,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,7,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,True,60.0,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
9,9,12-07-2020 03:23:38,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,7,нет,Тбилиси,1 гр,0.0062,4203,1608,143,,True,59.0,,,,,,,,,,,1 G Hybrid Marijuana Buds
10,10,12-07-2020 03:23:38,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,9,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,True,60.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
11,11,12-07-2020 03:23:38,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",,1,нет,Тбилиси,1 гр,0.0058,3918,1499,134,,True,55.0,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
12,12,12-07-2020 03:23:38,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,9,нет,Тбилиси,1 гр,0.0062,4203,1608,143,,True,59.0,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
13,13,12-07-2020 03:23:38,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,4,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,True,60.0,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
