,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,Nadzaladevi,$,Saburtalo,Didube,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
0,12-07-2020 16:59:51,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,4,нет,Тбилиси,0.25 гр,0.0114,7947,3039,272,99,,,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,12-07-2020 16:59:51,Tbilisi,C36EL,TripGuru,NEW Iranian Sirec 0.25g.,,1,нет,Тбилиси,0.25 гр,0.0106,7224,2763,247,90,True,,,,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,12-07-2020 16:59:51,Tbilisi,9R7SU,ClownBaroN,0.5 Peppermint Kush ( 26% ^THC^VHQ) FROM EUROPE,,2,нет,Тбилиси,0.5 гр,0.0019,1282,491,44,,,True,18,,,,,,,,,,,0.5 Peppermint Kush ( 26% ^THC^VHQ) FROM EUROPE
3,12-07-2020 16:59:51,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,,6,нет,Тбилиси,0.5 гр,0.0035,2351,899,80,,True,,33,,,,,,,,,,,0.5 gr HYBRID buds
4,12-07-2020 16:59:51,Tbilisi,U26MW,Skyhigh,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G,,4,нет,Тбилиси,0.5 гр,0.0033,2279,872,78,,,,32,True,,,,,,,,,,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G
5,12-07-2020 16:59:51,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,,5,нет,Тбилиси,0.5 гр,0.0042,2809,1075,96,35,True,,,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
6,12-07-2020 16:59:51,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,6,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,True,,60,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
7,12-07-2020 16:59:51,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,,5,нет,Тбилиси,1 гр,0.0062,4203,1608,143,,True,,59,,,,,,,,,,,1 G Hybrid Marijuana Buds
8,12-07-2020 16:59:51,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,9,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,True,,60,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
9,12-07-2020 16:59:51,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,,9,нет,Тбилиси,1 гр,0.0062,4203,1608,143,,True,,59,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
10,12-07-2020 16:59:51,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,4,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,True,,60,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
11,12-07-2020 16:59:51,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,10,нет,Тбилиси,1 гр,0.0062,4203,1608,143,,True,,59,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
12,12-07-2020 16:59:51,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),,12,нет,Тбилиси,1 гр,0.0058,3918,1499,134,,True,,55,True,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
13,12-07-2020 16:59:51,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,,2,нет,Тбилиси,1 гр,0.0051,3490,1335,119,,True,,49,,,,,,,,,,,1gr HYBRID o.g
14,12-07-2020 16:59:51,Tbilisi,XUYA,MRweed,"Amnesia Haze (photoperiod, regular) 1 гр. Спокойно, Надёжно, Качественно.",,1,нет,Тбилиси,1 гр,0.0052,3918,1499,134,,True,,55,,,,,,,,,,,"Amnesia Haze (photoperiod, regular) 1 gr. Spokojno, Nadezhno, Kachestvenno."
15,12-07-2020 16:59:51,Tbilisi,X4ZM,ZYX,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,,3,нет,Тбилиси,1 гр,0.0061,4131,1581,141,,True,,58,,True,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
16,12-07-2020 16:59:51,Tbilisi,GYO,Hakeem,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,,1,нет,Тбилиси,1 гр,0.0052,3918,1499,134,,True,,55,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
17,12-07-2020 16:59:51,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,,4,нет,Тбилиси,1 гр,0.0071,4816,1842,165,60,True,,,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
18,12-07-2020 16:59:51,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,,1,нет,Тбилиси,2 гр,0.0114,7764,2970,265,,,,109,True,,,,,,,,,,2 G Hybrid Marijuana Buds
19,12-07-2020 16:59:51,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,,120,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
20,12-07-2020 16:59:51,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,2,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,,120,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
21,12-07-2020 16:59:51,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,,120,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
22,12-07-2020 16:59:51,Tbilisi,3Y9,HIGHTHC,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,3,нет,Тбилиси,2 гр,0.0105,7123,2725,243,,True,,100,,,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
23,12-07-2020 16:59:51,Tbilisi,BB6E,WEEDSH0P,2gr Amnesia Haze Auto сжатая марихуана BUDS,,2,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,,120,,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
24,12-07-2020 16:59:51,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,,4,нет,Тбилиси,2 гр,0.0092,6268,2398,214,,True,,88,,,,,,,,,,,2gr HYBRID buds
25,12-07-2020 16:59:51,Tbilisi,3TGJ9,Elegant,3g. марихуана шишки Critical,,1,нет,Тбилиси,3 гр,0.0143,10684,4088,365,,True,,150,,,,,,,,,,,3g. marihuana shishki Critical
26,12-07-2020 16:59:51,Tbilisi,8B31,GEOWEEDSHOP,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,18,нет,Тбилиси,3 гр,0.0058,3918,1499,134,,True,,55,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
27,12-07-2020 16:59:51,Tbilisi,QUZIV,Hollyweed,Marijuana Super Skunk leaves 3g plan,,1,нет,Тбилиси,3 гр,0.0041,2778,1063,95,,,,39,,,True,,,,,,,,Marijuana Super Skunk leaves 3g plan
28,12-07-2020 16:59:51,Tbilisi,03F3,geoshop,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,5 гр,0.0272,18520,7085,632,,True,,260,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
29,12-07-2020 16:59:51,Tbilisi,03F3,geoshop,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,2,нет,Тбилиси,5 гр,0.0282,19232,7358,656,,True,,270,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
30,12-07-2020 16:59:51,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0228,17095,6540,583,,True,,240,,,,,,,,,,,5g. marihuana shishki Critical
