,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Vazisubani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Батуми,Центр,desc_en
0,12-08-2020 03:29:30,Tbilisi,6P9R,RickNMorty,VHQ Methadon 0.12G Crystals imported,True,6,нет,Тбилиси,0.12 гр,0.0101,8632,3280,289,118,,,,,,,,,,,,VHQ Methadon 0.12G Crystals imported
1,12-08-2020 03:29:30,Tbilisi,7U9YP,ChitosPizz,Очень мощный Сирец из Ирана 0.3гр,True,18,нет,Тбилиси,0.3 гр,0.0074,6584,2502,220,90,,,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
2,12-08-2020 03:29:30,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,3,нет,Тбилиси,0.5 гр,0.0028,2414,917,81,33,,,,,,,,,,,,0.5 gr HYBRID buds
3,12-08-2020 03:29:30,Tbilisi,ABOAB,ProGrow,0.5-G ---> Hybrid BEST (BTC - Sale),True,10,нет,Тбилиси,0.5 гр,0.002,1683,639,56,23,,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
4,12-08-2020 03:29:30,Tbilisi,9Y6T,WeedShop,0.5Gramm 😬 AK-49 NEW!!!,True,4,нет,Тбилиси,0.5 гр,0.0024,2048,778,69,28,,,,,,,,,,,,0.5Gramm 😬 AK-49 NEW!!!
5,12-08-2020 03:29:30,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0026,2195,834,73,30,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
6,12-08-2020 03:29:30,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,True,9,нет,Тбилиси,0.5 гр,0.0021,1829,695,61,25,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
7,12-08-2020 03:29:30,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,12,нет,Тбилиси,1 гр,0.0047,4023,1529,135,55,,,,,,,,,,,,1 G Hybrid Marijuana Buds
8,12-08-2020 03:29:30,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,10,нет,Тбилиси,1 гр,0.0051,4389,1668,147,60,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
9,12-08-2020 03:29:30,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,1 гр,0.0051,4389,1668,147,60,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
