,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,€,Дигоми,Varketili,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,13-02-2020 05:54:54,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,5,нет,Тбилиси,0.15 гр,0.0111,8196,3203,285,130,,,,,,,,,,,,Metadon 0.15gr
1,13-02-2020 05:54:54,Tbilisi,7B8EQ,w1ld1nd1an,"0.25 Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,7,нет,Тбилиси,0.25 гр,0.0154,11348,4435,395,180,,,,,,,,,,,,"0.25 Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
2,13-02-2020 05:54:54,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g. Podezd,True,2,нет,Тбилиси,0.25 гр,0.0056,3783,1478,132,60,True,,,,,,,,,,,Iranian Sirec 0.25g. Podezd
3,13-02-2020 05:54:54,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,8,нет,Тбилиси,0.25 гр,0.0154,11348,4435,395,180,,,,,,,,,,,,Metadon VHQ 0.25 24/7
4,13-02-2020 05:54:54,Tbilisi,RM0T,Funtomass,"methadone 0,29 gr",,3,нет,Тбилиси,0.29 гр,0.0198,13240,5174,460,210,True,,,,,,,,,,,"methadone 0,29 gr"
5,13-02-2020 05:54:54,Tbilisi,1IZXK,BadboysTbl,Метадон 0.30гр,True,3,нет,Тбилиси,0.3 гр,0.0153,11979,4682,416,190,,,,,,,,,,,,Metadon 0.30gr
6,13-02-2020 05:54:54,Tbilisi,TI21,Campaari,"A PVP 0,33 VHQ",True,9,нет,Тбилиси,0.33 гр,0.0054,3783,1478,132,60,,,,,,,,,,,,"A PVP 0,33 VHQ"
7,13-02-2020 05:54:54,Tbilisi,NLKH,STARS,A - P v P Best VHQ 0.39 g Tolka magnit .,,1,нет,Тбилиси,0.39 гр,0.01,6672,2608,232,,,True,97,,,,,,,,,A - P v P Best VHQ 0.39 g Tolka magnit .
8,13-02-2020 05:54:54,Tbilisi,LYHBG,Playboy,"0,5 MDMA / White sparks / purity 93%",True,7,нет,Тбилиси,0.5 гр,0.0066,4350,1700,151,69,,,,,,,,,,,,"0,5 MDMA / White sparks / purity 93%"
9,13-02-2020 05:54:54,Tbilisi,7B8EQ,w1ld1nd1an,"0.5 Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,2,нет,Тбилиси,0.5 гр,0.0239,17653,6899,614,280,,,,,,,,,,,,"0.5 Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
10,13-02-2020 05:54:54,Tbilisi,7R3WM,RastaShop,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica,,5,нет,Тбилиси,0.5 гр,0.0027,1828,715,64,29,,,,True,True,,,,,,,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica
11,13-02-2020 05:54:54,Tbilisi,5JG6,BenderMan,"Cocaine, 0.5 g",True,7,нет,Тбилиси,0.5 гр,0.0104,6935,2710,241,110,,,,,,,,,,,,"Cocaine, 0.5 g"
12,13-02-2020 05:54:54,Tbilisi,5JG6,BenderMan,Ketamine 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0057,3783,1478,132,60,,,,,,,,,,,,Ketamine 0.5g
13,13-02-2020 05:54:54,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0257,18914,7392,658,300,,,,,,,,,,,,Metadon VHQ 0.5 24/7
14,13-02-2020 05:54:54,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,2,нет,Тбилиси,0.5 гр,0.0094,6242,2439,217,99,,,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
15,13-02-2020 05:54:54,Tbilisi,1IZXK,BadboysTbl,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.0257,18914,7392,658,300,,,,,,,,,,,,Metadon 0.6gr
16,13-02-2020 05:54:54,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,4,нет,Тбилиси,0.8 гр,0.0113,7566,2957,263,120,,,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
17,13-02-2020 05:54:54,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,17,нет,Тбилиси,1 гр,0.0038,2837,1109,99,45,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
18,13-02-2020 05:54:54,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,True,5,нет,Тбилиси,1 гр,0.0047,3152,1232,110,50,,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
19,13-02-2020 05:54:54,Tbilisi,7R3WM,RastaShop,1 gr. Blue Berry Kush 100% Natural/Indika/ Import,,5,нет,Тбилиси,1 гр,0.0042,2837,1109,99,45,,,,,True,,,,,,,1 gr. Blue Berry Kush 100% Natural/Indika/ Import
20,13-02-2020 05:54:54,Tbilisi,LYHBG,Playboy,1g MDMA - !!!NEW!!! - Purity 93%,True,7,нет,Тбилиси,1 гр,0.0104,6872,2686,239,109,,,,,,,,,,,,1g MDMA - !!!NEW!!! - Purity 93%
