,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Saburtalo,Gldani,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,13-03-2020 03:48:01,Tbilisi,F8K,BestAcid,Метадон - 0.12 г Новая партия!,True,10,нет,Тбилиси,0.12 гр,0.017,8143,2934,258,110,,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,13-03-2020 03:48:01,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.15 G,True,2,нет,Тбилиси,0.15 гр,0.0257,11104,4001,352,150,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.15 G
2,13-03-2020 03:48:01,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0293,14065,5067,446,190,,,,,,,,,,,Metadon VHQ 0.25 24/7
3,13-03-2020 03:48:01,Tbilisi,TI21,Campaari,"Метадон VHQ 0,25",True,19,нет,Тбилиси,0.25 гр,0.0309,14065,5067,446,190,,,,,,,,,,,"Metadon VHQ 0,25"
4,13-03-2020 03:48:01,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.30 G,True,3,3,Тбилиси,0.3 гр,0.0514,22208,8001,704,300,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
5,13-03-2020 03:48:01,Tbilisi,TI21,Campaari,"A PVP 0,33 VHQ",True,3,нет,Тбилиси,0.33 гр,0.0106,4812,1734,153,65,,,,,,,,,,,"A PVP 0,33 VHQ"
6,13-03-2020 03:48:01,Tbilisi,I8ED,KKGRUZ,0.35gr ALFA PVP GREEN,True,10,нет,Тбилиси,0.35 гр,0.012,5182,1867,164,70,,,,,,,,,,,0.35gr ALFA PVP GREEN
7,13-03-2020 03:48:01,Tbilisi,OX85,amnesia420,"0,5g AFGHANI Indica THC 18% / BTC -5% sale",True,5,нет,Тбилиси,0.5 гр,0.0041,1851,667,59,25,,,,,,,,,,,"0,5g AFGHANI Indica THC 18% / BTC -5% sale"
8,13-03-2020 03:48:01,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0177,8069,2907,256,109,,,,,,,,,,,Pure COCAINE VHQ 0.5g
9,13-03-2020 03:48:01,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,7,нет,Тбилиси,0.5 гр,0.017,7329,2640,232,99,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
10,13-03-2020 03:48:01,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,1 гр,0.0062,2961,1067,94,40,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
