,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Gldani,Saburtalo,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,13-03-2020 16:19:35,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.15 G,True,1,нет,Тбилиси,0.15 гр,0.0243,10978,4022,352,150,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.15 G
1,13-03-2020 16:19:35,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.30 G,True,3,3,Тбилиси,0.3 гр,0.0486,21956,8043,704,300,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
2,13-03-2020 16:19:35,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0152,7246,2654,232,99,,,,,,,,,,,Cocaine Pure VHQ 0.5g
3,13-03-2020 16:19:35,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0168,7978,2922,256,109,,,,,,,,,,,Pure COCAINE VHQ 0.5g
4,13-03-2020 16:19:35,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,12,нет,Тбилиси,0.5 гр,0.0048,2196,804,70,30,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
5,13-03-2020 16:19:35,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,5,нет,Тбилиси,0.5 гр,0.016,7246,2654,232,99,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
6,13-03-2020 16:19:35,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,1 гр,0.0058,2928,1072,94,40,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
7,13-03-2020 16:19:35,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,7,нет,Тбилиси,1 гр,0.0073,3659,1341,117,50,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
8,13-03-2020 16:19:35,Tbilisi,SF03,CRAZYFROG,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,2,нет,Тбилиси,1 гр,0.0136,6221,2279,200,85,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
9,13-03-2020 16:19:35,Tbilisi,OX85,amnesia420,1g AMNESIA HAZE Sativa THC 20% / BTC -5% sale,True,1,нет,Тбилиси,1 гр,0.0062,2928,1072,94,40,,,,,,,,,,,1g AMNESIA HAZE Sativa THC 20% / BTC -5% sale
10,13-03-2020 16:19:35,Tbilisi,03F3,geoshop,1gr bubble hash thc 25% гашиш вишего качество HQ,True,2,нет,Тбилиси,1 гр,0.0136,6221,2279,200,85,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
11,13-03-2020 16:19:35,Tbilisi,0WE,Khachapuri,1gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,1 гр,0.0164,7777,2855,251,,95,,,,,,,,,,1gr mdma (skidka v bitkoin 5%)
12,13-03-2020 16:19:35,Tbilisi,BP40,WakeShop,Apvp VHQ 1g 24/7,True,5,нет,Тбилиси,1 гр,0.0241,10978,4022,352,150,,,,,,,,,,,Apvp VHQ 1g 24/7
13,13-03-2020 16:19:35,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,3,нет,Тбилиси,1 гр,0.0275,13101,4799,420,179,,,,,,,,,,,Cocaine Pure VHQ 1g
14,13-03-2020 16:19:35,Tbilisi,X4ZM,ZYX,NEW ! Гашиш Double-Twesla ! NEW ! 1g ! HQ !,True,1,нет,Тбилиси,1 гр,0.0128,5855,2145,188,80,,,,,,,,,,,NEW ! Gashish Double-Twesla ! NEW ! 1g ! HQ !
15,13-03-2020 16:19:35,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 1г мука,True,1,нет,Тбилиси,1 гр,0.0204,10246,3753,329,140,,,,,,,,,,,NZT-52 mind storm limited 1g muka
16,13-03-2020 16:19:35,Tbilisi,UJP9,420Inc,THC Snow Buds Only 1G (THC 23+%),True,10,нет,Тбилиси,1 гр,0.0075,3440,1260,110,47,,,,,,,,,,,THC Snow Buds Only 1G (THC 23+%)
17,13-03-2020 16:19:35,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0306,14564,5335,467,199,,,,,,,,,,,VHQ BEST Cocaine 1g.
18,13-03-2020 16:19:35,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.03,13833,5067,444,189,,,,,,,,,,,Kokain HQ 1g.
19,13-03-2020 16:19:35,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0287,13101,4799,420,179,,True,,,,,,,,,Kokain KOLUMBIA 1g
