,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,€,Old Tbilisi (Старый город),Gldani,Saburtalo,Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,13-03-2020 22:22:56,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,14,нет,Тбилиси,0.25 гр,0.0292,13906,5094,446,190,,,,,,,,,,,Metadon VHQ 0.25 24/7
1,13-03-2020 22:22:56,Tbilisi,TI21,Campaari,"Метадон VHQ 0,25",True,17,нет,Тбилиси,0.25 гр,0.0271,11710,4290,376,160,,,,,,,,,,,"Metadon VHQ 0,25"
2,13-03-2020 22:22:56,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.30 G,True,3,3,Тбилиси,0.3 гр,0.0513,21956,8043,704,300,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
3,13-03-2020 22:22:56,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0161,7246,2654,232,99,,,,,,,,,,,Cocaine Pure VHQ 0.5g
4,13-03-2020 22:22:56,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0177,7978,2922,256,109,,,,,,,,,,,Pure COCAINE VHQ 0.5g
5,13-03-2020 22:22:56,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,8,нет,Тбилиси,0.5 гр,0.0051,2196,804,70,30,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
6,13-03-2020 22:22:56,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,3,нет,Тбилиси,0.5 гр,0.0169,7246,2654,232,99,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
7,13-03-2020 22:22:56,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,2,нет,Тбилиси,1 гр,0.0077,3659,1341,117,50,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
8,13-03-2020 22:22:56,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,5,нет,Тбилиси,1 гр,0.0085,3659,1341,117,50,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
9,13-03-2020 22:22:56,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,,6,нет,Тбилиси,1 гр,0.0076,3293,1206,106,45,True,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
10,13-03-2020 22:22:56,Tbilisi,SF03,CRAZYFROG,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,11,нет,Тбилиси,1 гр,0.0144,6221,2279,200,85,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
11,13-03-2020 22:22:56,Tbilisi,03F3,geoshop,1gr bubble hash thc 25% гашиш вишего качество HQ,True,4,нет,Тбилиси,1 гр,0.0144,6221,2279,200,85,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
12,13-03-2020 22:22:56,Tbilisi,0WE,Khachapuri,1gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,1 гр,0.0173,7777,2845,251,,,95,,,,,,,,,1gr mdma (skidka v bitkoin 5%)
