,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Didube,Saburtalo,Gldani,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,13-05-2020 07:43:53,Tbilisi,H9FHF,OldStar,0.3 a-pvp white,True,28,нет,Тбилиси,0.3 гр,0.0102,3221,232,7000,,,,,,,,,,,,0.3 a-pvp white
1,13-05-2020 07:43:53,Tbilisi,HWUW,opiopi,suboxsone 0.4 g,True,1,нет,Тбилиси,0.4 гр,0.0039,1080,98,2937,40,,,,,,,,,,,suboxsone 0.4 g
2,13-05-2020 07:43:53,Tbilisi,OX85,amnesia420,">>new<< 0,5G HINDU KUSH (Indica)",True,1,нет,Тбилиси,0.5 гр,0.0032,810,73,2203,30,,,,,,,,,,,">>new<< 0,5G HINDU KUSH (Indica)"
3,13-05-2020 07:43:53,Tbilisi,OX85,amnesia420,"0,5g GORILLA GLUE #4 (Hybrid, more indica)",True,2,нет,Тбилиси,0.5 гр,0.003,756,68,2056,28,,,,,,,,,,,"0,5g GORILLA GLUE #4 (Hybrid, more indica)"
4,13-05-2020 07:43:53,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0172,4293,388,11676,159,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
5,13-05-2020 07:43:53,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0141,3510,317,9546,130,True,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
6,13-05-2020 07:43:53,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0064,1620,146,4406,60,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,13-05-2020 07:43:53,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,1,нет,Тбилиси,1 гр,0.0324,8073,729,21956,299,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
8,13-05-2020 07:43:53,Tbilisi,OX85,amnesia420,"1g GORILLA GLUE #4 (Hybrid, more indica)",True,1,нет,Тбилиси,1 гр,0.0054,1350,122,3672,50,,,,,,,,,,,"1g GORILLA GLUE #4 (Hybrid, more indica)"
9,13-05-2020 07:43:53,Tbilisi,OX85,amnesia420,1g NORTHERN LIGHTS (Indica),True,2,нет,Тбилиси,1 гр,0.0054,1350,122,3672,50,,,,,,,,,,,1g NORTHERN LIGHTS (Indica)
