,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,13-06-2020 07:02:50,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0492,33731,13127,1161,488,,,,,,,,,VHQ BEST Cocaine 2g.
1,13-06-2020 07:02:50,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0087,5875,2287,202,85,True,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
2,13-06-2020 07:02:50,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,True,2,нет,Тбилиси,3 гр,0.0089,6014,2340,207,87,,,,,,,,,3 gr georgian weed. Package on magnet
3,13-06-2020 07:02:50,Tbilisi,8B31,GEOWEEDSHOP,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,True,15,нет,Тбилиси,3 гр,0.007,4769,1856,164,69,,,True,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
4,13-06-2020 07:02:50,Tbilisi,3TGJ9,Elegant,4g.марихуана шишки white widow,True,1,нет,Тбилиси,4 гр,0.0181,13479,5246,464,195,,,,,,,,,4g.marihuana shishki white widow
5,13-06-2020 07:02:50,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 4 шт. вес таблетки 450mg,True,1,нет,Тбилиси,4 гр,0.0109,7396,2878,254,107,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
6,13-06-2020 07:02:50,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,True,1,нет,Тбилиси,5 гр,0.0142,9608,3739,331,139,,,,,,,,,5 gr georgian weed. Package on magnet
7,13-06-2020 07:02:50,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,1,нет,Тбилиси,5 гр,0.0222,16589,6456,571,240,,,,,,,,,5g. marihuana shishki Critical
8,13-06-2020 07:02:50,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,7,нет,Тбилиси,5 гр,0.018,12096,4708,416,175,,,,,,,,,5x Extasy Duracell 223mg MDMA.
9,13-06-2020 07:02:50,Tbilisi,8B31,GEOWEEDSHOP,АКЦИЯ! СУПЕР ЦЕНА! 5gr marijuana buds -indica- (КЛАДИ НА МАГНИТАХ),True,11,нет,Тбилиси,5 гр,0.0101,6843,2663,235,99,,,True,,,,,,AKTsIJa! SUPER TsENA! 5gr marijuana buds -indica- (KLADI NA MAGNITAH)
10,13-06-2020 07:02:50,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,True,1,нет,Тбилиси,10 гр,0.0264,17903,6967,616,259,,,,,,,,,10 gr georgian weed. Package on magnet
11,13-06-2020 07:02:50,Tbilisi,8B31,GEOWEEDSHOP,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),True,8,нет,Тбилиси,10 гр,0.0203,13755,5353,473,199,,,True,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
12,13-06-2020 07:02:50,Tbilisi,8B31,GEOWEEDSHOP,"Отходы, листья и шишки. 🍃 Leafs and Buds (Good for making bubble hash)",True,2,нет,Тбилиси,10 гр,0.0097,6497,2529,224,94,,,,,,,,,"Othody, list'ja i shishki. 🍃 Leafs and Buds (Good for making bubble hash)"
13,13-06-2020 07:02:50,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0463,34561,13450,1189,500,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
14,13-06-2020 07:02:50,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2056,138244,53800,4756,2000,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
15,13-06-2020 07:02:50,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,9,Тбилиси,2 гр,0.038,25506,9926,878,369,,,,,,,,,❄❄2g HQ COCAINE❄❄
16,13-06-2020 07:02:50,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,6,Тбилиси,3 гр,0.0596,40022,15575,1377,579,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
17,13-06-2020 07:02:50,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0408,27649,10760,951,400,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
18,13-06-2020 07:02:50,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,1,Тбилиси,4 гр,0.0143,9677,3766,333,140,True,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
19,13-06-2020 07:02:50,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.056,38017,14795,1308,550,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
20,13-06-2020 07:02:50,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,7,Тбилиси,5 гр,0.0239,16244,6322,559,235,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
