,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,Saburtalo,$,Didube,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
0,13-07-2020 07:36:13,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,3,нет,Тбилиси,0.25 гр,0.0114,7947,3039,272,99,,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,13-07-2020 07:36:13,Tbilisi,C36EL,TripGuru,NEW Iranian Sirec 0.25g.,,1,нет,Тбилиси,0.25 гр,0.0106,7224,2763,247,90,True,,,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,13-07-2020 07:36:13,Tbilisi,6P9R,RickNMorty,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet,,2,нет,Тбилиси,0.5 гр,0.017,11610,4442,396,,True,True,163,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet
3,13-07-2020 07:36:13,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,,4,нет,Тбилиси,0.5 гр,0.0042,2809,1075,96,35,True,,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
4,13-07-2020 07:36:13,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,4,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,True,,60,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
5,13-07-2020 07:36:13,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,,4,нет,Тбилиси,1 гр,0.0062,4203,1608,143,,True,,59,,,,,,,,,,1 G Hybrid Marijuana Buds
6,13-07-2020 07:36:13,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,8,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,True,,60,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,13-07-2020 07:36:13,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,,7,нет,Тбилиси,1 гр,0.0062,4203,1608,143,,True,,59,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
8,13-07-2020 07:36:13,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,4,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,True,,60,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
9,13-07-2020 07:36:13,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,5,нет,Тбилиси,1 гр,0.0062,4203,1608,143,,True,,59,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
