,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Vake,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,14-02-2020 23:48:04,Tbilisi,61df6a1c90,Метадон 0.15гр,True,7,нет,Тбилиси,0.15 гр,0.0112,8249,3203,286,130.0,,,,,,,,,,Metadon 0.15gr
1,1,14-02-2020 23:48:04,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,True,2,нет,Тбилиси,0.25 гр,0.0057,3807,1478,132,60.0,,,,,,,,,,Iranian Sirec 0.25g.
2,2,14-02-2020 23:48:04,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0154,11422,4435,396,180.0,,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,14-02-2020 23:48:04,Tbilisi,8a650ecf5f,"A PVP 0,33 VHQ",True,13,нет,Тбилиси,0.33 гр,0.0054,3807,1478,132,60.0,,,,,,,,,,"A PVP 0,33 VHQ"
4,4,14-02-2020 23:48:04,Tbilisi,366326d4d6,0.5 g. Ketamine,True,6,нет,Тбилиси,0.5 гр,0.0056,3744,1454,130,59.0,,,,,,,,,,0.5 g. Ketamine
5,5,14-02-2020 23:48:04,Tbilisi,21de5577be,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica,,5,нет,Тбилиси,0.5 гр,0.0027,1840,715,64,29.0,True,,,,,,,,,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica
6,6,14-02-2020 23:48:04,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0057,3807,1478,132,60.0,,,,,,,,,,Ketamine 0.5g
7,7,14-02-2020 23:48:04,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,4,нет,Тбилиси,0.5 гр,0.0094,6282,2439,218,99.0,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
8,8,14-02-2020 23:48:04,Tbilisi,edfbad0151,Pineapple Express 0.5G pressed buds only (hydro),True,4,нет,Тбилиси,0.5 гр,0.0028,1904,739,66,30.0,,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
9,9,14-02-2020 23:48:04,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0099,6916,2686,240,109.0,,,,,,,,,,Pure COCAINE VHQ 0.5g
