,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Gldani,Saburtalo,Vake,€,Дигоми,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,14-03-2020 15:30:01,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.15 G,True,1,нет,Тбилиси,0.15 гр,0.0247,10978,4034,351,150,,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.15 G
1,14-03-2020 15:30:01,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,11,нет,Тбилиси,0.25 гр,0.0282,13906,5109,445,190,,,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,14-03-2020 15:30:01,Tbilisi,TI21,Campaari,"Метадон VHQ 0,25",True,13,нет,Тбилиси,0.25 гр,0.0261,11710,4302,374,160,,,,,,,,,,,,,"Metadon VHQ 0,25"
3,14-03-2020 15:30:01,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.30 G,True,3,3,Тбилиси,0.3 гр,0.0495,21956,8067,702,300,,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
4,14-03-2020 15:30:01,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,13,нет,Тбилиси,0.5 гр,0.0041,1830,672,59,25,,,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
5,14-03-2020 15:30:01,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,12,нет,Тбилиси,1 гр,0.0074,3659,1345,117,50,,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
6,14-03-2020 15:30:01,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,5,нет,Тбилиси,1 гр,0.0082,3659,1345,117,50,,,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
7,14-03-2020 15:30:01,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,,2,нет,Тбилиси,1 гр,0.0073,3293,1210,105,45,True,,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
8,14-03-2020 15:30:01,Tbilisi,SF03,CRAZYFROG,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,8,нет,Тбилиси,1 гр,0.0139,6221,2286,199,85,,,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
9,14-03-2020 15:30:01,Tbilisi,03F3,geoshop,1gr bubble hash thc 25% гашиш вишего качество HQ,True,9,нет,Тбилиси,1 гр,0.0139,6221,2286,199,85,,,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
10,14-03-2020 15:30:01,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,True,18,нет,Тбилиси,1 гр,0.0075,3367,1237,108,46,,,,,,,,,,,,,Amsterdam weed sativa 1gr
11,14-03-2020 15:30:01,Tbilisi,BP40,WakeShop,Apvp VHQ 1g 24/7,True,1,нет,Тбилиси,1 гр,0.0245,10978,4034,351,150,,,,,,,,,,,,,Apvp VHQ 1g 24/7
12,14-03-2020 15:30:01,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,True,4,нет,Тбилиси,1 гр,0.0816,40254,14790,1287,550,,,,,,,,,,,,,Metadon VHQ 1 24/7
13,14-03-2020 15:30:01,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 1G,True,1,нет,Тбилиси,1 гр,0.0082,3659,1345,117,50,,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 1G
14,14-03-2020 15:30:01,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! BUDS ! 1G,True,2,нет,Тбилиси,1 гр,0.0073,3293,1210,105,45,,,,,,,,,,,,,NEW ! Super Critical ! NEW ! BUDS ! 1G
15,14-03-2020 15:30:01,Tbilisi,UJP9,420Inc,THC Snow Buds Only 1G (THC 23+%),True,10,нет,Тбилиси,1 гр,0.0076,3440,1264,110,47,,,,,,,,,,,,,THC Snow Buds Only 1G (THC 23+%)
16,14-03-2020 15:30:01,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1336,65869,24201,2106,900,,,,,,,,,,,,,Metadon 1gr
17,14-03-2020 15:30:01,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,14,нет,Тбилиси,1 гр,0.003,1464,538,47,20,,True,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
18,14-03-2020 15:30:01,Tbilisi,9VLN,AlienShop,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,True,1,нет,Тбилиси,1 гр,0.0114,5050,1855,161,69,,,,,,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
19,14-03-2020 15:30:01,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,2 гр,0.0104,5123,1882,164,70,,,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
20,14-03-2020 15:30:01,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,11,нет,Тбилиси,2 гр,0.0134,6587,2420,211,90,,,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
21,14-03-2020 15:30:01,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,2,нет,Тбилиси,2 гр,0.0113,5050,1855,161,69,,,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
22,14-03-2020 15:30:01,Tbilisi,ABOAB,ProGrow,2G ---> INDICA,,7,нет,Тбилиси,2 гр,0.0099,4538,1667,145,62,,,True,,,,,,,,,,2G ---> INDICA
23,14-03-2020 15:30:01,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds. Indica,,4,нет,Тбилиси,2 гр,0.013,5782,2124,185,79,,True,,,,,,,,,,,2g super Skunk top class buds. Indica
24,14-03-2020 15:30:01,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,3,нет,Тбилиси,2 гр,0.0594,27738,10191,887,379,,,,,,,,,,,,,Kokain HQ 2g.
25,14-03-2020 15:30:01,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 2г.,,1,нет,Тбилиси,2 гр,0.0147,6587,2420,211,90,,,,True,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 2g.
26,14-03-2020 15:30:01,Tbilisi,0WE,Khachapuri,3 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,3 гр,0.0438,20465,7488,654,,,,,,250,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
27,14-03-2020 15:30:01,Tbilisi,ABOAB,ProGrow,3G ---> INDICA,,18,нет,Тбилиси,3 гр,0.0129,6367,2339,204,87,,,True,,,,,,,,,,3G ---> INDICA
28,14-03-2020 15:30:01,Tbilisi,9VLN,AlienShop,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,1,нет,Тбилиси,3 гр,0.019,8417,3092,269,115,,,,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
29,14-03-2020 15:30:01,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,True,8,нет,Тбилиси,4 гр,0.0089,4391,1613,140,60,,,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
30,14-03-2020 15:30:01,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0485,21956,8067,702,300,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
31,14-03-2020 15:30:01,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0631,29470,10782,941,,,,,,360,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
