,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Saburtalo,$,Vazisubani,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,14-05-2020 11:44:51,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,4,нет,Тбилиси,0.3 гр,0.0097,3221,233,7000,,,,,,,,,,,,0.3 a-pvp white
1,1,14-05-2020 11:44:51,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,8,нет,Тбилиси,1 гр,0.0043,1130,103,3090,True,42.0,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
2,2,14-05-2020 11:44:51,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,18,нет,Тбилиси,1 гр,0.0036,942,86,2575,True,35.0,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
3,3,14-05-2020 11:44:51,Tbilisi,69672fee0d,1 гр INDICA марихуана шишки тгк 21% VHQ!!,True,10,нет,Тбилиси,1 гр,0.004,1049,95,2870,,39.0,,,,,,,,,,1 gr INDICA marihuana shishki tgk 21% VHQ!!
4,4,14-05-2020 11:44:51,Tbilisi,bb1791277e,1gr Stardawg Auto WEED BUDS,True,9,нет,Тбилиси,1 гр,0.0041,1076,98,2943,,40.0,,,,,,,,,,1gr Stardawg Auto WEED BUDS
5,5,14-05-2020 11:44:51,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.024,6322,575,17292,,235.0,,,,,,,,,,Cocaine Pure VHQ 1g
6,6,14-05-2020 11:44:51,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0835,24210,2202,66224,,900.0,,,,,,,,,,Metadon 1gr
7,7,14-05-2020 11:44:51,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,5,нет,Тбилиси,2 гр,0.0102,2690,245,7358,,100.0,,,,,,,,,,2 G Hybrid Marijuana Buds
8,8,14-05-2020 11:44:51,Tbilisi,bb1791277e,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,True,8,нет,Тбилиси,2 гр,0.0082,2152,196,5887,,80.0,,,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
9,9,14-05-2020 11:44:51,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,True,8,нет,Тбилиси,2 гр,0.0081,2125,193,5813,,79.0,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
10,10,14-05-2020 11:44:51,Tbilisi,69672fee0d,2 гр INDICA марихуана шишки тгк 21% VHQ!!,True,7,нет,Тбилиси,2 гр,0.006999999999999999,1856,169,5077,,69.0,,,,,,,,,,2 gr INDICA marihuana shishki tgk 21% VHQ!!
11,11,14-05-2020 11:44:51,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,6,нет,Тбилиси,2 гр,0.0092,2394,218,6549,,89.0,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
12,12,14-05-2020 11:44:51,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,2 гр,0.0072,1883,171,5151,,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
13,13,14-05-2020 11:44:51,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0087,2287,208,6254,True,85.0,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
