,time_stamp,region,sell_code,sell_name,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Vake,$,Тбилиси,Saburtalo,Nadzaladevi,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,14-06-2020 11:17:19,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,3,нет,Тбилиси,0.25 гр,0.0147,10129,3922,347,129,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,14-06-2020 11:17:19,Tbilisi,03F3,geoshop,1 g indica шишки марихуана топ,,4,нет,Тбилиси,1 гр,0.0041,2765,1076,95,,True,40,,,,,,,,1 g indica shishki marihuana top
2,14-06-2020 11:17:19,Tbilisi,SF03,CRAZYFROG,1 г марихуана шишки VHQ индика THC 20%,,12,нет,Тбилиси,1 гр,0.004,2696,1049,93,,,39,True,True,,,,,,1 g marihuana shishki VHQ indika THC 20%
3,14-06-2020 11:17:19,Tbilisi,A3I9,Joookerrr,Геройн (сирец) 1 гр,,1,нет,Тбилиси,1 гр,0.0321,21773,8474,749,,True,315,,,,,,,,Gerojn (sirets) 1 gr
4,14-06-2020 11:17:19,Tbilisi,03F3,geoshop,2 g indica шишки марихуана топ,,1,нет,Тбилиси,2 гр,0.0071,4839,1883,166,,True,70,,,,,,,,2 g indica shishki marihuana top
5,14-06-2020 11:17:19,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0087,5875,2287,202,,True,85,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
6,14-06-2020 11:17:19,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0223,16589,6456,571,,,240,True,,,,,,,5g. marihuana shishki Critical
7,14-06-2020 11:17:19,Tbilisi,8B31,GEOWEEDSHOP,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,10 гр,0.0203,13755,5353,473,,,199,True,,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
8,14-06-2020 11:17:19,Tbilisi,LGRP8,Walker12,Химка !! 10 г %%5%% скидка новинка !!!!,,2,нет,Тбилиси,10 гр,0.0078,5530,2152,190,,,80,,,True,,,,,Himka !! 10 g %%5%% skidka novinka !!!!
9,14-06-2020 11:17:19,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0464,34561,13450,1189,,,500,True,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
