,Unnamed: 0,time_stamp,region,sell_code,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Vake,Nadzaladevi,Saburtalo,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,14-06-2020 15:53:48,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,2,нет,Тбилиси,0.25 гр,0.0146,10129,3922,347,129.0,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,14-06-2020 15:53:48,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,18,нет,Тбилиси,0.5 гр,0.0033,2212,861,76,,True,32.0,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
2,2,14-06-2020 15:53:48,Tbilisi,54915c4374,Геройн (сирец) 1 гр,,1,нет,Тбилиси,1 гр,0.032,21773,8474,749,,,315.0,True,,,,,,,Gerojn (sirets) 1 gr
3,3,14-06-2020 15:53:48,Tbilisi,7c395c455d,2 g indica шишки марихуана топ,,1,нет,Тбилиси,2 гр,0.0071,4839,1883,166,,,70.0,True,,,,,,,2 g indica shishki marihuana top
4,4,14-06-2020 15:53:48,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0086,5875,2287,202,,,85.0,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
5,5,14-06-2020 15:53:48,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0222,16589,6456,571,,True,240.0,,,,,,,,5g. marihuana shishki Critical
6,6,14-06-2020 15:53:48,Tbilisi,7bd1a5deba,10 - GRAMM BEASTWEED,,5,нет,Тбилиси,10 гр,0.0185,13824,5380,476,,True,200.0,,,,,,,,10 - GRAMM BEASTWEED
7,7,14-06-2020 15:53:48,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,,4,нет,Тбилиси,10 гр,0.0014,968,377,33,,True,14.0,,,,,,,,GABAGAMA 10 shtuk
8,8,14-06-2020 15:53:48,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,10 гр,0.0202,13755,5353,473,,True,199.0,,,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
9,9,14-06-2020 15:53:48,Tbilisi,83f3d55917,Химка !! 10 г %%5%% скидка новинка !!!!,,2,нет,Тбилиси,10 гр,0.0078,5530,2152,190,,,80.0,,True,,,,,,Himka !! 10 g %%5%% skidka novinka !!!!
