,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Nadzaladevi,€,Saburtalo,Old Tbilisi (Старый город),Дигоми,Didube,Vake,Батуми,Центр,Кутаиси,desc_en
0,0,14-07-2020 22:03:04,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,4,нет,Тбилиси,0.5 гр,0.0035,2347,901,80,33.0,,,,,,,,,,,0.5 gr HYBRID buds
1,1,14-07-2020 22:03:04,Tbilisi,83f3d55917,Новости ! Наш магазин предлагает новые продукты !! Original Gangster !! 0.5 !!,,2,нет,Тбилиси,0.5 гр,0.0031,2134,819,73,30.0,True,,,,,,,,,,Novosti ! Nash magazin predlagaet novye produkty !! Original Gangster !! 0.5 !!
2,2,14-07-2020 22:03:04,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,True,1,нет,Тбилиси,0.5 гр,0.0042,2822,1084,96,,,35.0,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
3,3,14-07-2020 22:03:04,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,1,нет,Тбилиси,1 гр,0.0062,4197,1611,143,59.0,,,True,,,,,,,,1 G Hybrid Marijuana Buds
4,4,14-07-2020 22:03:04,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,6,нет,Тбилиси,1 гр,0.0063,4268,1638,145,60.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
5,5,14-07-2020 22:03:04,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,1,нет,Тбилиси,1 гр,0.0057,3912,1502,133,55.0,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
6,6,14-07-2020 22:03:04,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,8,нет,Тбилиси,1 гр,0.0062,4197,1611,143,59.0,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
7,7,14-07-2020 22:03:04,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,4,нет,Тбилиси,1 гр,0.0063,4268,1638,145,60.0,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
8,8,14-07-2020 22:03:04,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,7,нет,Тбилиси,1 гр,0.0062,4197,1611,143,59.0,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
9,9,14-07-2020 22:03:04,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),True,11,нет,Тбилиси,1 гр,0.0057,3912,1502,133,55.0,,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
