,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Дигоми,Gldani,Vazisubani,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Батуми,Центр,€,desc_en
0,14-08-2020 01:09:21,Tbilisi,7U9YP,ChitosPizz,Очень мощный Сирец из Ирана 0.3гр,True,19,нет,Тбилиси,0.3 гр,0.0065,5889,2212,197,80,,,,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
1,14-08-2020 01:09:21,Tbilisi,03F3,geoshop,0.5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,0.5 гр,0.0028,2429,912,81,33,,,,,,,,,,,,,0.5 gr Amnesia Haze shishki import s evropy tgk 28%
2,14-08-2020 01:09:21,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,1,нет,Тбилиси,0.5 гр,0.0028,2429,912,81,33,,,,,,,,,,,,,0.5 gr HYBRID buds
3,14-08-2020 01:09:21,Tbilisi,7R3WM,RastaShop,0.5 gr. ️🍀 Jamaica Feminized 🇯🇲🇯🇲100% Natural/Hybrid,,4,нет,Тбилиси,0.5 гр,0.0026,2208,830,74,30,True,,,,,,,,,,,,0.5 gr. ️🍀 Jamaica Feminized 🇯🇲🇯🇲100% Natural/Hybrid
4,14-08-2020 01:09:21,Tbilisi,QUZIV,Hollyweed,0.5 г.Super Skunk top class buds! (подезд),,7,нет,Тбилиси,0.5 гр,0.0025,2135,802,71,29,,True,,,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
5,14-08-2020 01:09:21,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0026,2208,830,74,30,,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
6,14-08-2020 01:09:21,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,True,6,нет,Тбилиси,0.5 гр,0.0021,1840,691,61,25,,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
7,14-08-2020 01:09:21,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,1 гр,0.0051,4416,1659,148,60,,,True,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
8,14-08-2020 01:09:21,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,5,нет,Тбилиси,1 гр,0.0047,4048,1521,135,55,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
9,14-08-2020 01:09:21,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,9,нет,Тбилиси,1 гр,0.0046,3975,1493,133,54,,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
10,14-08-2020 01:09:21,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,5,нет,Тбилиси,1 гр,0.0051,4416,1659,148,60,,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
11,14-08-2020 01:09:21,Tbilisi,BB6E,WEEDSH0P,1 gr super lemon haze пробник,True,5,нет,Тбилиси,1 гр,0.0047,4048,1521,135,55,,,,,,,,,,,,,1 gr super lemon haze probnik
12,14-08-2020 01:09:21,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,4,нет,Тбилиси,1 гр,0.0045,3901,1465,130,53,,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
13,14-08-2020 01:09:21,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,4,нет,Тбилиси,1 гр,0.0047,4048,1521,135,55,,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
14,14-08-2020 01:09:21,Tbilisi,QUZIV,Hollyweed,1 г.Super Skunk top class buds! (подезд),,5,нет,Тбилиси,1 гр,0.0047,4048,1521,135,55,,True,,True,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
15,14-08-2020 01:09:21,Tbilisi,JVZTQ,partyshop,1 шишки Girl Scout Cookies тгк thc 28%,,9,нет,Тбилиси,1 гр,0.0049,4269,1604,143,58,,,True,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
16,14-08-2020 01:09:21,Tbilisi,5XD8,TYsonWeed,1G TYson Budds Скидка 5%,True,18,нет,Тбилиси,1 гр,0.0033,2944,1106,98,40,True,,,,,,,,,,,,1G TYson Budds Skidka 5%
17,14-08-2020 01:09:21,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.0047,4048,1521,135,55,,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
18,14-08-2020 01:09:21,Tbilisi,I7IU,MrPickless,1g hindu kish best buds BTC 1% SALE,True,1,нет,Тбилиси,1 гр,0.0043,3754,1410,125,51,,,,,,,,,,,,,1g hindu kish best buds BTC 1% SALE
