,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,15-02-2020 22:41:28,Tbilisi,61df6a1c90,Метадон 0.15гр,True,2,нет,Тбилиси,0.15 гр,0.0116,8249,3203,286,130.0,,,,,,,,,,Metadon 0.15gr
1,1,15-02-2020 22:41:28,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0161,11422,4435,396,180.0,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,15-02-2020 22:41:28,Tbilisi,32e645c201,"methadone 0,29 gr",,3,нет,Тбилиси,0.29 гр,0.0206,13325,5174,462,210.0,True,,,,,,,,,"methadone 0,29 gr"
3,3,15-02-2020 22:41:28,Tbilisi,c72111ac1a,"NZT-52 mind storm limited 0,3г мука",True,1,нет,Тбилиси,0.3 гр,0.0063,4442,1725,154,70.0,,,,,,,,,,"NZT-52 mind storm limited 0,3g muka"
4,4,15-02-2020 22:41:28,Tbilisi,61df6a1c90,Метадон 0.30гр,True,3,нет,Тбилиси,0.3 гр,0.016,12056,4682,418,190.0,,,,,,,,,,Metadon 0.30gr
5,5,15-02-2020 22:41:28,Tbilisi,366326d4d6,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,3,нет,Тбилиси,0.5 гр,0.0068,4378,1700,152,69.0,,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
6,6,15-02-2020 22:41:28,Tbilisi,366326d4d6,0.5 g. Ketamine,True,2,нет,Тбилиси,0.5 гр,0.0059,3744,1454,130,59.0,,,,,,,,,,0.5 g. Ketamine
7,7,15-02-2020 22:41:28,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,6,нет,Тбилиси,0.5 гр,0.0109,6980,2710,242,110.0,,,,,,,,,,"Cocaine, 0.5 g"
8,8,15-02-2020 22:41:28,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0059,3807,1478,132,60.0,,,,,,,,,,Ketamine 0.5g
9,9,15-02-2020 22:41:28,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0259,18402,7146,638,290.0,,,,,,,,,,Metadon VHQ 0.5 24/7
10,10,15-02-2020 22:41:28,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,4,нет,Тбилиси,0.5 гр,0.0098,6282,2439,218,99.0,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
11,11,15-02-2020 22:41:28,Tbilisi,edfbad0151,Pineapple Express 0.5G pressed buds only (hydro),True,3,нет,Тбилиси,0.5 гр,0.0029,1904,739,66,30.0,,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
12,12,15-02-2020 22:41:28,Tbilisi,61df6a1c90,Метадон 0.6гр,True,4,нет,Тбилиси,0.6 гр,0.0268,19036,7392,660,300.0,,,,,,,,,,Metadon 0.6gr
13,13,15-02-2020 22:41:28,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,7,нет,Тбилиси,0.8 гр,0.0118,7614,2957,264,120.0,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
14,14,15-02-2020 22:41:28,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,True,8,нет,Тбилиси,1 гр,0.0118,7614,2957,264,120.0,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
15,15,15-02-2020 22:41:28,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,1,нет,Тбилиси,1 гр,0.0084,5394,2094,187,85.0,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
16,16,15-02-2020 22:41:28,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,,3,нет,Тбилиси,1 гр,0.0039,2602,1010,90,41.0,True,,,,,,,,,1G -- AK-47 -> Sativa
17,17,15-02-2020 22:41:28,Tbilisi,366326d4d6,1g MDMA - !!!NEW!!! - Purity 93%,True,5,нет,Тбилиси,1 гр,0.0108,6916,2686,240,109.0,,,,,,,,,,1g MDMA - !!!NEW!!! - Purity 93%
18,18,15-02-2020 22:41:28,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,3,нет,Тбилиси,1 гр,0.0084,5394,2094,187,85.0,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
19,19,15-02-2020 22:41:28,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,2,нет,Тбилиси,1 гр,0.0218,13960,5421,484,220.0,,,,,,,,,,"Cocaine, 1g"
20,20,15-02-2020 22:41:28,Tbilisi,8219f5e7b8,Ketamine 1g,True,1,нет,Тбилиси,1 гр,0.0099,6345,2464,220,100.0,,,,,,,,,,Ketamine 1g
21,21,15-02-2020 22:41:28,Tbilisi,366326d4d6,Ketamine 1g.,True,1,нет,Тбилиси,1 гр,0.0088,5647,2193,196,89.0,,,,,,,,,,Ketamine 1g.
22,22,15-02-2020 22:41:28,Tbilisi,8219f5e7b8,"LSD - 250 ug, 1piece",True,1,нет,Тбилиси,1 гр,0.004,2538,986,88,40.0,,,,,,,,,,"LSD - 250 ug, 1piece"
23,23,15-02-2020 22:41:28,Tbilisi,be97026d1d,MDMA from Europe!!! 1.0g BTC SALE 5%(ПОДЪЕЗД!!!),,1,нет,Тбилиси,1 гр,0.0101,6663,2587,231,105.0,,True,,,,,,,,MDMA from Europe!!! 1.0g BTC SALE 5%(POD'EZD!!!)
24,24,15-02-2020 22:41:28,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.0447,31727,12320,1099,500.0,,,,,,,,,,Metadon VHQ 1 24/7
25,25,15-02-2020 22:41:28,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,1,нет,Тбилиси,1 гр,0.0188,11993,4657,416,189.0,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
26,26,15-02-2020 22:41:28,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,8,нет,Тбилиси,1 гр,0.0107,7614,2957,264,120.0,,,,,,,,,,NZT-52 mind storm limited 1g muka
27,27,15-02-2020 22:41:28,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0188,12627,4903,438,199.0,,,,,,,,,,VHQ BEST Cocaine 1g.
28,28,15-02-2020 22:41:28,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,3,нет,Тбилиси,1 гр,0.0141,9518,3696,330,150.0,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
29,29,15-02-2020 22:41:28,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0184,11993,4657,416,189.0,,,,,,,,,,Kokain HQ 1g.
30,30,15-02-2020 22:41:28,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,5,нет,Тбилиси,1 гр,0.0176,11358,4411,394,179.0,,,True,,,,,,,Kokain KOLUMBIA 1g
31,31,15-02-2020 22:42:09,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,5,нет,Тбилиси,1 гр,0.0176,11358,4411,394,179.0,,,True,,,,,,,Kokain KOLUMBIA 1g
32,32,15-02-2020 22:42:09,Tbilisi,61df6a1c90,Метадон 1гр,True,5,нет,Тбилиси,1 гр,0.0424,28554,11088,989,450.0,,,,,,,,,,Metadon 1gr
33,33,15-02-2020 22:42:09,Tbilisi,e8a987a33c,"Метадон, 1gr",True,5,нет,Тбилиси,1 гр,0.0393,25381,9856,879,400.0,,,,,,,,,,"Metadon, 1gr"
34,34,15-02-2020 22:42:09,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,True,2,нет,Тбилиси,1 гр,0.0108,6916,2686,240,109.0,,,,,,,,,,✨ 1g. MDMA ✨
35,35,15-02-2020 22:42:09,Tbilisi,2dbb5960b9,Methadone HQ in city 1.3g,True,6,нет,Тбилиси,1.3 гр,0.054000000000000006,34899,13552,1209,550.0,,,,,,,,,,Methadone HQ in city 1.3g
