,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Tbilisis Zgva,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,15-03-2020 03:26:17,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.15 G,True,1,нет,Тбилиси,0.15 гр,0.0266,10978,4034,351,150.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.15 G
1,1,15-03-2020 03:26:17,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,2,нет,Тбилиси,0.25 гр,0.0175,7319,2689,234,100.0,,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,2,15-03-2020 03:26:17,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,8,нет,Тбилиси,0.25 гр,0.0303,13906,5109,445,190.0,,,,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,15-03-2020 03:26:17,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,8,нет,Тбилиси,0.25 гр,0.0281,11710,4302,374,160.0,,,,,,,,,,,,"Metadon VHQ 0,25"
4,4,15-03-2020 03:26:17,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.30 G,True,3,3,Тбилиси,0.3 гр,0.0531,21956,8067,702,300.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
5,5,15-03-2020 03:26:17,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0167,7246,2662,232,99.0,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
6,6,15-03-2020 03:26:17,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни!,,15,нет,Тбилиси,0.5 гр,0.0096,4025,1479,129,55.0,True,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
7,7,15-03-2020 03:26:17,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0183,7978,2931,255,109.0,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
8,8,15-03-2020 03:26:17,Tbilisi,99accec7c7,mephedrone 0.5 лучший меф! лечит даже корона вирус!))),,24,нет,Тбилиси,0.5 гр,0.0175,7319,2689,234,100.0,True,,,,,,,,,,,mephedrone 0.5 luchshij mef! lechit dazhe korona virus!)))
9,9,15-03-2020 03:26:17,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,13,нет,Тбилиси,1 гр,0.008,3659,1345,117,50.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
10,10,15-03-2020 03:26:17,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,1 гр,0.0088,3659,1345,117,50.0,,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
11,11,15-03-2020 03:26:17,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,4,нет,Тбилиси,1 гр,0.0149,6221,2286,199,85.0,,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
12,12,15-03-2020 03:26:17,Tbilisi,64284550d9,1G ---> ONLY BUDS,True,15,нет,Тбилиси,1 гр,0.0067,2854,1049,91,39.0,,,,,,,,,,,,1G ---> ONLY BUDS
13,13,15-03-2020 03:26:17,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,6,нет,Тбилиси,1 гр,0.0149,6221,2286,199,85.0,,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
14,14,15-03-2020 03:26:17,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,14,нет,Тбилиси,1 гр,0.0081,3367,1237,108,46.0,,,,,,,,,,,,Amsterdam weed sativa 1gr
15,15,15-03-2020 03:26:17,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0301,13101,4813,419,179.0,,,,,,,,,,,,Cocaine Pure VHQ 1g
16,16,15-03-2020 03:26:17,Tbilisi,99accec7c7,MDMA 1gr лучший товар на площадке!,,9,нет,Тбилиси,1 гр,0.0193,8051,2958,257,110.0,True,,,,,,,,,,,MDMA 1gr luchshij tovar na ploschadke!
17,17,15-03-2020 03:26:17,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,3,нет,Тбилиси,1 гр,0.0877,40254,14790,1287,550.0,,,,,,,,,,,,Metadon VHQ 1 24/7
18,18,15-03-2020 03:26:17,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! BUDS ! 1G,True,1,нет,Тбилиси,1 гр,0.0079,3293,1210,105,45.0,,,,,,,,,,,,NEW ! Super Critical ! NEW ! BUDS ! 1G
19,19,15-03-2020 03:26:17,Tbilisi,edfbad0151,THC Snow Buds Only 1G (THC 23+%),True,10,нет,Тбилиси,1 гр,0.0076,3220,1183,103,44.0,,,,,,,,,,,,THC Snow Buds Only 1G (THC 23+%)
20,20,15-03-2020 03:26:17,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.0335,14564,5351,466,199.0,,,,,,,,,,,,VHQ BEST Cocaine 1g.
21,21,15-03-2020 03:26:17,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,5,нет,Тбилиси,1 гр,0.0328,13833,5082,442,189.0,,,,,,,,,,,,Kokain HQ 1g.
22,22,15-03-2020 03:26:17,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1434,65869,24201,2106,900.0,,,,,,,,,,,,Metadon 1gr
23,23,15-03-2020 03:26:17,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,13,нет,Тбилиси,1 гр,0.0032,1464,538,47,20.0,,True,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
24,24,15-03-2020 03:26:17,Tbilisi,dd631c4acf,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,True,1,нет,Тбилиси,1 гр,0.0122,5050,1855,161,69.0,,,,,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
25,25,15-03-2020 03:26:17,Tbilisi,7c395c455d,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,1,нет,Тбилиси,1.2 гр,0.021,8783,3227,281,120.0,,,,,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
26,26,15-03-2020 03:26:17,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,19,нет,Тбилиси,2 гр,0.0143,6587,2420,211,90.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
