,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Saburtalo,$,Didube,Gldani,€,Old Tbilisi (Старый город),Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,15-04-2020 15:50:59,Tbilisi,H9FHF,OldStar,0.3 a-pvp white,True,2,нет,Тбилиси,0.3 гр,0.011,2761,201,6000,,,,,,,,,,,,0.3 a-pvp white
1,15-04-2020 15:50:59,Tbilisi,U26MW,Skyhigh,NEW NEW NEW !!! SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G ВЕС +15%,,3,нет,Тбилиси,0.5 гр,0.0038,770,69,2064,True,28,,,,,,,,,,NEW NEW NEW !!! SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G VES +15%
2,15-04-2020 15:50:59,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,1 гр,0.006,1210,108,3243,,44,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
3,15-04-2020 15:50:59,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,13,нет,Тбилиси,1 гр,0.0068,1513,135,4054,,55,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
4,15-04-2020 15:50:59,Tbilisi,H9FHF,OldStar,1 a-pvp white,True,1,нет,Тбилиси,1 гр,0.0258,6442,468,14000,,,,,,,,,,,,1 a-pvp white
5,15-04-2020 15:50:59,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,True,11,нет,Тбилиси,1 гр,0.0053,1073,96,2875,True,39,True,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
6,15-04-2020 15:50:59,Tbilisi,QUZIV,Hollyweed,1 г.Super Skunk top class buds! Indica,,1,нет,Тбилиси,1 гр,0.0063,1265,113,3391,,46,,True,,,,,,,,1 g.Super Skunk top class buds! Indica
7,15-04-2020 15:50:59,Tbilisi,SF03,CRAZYFROG,1 гр листя плус галовки марихуана,,6,нет,Тбилиси,1 гр,0.0027,550,49,1474,True,20,,,,,,,,,,1 gr listja plus galovki marihuana
8,15-04-2020 15:50:59,Tbilisi,Z5UFK,Vein,Cocaine Fishscale! Limited Quantity 1g. акция -20% при оплате бтк!!!,True,2,нет,Тбилиси,1 гр,0.04,10038,896,26906,,365,,,,,,,,,,Cocaine Fishscale! Limited Quantity 1g. aktsija -20% pri oplate btk!!!
9,15-04-2020 15:50:59,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,14,нет,Тбилиси,1 гр,0.0027,541,48,1452,,,,True,18,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
10,15-04-2020 15:50:59,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.111,24750,2208,66343,,900,,,,,,,,,,Metadon 1gr
11,15-04-2020 15:50:59,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,3,нет,Тбилиси,1 гр,0.0025,550,49,1474,,20,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
12,15-04-2020 15:50:59,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,4,нет,Тбилиси,2 гр,0.0123,2750,245,7371,,100,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
13,15-04-2020 15:50:59,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,2 гр,0.0108,2173,194,5823,,79,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
14,15-04-2020 15:50:59,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.0096,1925,172,5160,,70,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
15,15-04-2020 15:50:59,Tbilisi,BB6E,WEEDSH0P,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,1,нет,Тбилиси,2 гр,0.0129,2613,233,7003,,95,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
16,15-04-2020 15:50:59,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,2 гр,0.0043,963,86,2580,,35,,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
17,15-04-2020 15:50:59,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,9,нет,Тбилиси,2 гр,0.0115,2338,209,6266,True,85,True,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
18,15-04-2020 15:50:59,Tbilisi,LYHBG,Playboy,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,3 гр,0.0136,2723,243,7298,,99,,,,,,,,,,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug
19,15-04-2020 15:50:59,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds. Indica,,3,нет,Тбилиси,3 гр,0.0167,3355,299,8993,,122,,True,,,,,,,,3g superskunk top class buds. Indica
20,15-04-2020 15:50:59,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.0144,2888,258,7740,,105,,,,,,,,,,3x Extasy Duracell 223mg MDMA
21,15-04-2020 15:50:59,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 3g TOP VHQ,True,4,нет,Тбилиси,3 гр,0.0136,2750,245,7371,,100,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
22,15-04-2020 15:50:59,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки!!!,True,6,нет,Тбилиси,4 гр,0.0089,1803,161,4840,,,,,60,True,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki!!!
23,15-04-2020 15:50:59,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0417,8800,785,23589,,320,,,,,,,,,,"5 Grm MDMA , Purity A +++"
24,15-04-2020 15:50:59,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0403,8250,736,22114,,300,,,,,,,,,,5 Grm Mdma Pure Quality A +++
25,15-04-2020 15:50:59,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (hight quality),True,1,нет,Тбилиси,5 гр,0.0182,3685,329,9878,,134,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
26,15-04-2020 15:50:59,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.024,4813,429,12900,,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
27,15-04-2020 15:50:59,Tbilisi,LYHBG,Playboy,NEW !!! 5G OG KusH !!! NEW,True,2,нет,Тбилиси,5 гр,0.0271,5445,486,14595,,198,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
28,15-04-2020 15:50:59,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,5 гр,0.0068,1513,135,4054,,55,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
29,15-04-2020 15:50:59,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0541,10973,979,29412,,399,,,,,True,,,,,"10g. Shishki Amnesia Haze, Sativa"
30,15-04-2020 15:50:59,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0495,10038,896,26906,,365,True,,,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
31,15-04-2020 15:50:59,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,10 гр,0.0105,2338,209,6266,,85,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
32,15-04-2020 15:50:59,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0521,11000,981,29486,,400,,,,,,,,,,gashish evro 10g
33,15-04-2020 15:50:59,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1011,21368,1906,57276,,777,,,,,,,,,,Gashish Evro 20gr
34,15-04-2020 15:50:59,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2466,55000,4907,147429,,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
35,15-04-2020 15:51:40,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1015,21368,1906,57276,,777,,,,,,,,,,Gashish Evro 20gr
36,15-04-2020 15:51:40,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2475,55000,4907,147429,,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
