,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,€,Nadzaladevi,Old Tbilisi (Старый город),Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,15-04-2020 20:35:16,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0183,9951,3713,331,135.0,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
1,1,15-04-2020 20:35:16,Tbilisi,2f51af8159,NEW NEW NEW !!! SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G ВЕС +15%,,1,нет,Тбилиси,0.5 гр,0.0038,2064,770,69,28.0,True,,,,,,,,,,,NEW NEW NEW !!! SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G VES +15%
2,2,15-04-2020 20:35:16,Tbilisi,1c14effaaa,Silver Haze | 90% sativa 10% indica | 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0037,2211,825,74,30.0,,,,,,,,,,,,Silver Haze | 90% sativa 10% indica | 0.5g
3,3,15-04-2020 20:35:16,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,11,нет,Тбилиси,1 гр,0.0068,4054,1513,135,55.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
4,4,15-04-2020 20:35:16,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,3,нет,Тбилиси,1 гр,0.0053,2875,1073,96,39.0,,True,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
5,5,15-04-2020 20:35:16,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,1 гр,0.0077,4202,1568,140,57.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
6,6,15-04-2020 20:35:16,Tbilisi,cb721d4bca,1 гр листя плус галовки марихуана,,1,нет,Тбилиси,1 гр,0.0027,1474,550,49,20.0,True,,,,,,,,,,,1 gr listja plus galovki marihuana
7,7,15-04-2020 20:35:16,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0318,17323,6463,577,235.0,,,,,,,,,,,,Cocaine Pure VHQ 1g
8,8,15-04-2020 20:35:16,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,12,нет,Тбилиси,1 гр,0.0027,1452,539,48,,,,True,18.0,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
9,9,15-04-2020 20:35:16,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1109,66343,24750,2208,900.0,,,,,,,,,,,,Metadon 1gr
