,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Saburtalo,$,Vazisubani,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,15-05-2020 01:31:43,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,30,нет,Тбилиси,0.3 гр,0.0097,3221,233,7000,,,,,,,,,,,0.3 a-pvp white
1,1,15-05-2020 01:31:43,Tbilisi,9610a68a0a,suboxsone 0.4 g,,1,нет,Тбилиси,0.4 гр,0.0037,1076,98,2957,True,40.0,,,,,,,,,suboxsone 0.4 g
2,2,15-05-2020 01:31:43,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,7,нет,Тбилиси,0.5 гр,0.0138,3632,330,9981,,135.0,,,,,,,,,Cocaine Pure VHQ 0.5g
3,3,15-05-2020 01:31:43,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,9,нет,Тбилиси,1 гр,0.0308,8043,731,22105,,299.0,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
4,4,15-05-2020 01:31:43,Tbilisi,bb1791277e,1gr Stardawg Auto WEED BUDS,True,1,нет,Тбилиси,1 гр,0.0038,995,91,2735,,37.0,,,,,,,,,1gr Stardawg Auto WEED BUDS
5,5,15-05-2020 01:31:43,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0835,24210,2202,66537,,900.0,,,,,,,,,Metadon 1gr
6,6,15-05-2020 01:31:43,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,2,нет,Тбилиси,1 гр,0.0246,6429,585,17669,True,239.0,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
7,7,15-05-2020 01:31:43,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,2,нет,Тбилиси,1 гр,0.0112,2932,267,8058,True,109.0,,,,,,,,,✨ 1g. MDMA ✨
8,8,15-05-2020 01:31:43,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,10,нет,Тбилиси,2 гр,0.0102,2690,245,7393,,100.0,,,,,,,,,2 G Hybrid Marijuana Buds
9,9,15-05-2020 01:31:43,Tbilisi,bb1791277e,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,True,5,нет,Тбилиси,2 гр,0.0068,1802,164,4953,,67.0,,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
10,10,15-05-2020 01:31:43,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,True,7,нет,Тбилиси,2 гр,0.0081,2125,193,5840,,79.0,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
11,11,15-05-2020 01:31:43,Tbilisi,69672fee0d,2 гр INDICA марихуана шишки тгк 21% VHQ!!,True,3,нет,Тбилиси,2 гр,0.006999999999999999,1856,169,5101,,69.0,,,,,,,,,2 gr INDICA marihuana shishki tgk 21% VHQ!!
12,12,15-05-2020 01:31:43,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,2 гр,0.0092,2394,218,6580,,89.0,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
13,13,15-05-2020 01:31:43,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,3,1,Тбилиси,2 гр,0.0072,1883,171,5175,,70.0,,,,,,,,,2x Extasy Duracell 223mg MDMA.
14,14,15-05-2020 01:31:43,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.0091,2394,218,6580,True,89.0,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
15,15,15-05-2020 01:31:43,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0087,2287,208,6284,True,85.0,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
16,16,15-05-2020 01:31:43,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,5,нет,Тбилиси,3 гр,0.0133,3497,318,9611,,130.0,,,,,,,,,3 G Hybrid Marijuana Big Buds
17,17,15-05-2020 01:31:43,Tbilisi,366326d4d6,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,5,нет,Тбилиси,3 гр,0.0123,3201,291,8798,,119.0,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
18,18,15-05-2020 01:31:43,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,6,нет,Тбилиси,3 гр,0.0108,2825,257,7763,,105.0,,,,,,,,,3x Extasy Duracell 223mg MDMA
19,19,15-05-2020 01:31:43,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,1,нет,Тбилиси,3 гр,0.0123,3201,291,8798,True,119.0,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
20,20,15-05-2020 01:31:43,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,3,нет,Тбилиси,5 гр,0.0313,8608,783,23658,,320.0,,,,,,,,,"5 Grm MDMA , Purity A +++"
21,21,15-05-2020 01:31:43,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0303,8070,734,22179,,300.0,,,,,,,,,5 Grm Mdma Pure Quality A +++
22,22,15-05-2020 01:31:43,Tbilisi,bb1791277e,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,1,нет,Тбилиси,5 гр,0.006,1587,144,4362,,59.0,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
23,23,15-05-2020 01:31:43,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,5 гр,0.0121,3201,291,8798,True,119.0,True,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
24,24,15-05-2020 01:31:43,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.018000000000000002,4708,428,12938,,175.0,,,,,,,,,5x Extasy Duracell 223mg MDMA.
25,25,15-05-2020 01:31:43,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1138,30935,2813,85019,,1150.0,,,,,,,,,VHQ BEST Cocaine 5g.
26,26,15-05-2020 01:31:43,Tbilisi,7cab566931,GEORGIAN MARIJUANA - 7 GRAM,True,2,нет,Тбилиси,7 гр,0.0084,2421,220,6654,,90.0,,,,,,,,,GEORGIAN MARIJUANA - 7 GRAM
