,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Old Tbilisi (Старый город),$,Saburtalo,Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,15-05-2020 23:35:10,Tbilisi,H9FHF,OldStar,0.3 a-pvp white,True,39,нет,Тбилиси,0.3 гр,0.0098,3221,232,7000,,,,,,,,,,0.3 a-pvp white
1,15-05-2020 23:35:10,Tbilisi,OX85,amnesia420,">>new<< 0,5G HINDU KUSH (Indica)",,1,нет,Тбилиси,0.5 гр,0.0031,806,74,2196,True,30,,,,,,,,">>new<< 0,5G HINDU KUSH (Indica)"
2,15-05-2020 23:35:10,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,8,нет,Тбилиси,1 гр,0.0311,8028,733,21888,,299,,,,,,,,1G --... BoLiVian Coke ...-- 1G
3,15-05-2020 23:35:10,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0242,6310,576,17203,,235,,,,,,,,Cocaine Pure VHQ 1g
4,15-05-2020 23:35:10,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0244,6444,588,17569,,240,,,,,,,,VHQ BEST Cocaine 1g.
5,15-05-2020 23:35:10,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0842,24165,2206,65885,,900,,,,,,,,Metadon 1gr
6,15-05-2020 23:35:10,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0248,6417,586,17496,,239,True,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
7,15-05-2020 23:35:10,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,True,6,нет,Тбилиси,2 гр,0.0092,2390,218,6515,,89,,,,,,,,2 ECSTASY << PACO RABANNE >>
8,15-05-2020 23:35:10,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,13,нет,Тбилиси,2 гр,0.0103,2685,245,7321,,100,,,,,,,,2 G Hybrid Marijuana Buds
9,15-05-2020 23:35:10,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,True,1,нет,Тбилиси,2 гр,0.0081,2121,194,5783,,79,,,,,,,,2 gr Shishki “OG KUSH VHQ”
10,15-05-2020 23:35:10,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,2 гр,0.0092,2390,218,6515,,89,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
11,15-05-2020 23:35:10,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.0092,2390,218,6515,,89,,True,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
12,15-05-2020 23:35:10,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,6,нет,Тбилиси,3 гр,0.0124,3195,292,8711,,119,,,,,,,,3 ECSTASY << PACO RABANNE >>
13,15-05-2020 23:35:10,Tbilisi,18FB,Mr.Green Tbilis,3 G Hybrid Marijuana Big Buds,True,4,нет,Тбилиси,3 гр,0.0134,3491,319,9517,,130,,,,,,,,3 G Hybrid Marijuana Big Buds
14,15-05-2020 23:35:10,Tbilisi,LYHBG,Playboy,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,5,нет,Тбилиси,3 гр,0.0124,3195,292,8711,,119,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
15,15-05-2020 23:35:10,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0109,2819,257,7687,,105,,,,,,,,3x Extasy Duracell 223mg MDMA
16,15-05-2020 23:35:10,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,1,нет,Тбилиси,3 гр,0.0124,3195,292,8711,,119,True,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
17,15-05-2020 23:35:10,Tbilisi,9VLN,AlienShop,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,,3,нет,Тбилиси,3 гр,0.0119,3088,282,8419,,115,,True,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
18,15-05-2020 23:35:10,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,3,нет,Тбилиси,5 гр,0.0316,8592,784,23426,,320,,,,,,,,"5 Grm MDMA , Purity A +++"
19,15-05-2020 23:35:10,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0305,8055,735,21962,,300,,,,,,,,5 Grm Mdma Pure Quality A +++
20,15-05-2020 23:35:10,Tbilisi,BB6E,WEEDSH0P,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,1,нет,Тбилиси,5 гр,0.0061,1584,145,4319,,59,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
21,15-05-2020 23:35:10,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0182,4699,429,12811,,175,,,,,,,,5x Extasy Duracell 223mg MDMA.
22,15-05-2020 23:35:10,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1147,30878,2819,84186,,1150,,,,,,,,VHQ BEST Cocaine 5g.
23,15-05-2020 23:35:10,Tbilisi,ETHA6,PABLITTO,GEORGIAN MARIJUANA - 7 GRAM,True,4,нет,Тбилиси,7 гр,0.0084,2417,221,6589,,90,,,,,,,,GEORGIAN MARIJUANA - 7 GRAM
24,15-05-2020 23:35:10,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,8,нет,Тбилиси,10 гр,0.0205,5343,488,14568,,199,True,True,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
25,15-05-2020 23:35:10,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0395,10740,980,29282,,400,,,,,,,,gashish evro 10g
26,15-05-2020 23:35:10,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0767,20862,1905,56881,,777,,,,,,,,Gashish Evro 20gr
27,15-05-2020 23:35:10,Tbilisi,ETHA6,PABLITTO,GEORGIAN MARIJUANA 44-GRAMM,True,1,нет,Тбилиси,44 гр,0.0468,13425,1226,36603,,500,,,,,,,,GEORGIAN MARIJUANA 44-GRAMM
28,15-05-2020 23:35:10,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.187,53700,4902,146411,,2000,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
