,time_stamp,region,sell_code,sell_name,description,Тбилиси,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Дигоми,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
0,15-06-2020 19:30:21,Tbilisi,LBSO,4RAW4,Heroin “sirec” 0.25g 4 person,True,True,8,нет,Тбилиси,0.25 гр,0.012,8447,3235,285,120,,,,,,,,,,Heroin “sirec” 0.25g 4 person
1,15-06-2020 19:30:21,Tbilisi,C36EL,TripGuru,NEW Iranian Sirec 0.25g.,True,,3,нет,Тбилиси,0.25 гр,0.0126,8447,3235,285,120,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,15-06-2020 19:30:21,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,,True,1,нет,Тбилиси,0.5 гр,0.003,2041,782,69,29,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
3,15-06-2020 19:30:21,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,,2,нет,Тбилиси,0.5 гр,0.0137,9151,3505,309,130,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
4,15-06-2020 19:30:21,Tbilisi,JVZTQ,partyshop,1 г шишки марихуана индика тгк 21% VHQ,,,17,нет,Тбилиси,1 гр,0.0042,2816,1078,95,40,,True,,,,,,,,1 g shishki marihuana indika tgk 21% VHQ
5,15-06-2020 19:30:21,Tbilisi,A3I9,Joookerrr,Геройн (сирец) 1 гр,,,1,нет,Тбилиси,1 гр,0.0329,22174,8492,749,315,,,True,,,,,,,Gerojn (sirets) 1 gr
6,15-06-2020 19:30:21,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,,3,нет,Тбилиси,2 гр,0.0089,5984,2292,202,85,,,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
7,15-06-2020 19:30:21,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,True,1,нет,Тбилиси,4 гр,0.0146,9855,3774,333,140,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
8,15-06-2020 19:30:21,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,,2,нет,Тбилиси,5 гр,0.0185,12319,4718,416,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
9,15-06-2020 19:30:21,Tbilisi,2LY77,SveetWeed,10 - GRAMM BEASTWEED,True,,2,нет,Тбилиси,10 гр,0.019,14079,5392,476,200,,,,,,,,,,10 - GRAMM BEASTWEED
