,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Nadzaladevi,Old Tbilisi (Старый город),€,Дигоми,Didube,Vake,Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
0,15-07-2020 07:01:13,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,2,нет,Тбилиси,0.5 гр,0.0035,2347,899,80,33,,,,,,,,,,,,,0.5 gr HYBRID buds
1,15-07-2020 07:01:13,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,,2,нет,Тбилиси,0.5 гр,0.0035,2347,899,80,33,True,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
2,15-07-2020 07:01:13,Tbilisi,X4ZM,ZYX,NEW ! Silver Haze NEW ! VHQ BUDS 0.5G,,3,нет,Тбилиси,0.5 гр,0.0037,2489,954,85,35,True,,,,,,,,,,,,NEW ! Silver Haze NEW ! VHQ BUDS 0.5G
3,15-07-2020 07:01:13,Tbilisi,LGRP8,Walker12,Новости ! Наш магазин предлагает новые продукты !! Original Gangster !! 0.5 !!,,3,нет,Тбилиси,0.5 гр,0.0031,2134,818,73,30,,True,,,,,,,,,,,Novosti ! Nash magazin predlagaet novye produkty !! Original Gangster !! 0.5 !!
4,15-07-2020 07:01:13,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,3,нет,Тбилиси,1 гр,0.0063,4268,1635,145,60,True,,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
5,15-07-2020 07:01:13,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,,1,нет,Тбилиси,1 гр,0.0062,4197,1608,143,59,True,,,,,,,,,,,,1 G Hybrid Marijuana Buds
6,15-07-2020 07:01:13,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,5,нет,Тбилиси,1 гр,0.0063,4268,1635,145,60,,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,15-07-2020 07:01:13,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,6,нет,Тбилиси,1 гр,0.0063,4268,1635,145,60,,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
8,15-07-2020 07:01:13,Tbilisi,BB6E,WEEDSH0P,1 gr super lemon haze пробник,True,3,нет,Тбилиси,1 гр,0.0062,4197,1608,143,59,,,,,,,,,,,,,1 gr super lemon haze probnik
9,15-07-2020 07:01:13,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,True,7,нет,Тбилиси,1 гр,0.0062,4197,1608,143,59,,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
10,15-07-2020 07:01:13,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,4,нет,Тбилиси,1 гр,0.0063,4268,1635,145,60,,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
11,15-07-2020 07:01:13,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,7,нет,Тбилиси,1 гр,0.0062,4197,1608,143,59,,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
12,15-07-2020 07:01:13,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),True,11,нет,Тбилиси,1 гр,0.0052,3556,1363,121,50,,,,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
13,15-07-2020 07:01:13,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,10,нет,Тбилиси,1 гр,0.0051,3485,1335,119,49,,,,,,,,,,,,,1gr HYBRID o.g
14,15-07-2020 07:01:13,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,2,нет,Тбилиси,1 гр,0.0063,4268,1635,145,60,,,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
15,15-07-2020 07:01:13,Tbilisi,QVK5,Galiak,Gorilla Glue 1G Super strong weed LIMITED,,1,нет,Тбилиси,1 гр,0.0063,4268,1635,145,60,,,True,,,,,,,,,,Gorilla Glue 1G Super strong weed LIMITED
16,15-07-2020 07:01:13,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! BUDS ! 1G,True,1,нет,Тбилиси,1 гр,0.0058,3912,1499,133,55,,,,,,,,,,,,,NEW ! Super Critical ! NEW ! BUDS ! 1G
17,15-07-2020 07:01:13,Tbilisi,GYO,Hakeem,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,True,1,нет,Тбилиси,1 гр,0.0052,3912,1499,133,55,,,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
18,15-07-2020 07:01:13,Tbilisi,I7IU,MrPickless,АКЦИЯ! 1g hindu kish best buds BTC 5% sale,True,3,нет,Тбилиси,1 гр,0.005,3556,1363,121,50,,,,,,,,,,,,,AKTsIJa! 1g hindu kish best buds BTC 5% sale
19,15-07-2020 07:01:13,Tbilisi,QVK5,Galiak,уро / Hammer 1G 100% Center Buds! центровки !! LIMITED,,1,нет,Тбилиси,1 гр,0.0073,4979,1908,169,70,,,True,,,,,,,,,,uro / Hammer 1G 100% Center Buds! tsentrovki !! LIMITED
20,15-07-2020 07:01:13,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,True,3,нет,Тбилиси,1 гр,0.0072,4837,1858,165,,,,,60,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
21,15-07-2020 07:01:13,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,,5,нет,Тбилиси,2 гр,0.0104,7042,2698,240,99,True,,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
22,15-07-2020 07:01:13,Tbilisi,BB6E,WEEDSH0P,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",True,2,нет,Тбилиси,2 гр,0.0115,7824,2998,266,110,,,,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
23,15-07-2020 07:01:13,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,8,нет,Тбилиси,2 гр,0.0126,8535,3270,290,120,,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
24,15-07-2020 07:01:13,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,2,нет,Тбилиси,2 гр,0.0126,8535,3270,290,120,,,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
25,15-07-2020 07:01:13,Tbilisi,SF03,CRAZYFROG,2 gr top buds white widow wишки THC 25% VHQ,True,3,нет,Тбилиси,2 гр,0.0115,7824,2998,266,110,,,,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
26,15-07-2020 07:01:13,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,2 гр,0.0126,8535,3270,290,120,,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
27,15-07-2020 07:01:13,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,2 гр,0.0105,7113,2725,242,100,,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
