,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Saburtalo,$,Тбилиси,Old Tbilisi (Старый город),Didube,Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
0,15-07-2020 20:50:29,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.30g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,4,нет,Тбилиси,0.3 гр,0.0116,8003,3085,272,99,,,,,,,,,,,,!!! Iranian Sirec 0.30g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,15-07-2020 20:50:29,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,1 гр,0.0063,4248,1641,145,,True,60,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
2,15-07-2020 20:50:29,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,4,нет,Тбилиси,1 гр,0.0063,4248,1641,145,,,60,True,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
3,15-07-2020 20:50:29,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,6,нет,Тбилиси,1 гр,0.0063,4248,1641,145,,,60,True,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
4,15-07-2020 20:50:29,Tbilisi,BB6E,WEEDSH0P,1 gr super lemon haze пробник,,2,нет,Тбилиси,1 гр,0.0062,4177,1614,143,,,59,True,,,,,,,,,1 gr super lemon haze probnik
5,15-07-2020 20:50:29,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,,7,нет,Тбилиси,1 гр,0.0062,4177,1614,143,,,59,True,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
6,15-07-2020 20:50:29,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,1 гр,0.0063,4248,1641,145,,,60,True,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
7,15-07-2020 20:50:29,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,6,нет,Тбилиси,1 гр,0.0062,4177,1614,143,,,59,True,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
8,15-07-2020 20:50:29,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),,10,нет,Тбилиси,1 гр,0.0052,3540,1368,121,,,50,True,,,,,,,,,1G ---> Big Devil (BTC - Sale)
9,15-07-2020 20:50:29,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,,5,нет,Тбилиси,1 гр,0.0411,27541,10639,941,,,389,True,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
