,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Varketili,Дигоми,Saburtalo,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Батуми,€,Центр,desc_en
0,0,15-08-2020 09:50:11,Tbilisi,f374062dcd,Очень мощный Сирец из Ирана 0.3гр,True,9,нет,Тбилиси,0.3 гр,0.0065,5857,2208,197,80.0,,,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
1,1,15-08-2020 09:50:11,Tbilisi,8ddca45a78,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)",True,2,нет,Тбилиси,0.5 гр,0.0024,2123,800,71,29.0,,,,,,,,,,,,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)"
2,2,15-08-2020 09:50:11,Tbilisi,8ddca45a78,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)",True,3,нет,Тбилиси,0.5 гр,0.0024,2123,800,71,29.0,,,,,,,,,,,,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)"
3,3,15-08-2020 09:50:11,Tbilisi,64284550d9,0.5-G ---> Hybrid BEST (BTC - Sale),True,2,нет,Тбилиси,0.5 гр,0.0019,1684,635,57,23.0,,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
4,4,15-08-2020 09:50:11,Tbilisi,67187efef3,0.5g hindu kish best buds BTC 1% SALE,True,1,нет,Тбилиси,0.5 гр,0.0021,1830,690,61,25.0,,,,,,,,,,,,0.5g hindu kish best buds BTC 1% SALE
5,5,15-08-2020 09:50:11,Tbilisi,0dec0e1c48,0.5g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,1,нет,Тбилиси,0.5 гр,0.0024,2050,773,69,28.0,,,,,,,,,,,,0.5g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
6,6,15-08-2020 09:50:11,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,5,нет,Тбилиси,0.5 гр,0.0021,1830,690,61,25.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
7,7,15-08-2020 09:50:11,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,4,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds
8,8,15-08-2020 09:50:11,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,10,нет,Тбилиси,1 гр,0.0046,3954,1490,133,54.0,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
9,9,15-08-2020 09:50:11,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,8,нет,Тбилиси,1 гр,0.0051,4393,1656,147,60.0,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
10,10,15-08-2020 09:50:11,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,5,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55.0,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
11,11,15-08-2020 09:50:11,Tbilisi,bb1791277e,1 gr super lemon haze пробник,True,2,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55.0,,,,,,,,,,,,1 gr super lemon haze probnik
12,12,15-08-2020 09:50:11,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,1 гр,0.0045,3880,1463,130,53.0,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
13,13,15-08-2020 09:50:11,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
14,14,15-08-2020 09:50:11,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,4,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55.0,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
15,15,15-08-2020 09:50:11,Tbilisi,4659482266,1 г.Super Skunk top class buds! (подезд),,2,нет,Тбилиси,1 гр,0.0047,4027,1518,135,55.0,True,True,,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
16,16,15-08-2020 09:50:11,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,,4,нет,Тбилиси,1 гр,0.0049,4247,1601,142,58.0,,,True,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
17,17,15-08-2020 09:50:11,Tbilisi,7918572a66,1G TYson Budds Скидка 5%,True,13,нет,Тбилиси,1 гр,0.0032,2929,1104,98,40.0,,,,True,,,,,,,,1G TYson Budds Skidka 5%
18,18,15-08-2020 09:50:11,Tbilisi,0dec0e1c48,1g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,1,нет,Тбилиси,1 гр,0.0041,3514,1325,118,48.0,,,,,,,,,,,,1g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
19,19,15-08-2020 09:50:11,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,13,нет,Тбилиси,1 гр,0.0041,3588,1352,120,49.0,,,,,,,,,,,,1gr HYBRID o.g
20,20,15-08-2020 09:50:11,Tbilisi,bb1791277e,1gr Stardawg Auto WEED BUDS,True,3,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55.0,,,,,,,,,,,,1gr Stardawg Auto WEED BUDS
21,21,15-08-2020 09:50:11,Tbilisi,e56bb6ca93,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,8,нет,Тбилиси,1 гр,0.0048,4173,1573,140,57.0,,,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
22,22,15-08-2020 09:50:11,Tbilisi,f25c0d6c5c,Auto Amnesia Haze 1 gr,True,10,нет,Тбилиси,1 гр,0.0034,3000,1380,101,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
23,23,15-08-2020 09:50:11,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0046,3954,1490,133,54.0,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
24,24,15-08-2020 09:50:11,Tbilisi,ae784bef73,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,2,нет,Тбилиси,1 гр,0.0049,4247,1601,142,58.0,,,,,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
25,25,15-08-2020 09:50:11,Tbilisi,ae784bef73,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55.0,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
26,26,15-08-2020 09:50:11,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0042,3661,1380,123,50.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
27,27,15-08-2020 09:50:11,Tbilisi,366326d4d6,!!!NEW!!! 2G Jack Herer !!!NEW!!!,True,1,нет,Тбилиси,2 гр,0.0084,7248,2732,243,99.0,,,,,,,,,,,,!!!NEW!!! 2G Jack Herer !!!NEW!!!
28,28,15-08-2020 09:50:11,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,6,нет,Тбилиси,2 гр,0.0083,7248,2732,243,99.0,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
29,29,15-08-2020 09:50:11,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,3,нет,Тбилиси,2 гр,0.0089,7761,2926,260,106.0,,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
30,30,15-08-2020 09:50:11,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0083,7248,2732,243,99.0,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
31,31,15-08-2020 09:50:11,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,4,нет,Тбилиси,2 гр,0.0084,7322,2760,246,100.0,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
32,32,15-08-2020 09:50:11,Tbilisi,64284550d9,2G ---> Big Devil (BTC - Sale),True,3,нет,Тбилиси,2 гр,0.0067,5784,2180,194,79.0,,,,,,,,,,,,2G ---> Big Devil (BTC - Sale)
33,33,15-08-2020 09:50:11,Tbilisi,7918572a66,2G TYson Budds Скидка 5%,True,9,нет,Тбилиси,2 гр,0.006,5711,2153,192,78.0,,,,True,,,,,,,,2G TYson Budds Skidka 5%
