,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,16-03-2020 13:14:18,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,9,нет,Тбилиси,0.25 гр,0.0302,13906,5136,445,190.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
1,1,16-03-2020 13:14:18,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.30 G,True,7,3,Тбилиси,0.3 гр,0.053,21956,8109,702,300.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
2,2,16-03-2020 13:14:18,Tbilisi,8ddca45a78,"0,5g AFGHANI Indica THC 18% / BTC -5% sale",True,2,нет,Тбилиси,0.5 гр,0.0042,1830,676,59,25.0,,,,,,,,,,,"0,5g AFGHANI Indica THC 18% / BTC -5% sale"
3,3,16-03-2020 13:14:18,Tbilisi,8ddca45a78,"0,5g AMNESIA HAZE Sativa THC 20% / BTC -5% sale",True,4,нет,Тбилиси,0.5 гр,0.0042,1830,676,59,25.0,,,,,,,,,,,"0,5g AMNESIA HAZE Sativa THC 20% / BTC -5% sale"
4,4,16-03-2020 13:14:18,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,9,нет,Тбилиси,0.5 гр,0.0193,7978,2946,255,109.0,,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
5,5,16-03-2020 13:14:18,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0166,7246,2676,232,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
6,6,16-03-2020 13:14:18,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни!,,5,нет,Тбилиси,0.5 гр,0.0096,4025,1487,129,55.0,True,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
7,7,16-03-2020 13:14:18,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0183,7978,2946,255,109.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
8,8,16-03-2020 13:14:18,Tbilisi,99accec7c7,mephedrone 0.5 лучший меф! лечит даже корона вирус!))),,22,нет,Тбилиси,0.5 гр,0.0175,7319,2703,234,100.0,True,,,,,,,,,,mephedrone 0.5 luchshij mef! lechit dazhe korona virus!)))
9,9,16-03-2020 13:14:18,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,2,нет,Тбилиси,0.5 гр,0.0044,1830,676,59,25.0,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
10,10,16-03-2020 13:14:18,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,10,нет,Тбилиси,1 гр,0.0079,3659,1352,117,50.0,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
11,11,16-03-2020 13:14:18,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,1 гр,0.0087,3659,1352,117,50.0,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
12,12,16-03-2020 13:14:18,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,1,нет,Тбилиси,1 гр,0.0149,6221,2298,199,85.0,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
13,13,16-03-2020 13:14:18,Tbilisi,64284550d9,1G ---> ONLY BUDS,True,10,нет,Тбилиси,1 гр,0.0067,2854,1054,91,39.0,,,,,,,,,,,1G ---> ONLY BUDS
14,14,16-03-2020 13:14:18,Tbilisi,8ddca45a78,1g NORTHERN LIGHTS Indica THC 20% / BTC -5% sale,True,4,нет,Тбилиси,1 гр,0.0067,2928,1081,94,40.0,,,,,,,,,,,1g NORTHERN LIGHTS Indica THC 20% / BTC -5% sale
15,15,16-03-2020 13:14:18,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,2,нет,Тбилиси,1 гр,0.035,14491,5352,463,198.0,,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
16,16,16-03-2020 13:14:18,Tbilisi,7c395c455d,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,7,нет,Тбилиси,1 гр,0.013999999999999999,5855,2162,187,80.0,,,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
17,17,16-03-2020 13:14:18,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,6,нет,Тбилиси,1 гр,0.008,3367,1243,108,46.0,,,,,,,,,,,Amsterdam weed sativa 1gr
18,18,16-03-2020 13:14:18,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,6,нет,Тбилиси,1 гр,0.03,13101,4838,419,179.0,,,,,,,,,,,Cocaine Pure VHQ 1g
19,19,16-03-2020 13:14:18,Tbilisi,99accec7c7,MDMA 1gr лучший товар на площадке!,,4,нет,Тбилиси,1 гр,0.0192,8051,2973,257,110.0,True,,,,,,,,,,MDMA 1gr luchshij tovar na ploschadke!
20,20,16-03-2020 13:14:18,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,4,нет,Тбилиси,1 гр,0.0874,40254,14867,1287,550.0,,,,,,,,,,,Metadon VHQ 1 24/7
