,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Saburtalo,Gldani,€,Nadzaladevi,Old Tbilisi (Старый город),Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,16-04-2020 01:02:59,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0184,9951,3713,331,135.0,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
1,1,16-04-2020 01:02:59,Tbilisi,f8a875c191,METADON - 0.5 G.,True,6,нет,Тбилиси,0.5 гр,0.0481,25800,9625,859,350.0,,,,,,,,,,,,METADON - 0.5 G.
2,2,16-04-2020 01:02:59,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0188,10320,3850,343,140.0,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
3,3,16-04-2020 01:02:59,Tbilisi,1c14effaaa,Silver Haze | 90% sativa 10% indica | 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0037,2211,825,74,30.0,,,,,,,,,,,,Silver Haze | 90% sativa 10% indica | 0.5g
4,4,16-04-2020 01:02:59,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,11,нет,Тбилиси,1 гр,0.0068,4054,1513,135,55.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
5,5,16-04-2020 01:02:59,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0053,2875,1073,96,39.0,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
6,6,16-04-2020 01:02:59,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,4,нет,Тбилиси,1 гр,0.0053,2875,1073,96,39.0,True,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
7,7,16-04-2020 01:02:59,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,1 гр,0.0077,4202,1568,140,57.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
8,8,16-04-2020 01:02:59,Tbilisi,cb721d4bca,1 гр листя плус галовки марихуана,,2,нет,Тбилиси,1 гр,0.0027,1474,550,49,20.0,,True,,,,,,,,,,1 gr listja plus galovki marihuana
9,9,16-04-2020 01:02:59,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.0323,17691,6600,589,240.0,,,,,,,,,,,,VHQ BEST Cocaine 1g.
10,10,16-04-2020 01:02:59,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,12,нет,Тбилиси,1 гр,0.0027,1452,539,48,,,,True,18.0,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
11,11,16-04-2020 01:02:59,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1112,66343,24750,2208,900.0,,,,,,,,,,,,Metadon 1gr
12,12,16-04-2020 01:02:59,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,3,нет,Тбилиси,1 гр,0.0025,1474,550,49,20.0,,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
13,13,16-04-2020 01:02:59,Tbilisi,83f3d55917,19% ТГК Шишки Northern Lights 1.1г Скидка 1 через БИТКОИН !!!,True,6,нет,Тбилиси,1.1 гр,0.0046,2506,935,83,34.0,,,,,True,,,,,,,19% TGK Shishki Northern Lights 1.1g Skidka 1 cherez BITKOIN !!!
14,14,16-04-2020 01:02:59,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,3,нет,Тбилиси,2 гр,0.0124,7371,2750,245,100.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
15,15,16-04-2020 01:02:59,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,2 гр,0.0108,5823,2173,194,79.0,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
16,16,16-04-2020 01:02:59,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,2 гр,0.0096,5160,1925,172,70.0,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
17,17,16-04-2020 01:02:59,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,1,нет,Тбилиси,2 гр,0.0129,7003,2613,233,95.0,,,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
18,18,16-04-2020 01:02:59,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,2 гр,0.0043,2580,963,86,35.0,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
19,19,16-04-2020 01:02:59,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,9,нет,Тбилиси,2 гр,0.0116,6266,2338,209,85.0,True,True,,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
20,20,16-04-2020 01:02:59,Tbilisi,366326d4d6,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,3 гр,0.0136,7298,2723,243,99.0,,,,,,,,,,,,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug
21,21,16-04-2020 01:02:59,Tbilisi,4659482266,3g superskunk top class buds. Indica,,3,нет,Тбилиси,3 гр,0.0167,8993,3355,299,122.0,,,True,,,,,,,,,3g superskunk top class buds. Indica
22,22,16-04-2020 01:02:59,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.0144,7740,2888,258,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
23,23,16-04-2020 01:02:59,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,True,2,нет,Тбилиси,3 гр,0.0136,7371,2750,245,100.0,,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
24,24,16-04-2020 01:02:59,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки!!!,True,6,нет,Тбилиси,4 гр,0.0089,4840,1797,161,,,,,60.0,,True,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki!!!
25,25,16-04-2020 01:02:59,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0273,14669,5473,488,199.0,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
26,26,16-04-2020 01:02:59,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0417,23589,8800,785,320.0,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
27,27,16-04-2020 01:02:59,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0404,22114,8250,736,300.0,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
28,28,16-04-2020 01:02:59,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (hight quality),True,6,нет,Тбилиси,5 гр,0.0182,9878,3685,329,134.0,,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
29,29,16-04-2020 01:02:59,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.024,12900,4813,429,175.0,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
30,30,16-04-2020 01:02:59,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,5 гр,0.0068,4054,1513,135,55.0,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
31,31,16-04-2020 01:02:59,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,True,5,нет,Тбилиси,10 гр,0.0284,15406,5748,513,209.0,,,,,,,,,,,,10 gr marijuana buds. -indica-
32,32,16-04-2020 01:02:59,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0542,29412,10973,979,399.0,,,,,,,True,,,,,"10g. Shishki Amnesia Haze, Sativa"
33,33,16-04-2020 01:03:00,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,10 гр,0.0105,6266,2338,209,85.0,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
