,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,16-05-2020 08:31:03,Tbilisi,H9FHF,OldStar,0.3 a-pvp white,True,35,нет,Тбилиси,0.3 гр,0.0099,3221,234,7000,,,,,,,,,,0.3 a-pvp white
1,16-05-2020 08:31:03,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,8,нет,Тбилиси,1 гр,0.0313,8028,731,21888,299,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
2,16-05-2020 08:31:03,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0848,24165,2202,65885,900,,,,,,,,,Metadon 1gr
3,16-05-2020 08:31:03,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.025,6417,585,17496,239,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
4,16-05-2020 08:31:03,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,True,6,нет,Тбилиси,2 гр,0.0093,2390,218,6515,89,,,,,,,,,2 ECSTASY << PACO RABANNE >>
5,16-05-2020 08:31:03,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,13,нет,Тбилиси,2 гр,0.0104,2685,245,7321,100,,,,,,,,,2 G Hybrid Marijuana Buds
6,16-05-2020 08:31:03,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,True,1,нет,Тбилиси,2 гр,0.0082,2121,193,5783,79,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
7,16-05-2020 08:31:03,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,2 гр,0.0093,2390,218,6515,89,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
8,16-05-2020 08:31:03,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.0092,2390,218,6515,89,,True,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
9,16-05-2020 08:31:03,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,6,нет,Тбилиси,3 гр,0.0125,3195,291,8711,119,,,,,,,,,3 ECSTASY << PACO RABANNE >>
