,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
0,0,16-06-2020 04:07:48,Tbilisi,014c8a1720,Heroin “sirec” 0.25g 4 person,True,True,9,нет,Тбилиси,0.25 гр,0.0119,8447,3235,286,120.0,,,,,,,,Heroin “sirec” 0.25g 4 person
1,1,16-06-2020 04:07:48,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,True,,3,нет,Тбилиси,0.25 гр,0.0124,8447,3235,286,120.0,,,,,,,,NEW Iranian Sirec 0.25g.
2,2,16-06-2020 04:07:48,Tbilisi,54915c4374,Геройн (сирец) 1 гр,,,1,нет,Тбилиси,1 гр,0.0325,22174,8492,752,315.0,True,,,,,,,Gerojn (sirets) 1 gr
3,3,16-06-2020 04:07:48,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,True,1,нет,Тбилиси,1 гр,0.0114,7673,2939,260,109.0,,,,,,,,✨ 1g. MDMA ✨
4,4,16-06-2020 04:07:48,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,,2,нет,Тбилиси,2 гр,0.0088,5984,2292,203,85.0,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
5,5,16-06-2020 04:07:48,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,True,,2,нет,Тбилиси,4 гр,0.0111,7532,2885,255,107.0,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
6,6,16-06-2020 04:07:48,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,,2,нет,Тбилиси,5 гр,0.0183,12319,4718,418,175.0,,,,,,,,5x Extasy Duracell 223mg MDMA.
7,7,16-06-2020 04:07:48,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 5gr marijuana buds -indica- (КЛАДИ НА МАГНИТАХ),True,,13,нет,Тбилиси,5 гр,0.0102,6969,2669,236,99.0,,,,,,,,AKTsIJa! SUPER TsENA! 5gr marijuana buds -indica- (KLADI NA MAGNITAH)
8,8,16-06-2020 04:07:48,Tbilisi,7bd1a5deba,10 - GRAMM BEASTWEED,True,,1,нет,Тбилиси,10 гр,0.0188,14079,5392,477,200.0,,,,,,,,10 - GRAMM BEASTWEED
9,9,16-06-2020 04:07:48,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,True,,6,нет,Тбилиси,10 гр,0.0014,986,377,33,14.0,,,,,,,,GABAGAMA 10 shtuk
10,10,16-06-2020 04:07:48,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),True,,3,нет,Тбилиси,10 гр,0.0206,14009,5365,475,199.0,,,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
11,11,16-06-2020 04:07:48,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,,1,нет,Тбилиси,10 гр,0.008,5984,2292,203,85.0,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
12,12,16-06-2020 04:07:48,Tbilisi,e56bb6ca93,"Отходы, листья и шишки. 🍃 Leafs and Buds (Good for making bubble hash)",True,,3,нет,Тбилиси,10 гр,0.0098,6617,2534,224,94.0,,,,,,,,"Othody, list'ja i shishki. 🍃 Leafs and Buds (Good for making bubble hash)"
13,13,16-06-2020 04:07:48,Tbilisi,83f3d55917,Химка !! 10 г %%5%% скидка новинка !!!!,,,2,нет,Тбилиси,10 гр,0.0064,4576,1752,155,65.0,,True,,,,,,Himka !! 10 g %%5%% skidka novinka !!!!
14,14,16-06-2020 04:07:48,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,,8,нет,Тбилиси,10 гр,0.0089,6688,2561,227,95.0,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
15,15,16-06-2020 04:07:48,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,,1,нет,Тбилиси,12 гр,0.047,35198,13480,1193,500.0,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
16,16,16-06-2020 04:07:48,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,,1,нет,Тбилиси,60 гр,0.2085,140790,53920,4773,2000.0,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
17,17,16-06-2020 04:07:48,Tbilisi,54915c4374,Сирец (геройн) очень сильный 1 гр (предзаказ на 10% дешевле!!!),True,,нет,20,Тбилиси,1 гр,0.0362,24638,9436,835,350.0,,,,,,,,Sirets (gerojn) ochen' sil'nyj 1 gr (predzakaz na 10% deshevle!!!)
18,18,16-06-2020 04:07:48,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,,нет,7,Тбилиси,2 гр,0.0385,25976,9948,881,369.0,,,,,,,,❄❄2g HQ COCAINE❄❄
19,19,16-06-2020 04:07:48,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,,нет,5,Тбилиси,3 гр,0.0604,40759,15610,1382,579.0,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
20,20,16-06-2020 04:07:48,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,,нет,7,Тбилиси,4 гр,0.0413,28158,10784,955,400.0,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
21,21,16-06-2020 04:07:48,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,,нет,5,Тбилиси,5 гр,0.0568,38717,14828,1313,550.0,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
22,22,16-06-2020 04:07:48,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,,нет,6,Тбилиси,5 гр,0.0243,16543,6336,561,235.0,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
23,23,16-06-2020 04:07:48,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,,нет,5,Тбилиси,5 гр,0.0248,16895,6470,573,240.0,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
24,24,16-06-2020 04:07:48,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,,нет,6,Тбилиси,5 гр,0.0238,16191,6201,549,230.0,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
25,25,16-06-2020 04:07:48,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,,нет,4,Тбилиси,5 гр,0.0248,16895,6470,573,240.0,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
26,26,16-06-2020 04:07:48,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,,нет,7,Тбилиси,5 гр,0.0248,16895,6470,573,240.0,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
27,27,16-06-2020 04:07:48,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,,нет,6,Тбилиси,5 гр,0.0238,16191,6201,549,230.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
28,28,16-06-2020 04:07:48,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,,нет,2,Тбилиси,5 гр,0.0206,15417,5904,523,219.0,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
29,29,16-06-2020 04:07:48,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,,нет,4,Тбилиси,5 гр,0.0243,16543,6336,561,235.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
30,30,16-06-2020 04:07:48,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,,нет,2,Тбилиси,5 гр,0.2534,190000,87429,6448,,,,,,,,,reagent 25i nbome. 5gr
31,31,16-06-2020 04:07:48,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,,нет,2,Тбилиси,5 гр,0.2817,211185,80880,7160,3000.0,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
32,32,16-06-2020 04:07:48,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,,нет,8,Тбилиси,5 гр,0.1,67509,25855,2289,959.0,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
33,33,16-06-2020 04:07:48,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,,нет,9,Тбилиси,5 гр,0.0198,13375,5122,453,190.0,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
34,34,16-06-2020 04:08:38,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,,нет,9,Тбилиси,5 гр,0.0198,13375,5122,453,190.0,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
35,35,16-06-2020 04:08:38,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,,нет,9,Тбилиси,5 гр,0.051,34423,13183,1167,489.0,,,,,,,,💘✨5g. MDMA ✨💘
36,36,16-06-2020 04:08:38,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,,нет,1,Тбилиси,10 гр,0.0929,63356,24264,2148,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
37,37,16-06-2020 04:08:38,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,,нет,10,Тбилиси,10 гр,0.0413,28158,10784,955,400.0,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
38,38,16-06-2020 04:08:38,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,,нет,2,Тбилиси,10 гр,0.0723,49277,18872,1671,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
39,39,16-06-2020 04:08:38,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,,нет,5,Тбилиси,10 гр,0.0434,29566,11323,1002,420.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
40,40,16-06-2020 04:08:38,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,,нет,3,Тбилиси,10 гр,0.0826,56316,21568,1909,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
41,41,16-06-2020 04:08:38,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,,нет,1,Тбилиси,10 гр,0.2298,156629,59986,5310,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
42,42,16-06-2020 04:08:38,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,,нет,9,Тбилиси,10 гр,0.1626,109746,42031,3721,1559.0,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
