,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Saburtalo,Дигоми,Didube,Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
0,16-07-2020 15:22:48,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,True,13,нет,Тбилиси,1 гр,0.0064,4274,1647,144,60,,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
1,16-07-2020 15:22:48,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,17,нет,Тбилиси,1 гр,0.0064,4274,1647,144,60,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
2,16-07-2020 15:22:48,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,3,нет,Тбилиси,1 гр,0.0064,4274,1647,144,60,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
3,16-07-2020 15:22:48,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,True,5,нет,Тбилиси,1 гр,0.0063,4203,1620,142,59,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
4,16-07-2020 15:22:48,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,1 гр,0.0064,4274,1647,144,60,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
5,16-07-2020 15:22:48,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,15,нет,Тбилиси,1 гр,0.0063,4203,1620,142,59,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
6,16-07-2020 15:22:48,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),True,9,нет,Тбилиси,1 гр,0.0053,3562,1373,120,50,,,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
7,16-07-2020 15:22:48,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,2,нет,Тбилиси,1 гр,0.0064,4274,1647,144,60,,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
8,16-07-2020 15:22:48,Tbilisi,QVK5,Galiak,Gorilla Glue 1G Super strong weed LIMITED,,1,нет,Тбилиси,1 гр,0.0064,4274,1647,144,60,True,,,,,,,,,,,Gorilla Glue 1G Super strong weed LIMITED
9,16-07-2020 15:22:48,Tbilisi,I7IU,MrPickless,АКЦИЯ! 1g hindu kish best buds BTC 5% sale,True,2,нет,Тбилиси,1 гр,0.0046,3205,1235,108,45,,,,,,,,,,,,AKTsIJa! 1g hindu kish best buds BTC 5% sale
10,16-07-2020 15:22:48,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,True,3,нет,Тбилиси,1 гр,0.0073,4874,1875,165,,,60,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
11,16-07-2020 15:22:48,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,,4,нет,Тбилиси,2 гр,0.0105,7052,2718,238,99,,,True,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
12,16-07-2020 15:22:48,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,4,нет,Тбилиси,2 гр,0.0116,7764,2992,262,109,,,,,,,,,,,,2 G Hybrid Marijuana Buds
13,16-07-2020 15:22:48,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,8,нет,Тбилиси,2 гр,0.0127,8548,3294,288,120,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
14,16-07-2020 15:22:48,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,1,нет,Тбилиси,2 гр,0.0127,8548,3294,288,120,,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
15,16-07-2020 15:22:48,Tbilisi,SF03,CRAZYFROG,2 gr top buds white widow wишки THC 25% VHQ,True,3,нет,Тбилиси,2 гр,0.0117,7835,3020,264,110,,,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
16,16-07-2020 15:22:48,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,2 гр,0.0127,8548,3294,288,120,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
17,16-07-2020 15:22:48,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,2 гр,0.0106,7123,2745,240,100,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
18,16-07-2020 15:22:48,Tbilisi,3Y9,HIGHTHC,2 г Skunk #1 марихуана шишки тгк 29% VHQ,True,1,нет,Тбилиси,2 гр,0.0106,7123,2745,240,100,,,,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
19,16-07-2020 15:22:48,Tbilisi,XUYA,MRweed,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",,5,нет,Тбилиси,2 гр,0.0106,7835,3020,264,110,,,,True,True,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
20,16-07-2020 15:22:48,Tbilisi,BB6E,WEEDSH0P,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,3,нет,Тбилиси,2 гр,0.0127,8548,3294,288,120,,,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
21,16-07-2020 15:22:48,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 2gram,True,1,нет,Тбилиси,2 гр,0.0092,6767,2608,228,95,,,,,,,,,,,,Northern Lights Regular [budsonly] 2gram
22,16-07-2020 15:22:48,Tbilisi,3TGJ9,Elegant,3g. марихуана шишки Critical,True,1,нет,Тбилиси,3 гр,0.0125,9260,3569,312,130,,,,,,,,,,,,3g. marihuana shishki Critical
23,16-07-2020 15:22:48,Tbilisi,8B31,GEOWEEDSHOP,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,28,нет,Тбилиси,3 гр,0.0059,3918,1510,132,55,,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
24,16-07-2020 15:22:48,Tbilisi,LGRP8,Walker12,Badazz Kush 3G VHQ 25% THC,,3,нет,Тбилиси,3 гр,0.0159,10685,4118,360,150,,,True,,,,,,,,,Badazz Kush 3G VHQ 25% THC
25,16-07-2020 15:22:48,Tbilisi,QUZIV,Hollyweed,Marijuana Super Skunk leaves 3g plan,,6,нет,Тбилиси,3 гр,0.0036,2422,933,82,34,,,,True,,,,,,,,Marijuana Super Skunk leaves 3g plan
26,16-07-2020 15:22:48,Tbilisi,9R7SU,ClownBaroN,4.2G Peppermint Kush 26%THC *VHQ*,True,2,нет,Тбилиси,4.2 гр,0.0223,14959,5765,504,210,,,,,,,,,,,,4.2G Peppermint Kush 26%THC *VHQ*
27,16-07-2020 15:22:48,Tbilisi,03F3,geoshop,5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,5 гр,0.0276,18520,7137,624,260,,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
28,16-07-2020 15:22:48,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,1,нет,Тбилиси,5 гр,0.0297,19945,7686,672,280,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
29,16-07-2020 15:22:48,Tbilisi,03F3,geoshop,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,2,нет,Тбилиси,5 гр,0.0286,19232,7412,648,270,,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
30,16-07-2020 15:22:48,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,2,нет,Тбилиси,5 гр,0.0188,13890,5353,468,195,,,,,,,,,,,,5g. marihuana shishki Critical
31,16-07-2020 15:22:48,Tbilisi,7U9YP,ChitosPizz,Гашиш Твердый 5гр,True,1,нет,Тбилиси,5 гр,0.0183,13534,5216,456,190,,,,,,,,,,,,Gashish Tverdyj 5gr
32,16-07-2020 15:22:48,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,5 гр,0.0053,3918,1510,132,55,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
33,16-07-2020 15:22:48,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,2,нет,Тбилиси,10 гр,0.0463,32054,12353,1081,450,,,,,,,,,,,,Gashish Evro 10gr
34,16-07-2020 15:22:48,Tbilisi,3TGJ9,Elegant,12g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0318,23506,9059,793,330,,,,,,,,,,,,12g. marihuana shishki Critical
35,16-07-2020 15:23:39,Tbilisi,HWUW,opiopi,GABAGAMA 40 SHTUK,True,1,нет,Тбилиси,40 гр,0.0053,3562,1373,120,50,,,,,,,,,,,,GABAGAMA 40 SHTUK
36,16-07-2020 15:23:39,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2139,142462,54900,4803,2000,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
37,16-07-2020 15:23:39,Tbilisi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,4,Тбилиси,1 гр,0.0378,25182,9688,851,,,310,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
38,16-07-2020 15:23:39,Tbilisi,9CK,Hyperboy,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭,True,нет,5,Тбилиси,2 гр,0.0233,15671,6039,528,220,,,,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭
39,16-07-2020 15:23:39,Tbilisi,7U9YP,ChitosPizz,Кристаллы Синие мощные 3гр,True,нет,1,Тбилиси,3 гр,0.0636,47012,18117,1585,660,,,,,,,,,,,,Kristally Sinie moschnye 3gr
40,16-07-2020 15:23:39,Tbilisi,R4156,bestchoice,марихуана пудра высокое качество 4грам,True,нет,9,Тбилиси,4 гр,0.0063,4630,1784,156,65,,,,,,,,,,,,marihuana pudra vysokoe kachestvo 4gram
