,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Didube,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
0,0,16-07-2020 19:35:42,Tbilisi,be97026d1d,!!! Iranian Sirec 0.30g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,3,нет,Тбилиси,0.3 гр,0.0117,8042,3104,272,99.0,,,,,,,,,,,,!!! Iranian Sirec 0.30g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,16-07-2020 19:35:42,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,12,нет,Тбилиси,1 гр,0.0064,4274,1650,144,,True,60.0,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
2,2,16-07-2020 19:35:42,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,16,нет,Тбилиси,1 гр,0.0064,4274,1650,144,,True,60.0,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
3,3,16-07-2020 19:35:42,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,4,нет,Тбилиси,1 гр,0.0062,4203,1623,142,,True,59.0,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
4,4,16-07-2020 19:35:42,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,1 гр,0.0064,4274,1650,144,,True,60.0,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
5,5,16-07-2020 19:35:42,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,14,нет,Тбилиси,1 гр,0.0062,4203,1623,142,,True,59.0,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
6,6,16-07-2020 19:35:42,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,9,нет,Тбилиси,1 гр,0.0053,3562,1375,120,,True,50.0,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
7,7,16-07-2020 19:35:42,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,2,нет,Тбилиси,1 гр,0.0064,4274,1650,144,,True,60.0,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
8,8,16-07-2020 19:35:42,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,,3,нет,Тбилиси,1 гр,0.0073,4874,1881,165,60.0,True,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
9,9,16-07-2020 19:35:42,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,7,нет,Тбилиси,2 гр,0.0105,7052,2723,238,,,99.0,True,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
